"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","agreement"
"PIK-Potsdam",2023,3282.45,"10.1007/s00407-023-00314-0","TRUE","Springer Nature","Archive for History of Exact Sciences","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1007/s00704-023-04430-3","TRUE","Springer Nature","Theoretical and Applied Climatology","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1007/s10113-023-02032-3","TRUE","Springer Nature","Regional Environmental Change","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1007/s44177-023-00051-7","TRUE","Springer Nature","Anthropocene Science","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1140/epjp/s13360-023-03777-w","TRUE","Springer Nature","The European Physical Journal Plus","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1007/s10666-022-09867-w","TRUE","Springer Nature","Environmental Modeling & Assessment","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1007/s00704-023-04393-5","TRUE","Springer Nature","Theoretical and Applied Climatology","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1140/epjs/s11734-023-00766-z","TRUE","Springer Nature","The European Physical Journal Special Topics","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1007/s10113-023-02095-2","TRUE","Springer Nature","Regional Environmental Change","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1007/s11214-023-00960-4","TRUE","Springer Nature","Space Science Reviews","sn2020deal"
"PIK-Potsdam",2023,3282.45,"10.1140/epjs/s11734-022-00739-8","TRUE","Springer Nature","The European Physical Journal Special Topics","sn2020deal"
"PIK-Potsdam",2023,2001.36,"10.1038/s41598-022-25319-7","FALSE","Springer Nature","Scientific Reports","sn2020deal"
"PIK-Potsdam",2023,5579.37,"10.1038/s41467-022-34411-5","FALSE","Springer Nature","Nature Communications","sn2020deal"
"PIK-Potsdam",2023,2001.36,"10.1038/s41597-022-01824-2","FALSE","Springer Nature","Scientific Data","sn2020deal"
"PIK-Potsdam",2023,5579.37,"10.1038/s41467-022-34229-1","FALSE","Springer Nature","Nature Communications","sn2020deal"
"PIK-Potsdam",2023,5579.37,"10.1038/s41467-022-35114-7","FALSE","Springer Nature","Nature Communications","sn2020deal"
"PIK-Potsdam",2023,5774.64,"10.1038/s41467-023-38043-1","FALSE","Springer Nature","Nature Communications","sn2020deal"
"PIK-Potsdam",2023,2638.74,"10.1038/s43247-023-00717-5","FALSE","Springer Nature","Communications Earth and Environment","sn2020deal"
"PIK-Potsdam",2023,2071.41,"10.1038/s41598-023-33921-6","FALSE","Springer Nature","Scientific Reports","sn2020deal"
"PIK-Potsdam",2023,2638.74,"10.1038/s43247-023-00788-4","FALSE","Springer Nature","Communications Earth and Environment","sn2020deal"
"PIK-Potsdam",2023,2071.41,"10.1038/s41597-023-02282-0","FALSE","Springer Nature","Scientific Data","sn2020deal"
"PIK-Potsdam",2023,2071.41,"10.1038/s41597-023-02323-8","FALSE","Springer Nature","Scientific Data","sn2020deal"
"PIK-Potsdam",2023,2638.74,"10.1038/s43247-023-00911-5","FALSE","Springer Nature","Communications Earth and Environment","sn2020deal"
"PIK-Potsdam",2023,2071.41,"10.1038/s41597-023-02376-9","FALSE","Springer Nature","Scientific Data","sn2020deal"
"PIK-Potsdam",2023,2138.14,"10.1186/s13023-023-02821-3","FALSE","Springer Nature","Orphanet Journal of Rare Diseases ","sn2020deal"
"PIK-Potsdam",2023,2638.74,"10.1038/s43247-023-00941-z","FALSE","Springer Nature","Communications Earth and Environment","sn2020deal"
