"institution","period","euro","doi","is_hybrid","publisher"
"PIK-Potsdam",2023,2015.86,"10.5194/tc-17-327-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,1615.60,"10.1371/journal.pone.0276764","FALSE","Public Library of Science"
"PIK-Potsdam",2023,2438.30,"10.1103/PhysRevResearch.5.023059","FALSE","Amercian Physical Society"
"PIK-Potsdam",2023,1975.50,"10.1088/1748-9326/accd83","FALSE","IOP"
"PIK-Potsdam",2023,2142.00,"10.5194/nhess-23-1699-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,2195.00,"10.1088/1748-9326/accbd5","FALSE","IOP"
"PIK-Potsdam",2023,1880.00,"10.1016/j.heliyon.2023.e16733","FALSE","Elsevier"
"PIK-Potsdam",2023,1523.20,"10.5194/gmd-16-2455-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,1099.56,"10.5194/esd-14-533-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,575.00,"10.1088/1748-9326/acf9b6","FALSE","IOP"
"PIK-Potsdam",2023,4103.89,"10.1126/sciadv.adh5586","FALSE","AAAS"
"PIK-Potsdam",2023,2083.50,"10.1088/1748-9326/acec5e","FALSE","IOP"
"PIK-Potsdam",2023,5270.00,"10.1016/S2542-5196(23)00195-X","FALSE","Elsevier"
"PIK-Potsdam",2023,1210.00,"10.1016/j.trip.2023.100906","FALSE","Elsevier"
"PIK-Potsdam",2023,1904.00,"10.5194/gmd-16-4977-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,2588.25,"10.5194/tc-17-4571-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,1523.20,"10.5194/gmd-16-3375-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,1523.20,"10.5194/gmd-16-3501-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,1539.38,"10.5194/tc-17-2563-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,1246.17,"10.5194/tc-17-3083-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,1140.73,"10.5194/hess-27-2645-2023","FALSE","Copernicus"
"PIK-Potsdam",2023,2531.13,"10.1038/s43247-023-01123-7","FALSE","Springer Nature"
"PIK-Potsdam",2023,1732.64,"10.1002/asl.1188","FALSE","Wiley"
"PIK-Potsdam",2023,94.71,"10.32866/001c.89707","FALSE","Findings Press"
