"institution","period","euro","doi","is_hybrid","publisher","journal_full_title"
"PIK-Potsdam",2021,2052.75,"10.5194/esd-12-1115-2021","FALSE","Copernicus","Earth System Dynamics"
"PIK-Potsdam",2021,1649.34,"10.5194/gmd-14-3697-2021","FALSE","Copernicus","Geoscientific Model Development"
"PIK-Potsdam",2021,1744.54,"10.5194/hess-25-1711-2021","FALSE","Copernicus","Hydrology and Earth System Sciences (HESS)"
"PIK-Potsdam",2021,1467.05,"10.5194/tc-14-3537-2020","FALSE","Copernicus","The Cryosphere"
"PIK-Potsdam",2021,2231.25,"10.5194/gmd-14-4117-2021","FALSE","Copernicus","Geoscientific Model Development"
"PIK-Potsdam",2021,2102.73,"10.5194/esd-12-1275-2021","FALSE","Copernicus","Earth System Dynamics"
"PIK-Potsdam",2021,1850.00,"10.1088/1748-9326/abdcf2","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1740.97,"10.5194/esd-12-601-2021","FALSE","Copernicus","Earth System Dynamics"
"PIK-Potsdam",2021,1962.71,"10.5194/esd-12-103-2021","FALSE","Copernicus","Earth System Dynamics"
"PIK-Potsdam",2021,2877.42,"10.5194/bg-18-4091-2021","FALSE","Copernicus","Biogeosciences"
"PIK-Potsdam",2021,1945.00,"10.1088/1748-9326/ac3955","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1924.23,"10.5194/cp-17-1819-2021","FALSE","Copernicus","Climate of the Past"
"PIK-Potsdam",2021,1962.71,"10.5194/hess-25-2027-2021","FALSE","Copernicus","Hydrology and Earth System Sciences (HESS)"
"PIK-Potsdam",2021,1850.00,"10.1088/1748-9326/abdb5c","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,798.03,"10.3389/fsufs.2021.612341","FALSE","Frontiers","Frontiers in Sustainable Food Systems"
"PIK-Potsdam",2021,1392.94,"10.1371/journal.pone.0245771","FALSE","Public Library of Science (PLoS)","PloS ONE "
"PIK-Potsdam",2021,1981.35,"10.1088/1748-9326/abd8fc","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1561.69,"10.3389/fagro.2021.609536 ","FALSE","Frontiers","Frontiers in Agronomy"
"PIK-Potsdam",2021,249.36,"10.3934/agrfood.2021039","FALSE","AIMS Press","AIMS Agriculture and Food"
"PIK-Potsdam",2021,1900.00,"10.1016/j.ejrh.2021.100779","FALSE","Elsevier","Journal of Hydrology: Regional Studies"
"PIK-Potsdam",2021,1981.35,"10.1088/1748-9326/abe890","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1474.10,"10.1371/journal.pone.0254601","FALSE","Public Library of Science (PLoS)","PloS ONE "
"PIK-Potsdam",2021,2034.90,"10.5194/esd-12-1037-2021","FALSE","Copernicus","Earth System Dynamics"
"PIK-Potsdam",2021,4380.00,"10.1016/S2542-5196(21)00170-4","FALSE","Elsevier","The Lancet Planetary Health"
"PIK-Potsdam",2021,2164.11,"10.3390/rs13122379","FALSE","MDPI","Remote Sensing"
"PIK-Potsdam",2021,1523.20,"10.1088/2515-7620/ac18a6","FALSE","IOP Publishing","Environmental Research Communications "
"PIK-Potsdam",2021,1665.00,"10.1088/1748-9326/ac0a11","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1850.00,"10.1088/1748-9326/abdf07","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1665.00,"10.1088/1748-9326/ac09ae","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1770.72,"10.5194/gmd-14-5269-2021","FALSE","Copernicus","Geoscientific Model Development"
"PIK-Potsdam",2021,2334.00,"10.1088/1748-9326/ac188d","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,3298.68,"10.5194/gmd-14-5695-2021","FALSE","Copernicus","Geoscientific Model Development"
"PIK-Potsdam",2021,1904.00,"10.5194/gmd-14-6467-2021","FALSE","Copernicus","Geoscientific Model Development"
"PIK-Potsdam",2021,1904.00,"10.5194/gmd-14-6571-2021","FALSE","Copernicus","Geoscientific Model Development"
"PIK-Potsdam",2021,1658.49,"10.1371/journal.pone.0251210","FALSE","Public Library of Science (PLoS)","PloS ONE "
"PIK-Potsdam",2021,1945.00,"10.1088/1748-9326/ac2932","FALSE","IOP Publishing","Environmental Research Letters"
"PIK-Potsdam",2021,1635.59,"10.5194/tc-15-531-2021","FALSE","Copernicus","The Cryosphere"
"PIK-Potsdam",2021,1222.50,"10.1088/1367-2630/abe0db","FALSE","IOP Publishing","New Journal of Physics "
"PIK-Potsdam",2021,1454.77,"10.1088/1367-2630/abe336","FALSE","IOP Publishing","New Journal of Physics "
