,Betrag EUR,DOI,Journal,ISSN.1,ISSN.2,Publisher,url,is_hybrid
2019,"1,062.43 €",10.5194/npg-26-1-2019,Nonlinear Processes in Geophysics,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8444,FALSE
2019,"3,940.22 €",10.1126/sciadv.aav7337 ,Science Advances,NA,NA,AAAS,http://edoc.gfz-potsdam.de/pik/8472,FALSE
2019,"4,290.00 €",10.1038/s41467-019-13586-4 ,Nature Communications,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8656,FALSE
2019,"1,874.25 €",10.5194/tc-13-2281-2019 ,The Cryosphere,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8116,FALSE
2019,"1,236.30 €",10.5751/ES-11103-240334 ,Ecology and Society,NA,NA,Resilience Alliance,http://edoc.gfz-potsdam.de/pik/8619,FALSE
2019,"1,078.00 €",10.5194/tc-13-2475-2019 ,The Cryosphere,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8384,FALSE
2019,"4,778.63 €",10.1126/sciadv.aaw4132 ,Science Advances,NA,NA,AAAS,http://edoc.gfz-potsdam.de/pik/8518,FALSE
2019,222.02 €,10.3389/fenvs.2019.00048 ,Frontiers in Environmental Sciences,NA,NA,Frontiers,http://edoc.gfz-potsdam.de/pik/8512,FALSE
2019,"1,800.00 €",10.1088/1748-9326/ab2b4b ,Environmental Research Letters,NA,NA,IOP,http://edoc.gfz-potsdam.de/pik/8539,FALSE
2019,"2,320.50 €",10.5194/gmd-12-5029-2019 ,Geoscientific Model Development,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8525,FALSE
2019,"1,392.30 €",10.5194/esd-10-205-2019 ,Earth System Dynamics,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8439,FALSE
2019,"4,290.00 €",10.1038/s41467-019-08745-6 ,Nature Communications,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8398,FALSE
2019,"1,800.00 €",10.1088/1748-9326/ab2d56 ,Environmental Research Letters,NA,NA,IOP,http://edoc.gfz-potsdam.de/pik/8543,FALSE
2019,"1,350.84 €",10.1371/journal.pone.0220936 ,PLoS ONE,NA,NA,Public Library of Science,http://edoc.gfz-potsdam.de/pik/8566,FALSE
