pos;institution_name;journal_title;eissn;doi;url;accepted;par_fee;initial_opt-out
1;Friedrich-Alexander-Universität Erlangen-Nürnberg;SMALL;1613-6829;10.1002/smll.202104996;https://doi.org/10.1002/smll.202104996;02.01.2022;2750;optout
22;Friedrich-Alexander-Universität Erlangen-Nürnberg;EXPERIMENTAL DERMATOLOGY;1600-0625;10.1111/exd.14529;https://doi.org/10.1111/exd.14529;09.01.2022;2750;optout
27;Friedrich-Alexander-Universität Erlangen-Nürnberg;JOURNAL OF BONE AND MINERAL RESEARCH;1523-4681;10.1002/jbmr.4733;https://doi.org/10.1002/jbmr.4733;28.10.2022;2750;optout
40;Friedrich-Alexander-Universität Erlangen-Nürnberg;MEDICAL PHYSICS;2473-4209;10.1002/mp.15909;https://doi.org/10.1002/mp.15909;17.07.2022;2750;optout
59;Friedrich-Alexander-Universität Erlangen-Nürnberg;CHEMICAL ENGINEERING & TECHNOLOGY;1521-4125;10.1002/ceat.202200067;https://doi.org/10.1002/ceat.202200067;03.05.2022;2750;optout
89;Friedrich-Alexander-Universität Erlangen-Nürnberg;ADVANCED MATERIALS INTERFACES;2196-7350;10.1002/admi.202200642;https://doi.org/10.1002/admi.202200642;01.04.2022;2750;optout
134;Friedrich-Alexander-Universität Erlangen-Nürnberg;ENERGY TECHNOLOGY;2194-4296;10.1002/ente.202200072;https://doi.org/10.1002/ente.202200072;17.05.2022;2750;optout
148;Friedrich-Alexander-Universität Erlangen-Nürnberg;SOLAR RRL;2367-198X;10.1002/solr.202200527;https://doi.org/10.1002/solr.202200527;24.07.2022;2750;optout
210;Universitätsklinikum Erlangen;ADVANCED MATERIALS INTERFACES;2196-7350;10.1002/admi.202101808;https://doi.org/10.1002/admi.202101808;04.01.2022;2750;optout
