pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Friedrich-Alexander-Universität Erlangen-Nürnberg;Acta Neuropathologica;1432-0533;10.1007/s00401-022-02450-3;https://doi.org/10.1007/s00401-022-02450-3;01.07.2022;02.06.2022;2750;originalpaper;Research Article;optin
2;Friedrich-Alexander-Universität Erlangen-Nürnberg;Advances in Therapy;1865-8652;10.1007/s12325-022-02100-w;https://doi.org/10.1007/s12325-022-02100-w;15.04.2022;21.02.2022;2750;originalpaper;Research Article;optin
3;Friedrich-Alexander-Universität Erlangen-Nürnberg;Multibody System Dynamics;1573-272X;10.1007/s11044-022-09844-x;https://doi.org/10.1007/s11044-022-09844-x;11.10.2022;18.08.2022;2750;originalpaper;Research Article;optout
4;Friedrich-Alexander-Universität Erlangen-Nürnberg;Analysis and Mathematical Physics;1664-235X;10.1007/s13324-022-00727-0;https://doi.org/10.1007/s13324-022-00727-0;23.09.2022;17.08.2022;2750;originalpaper;Research Article;optin
5;Friedrich-Alexander-Universität Erlangen-Nürnberg;Numerische Mathematik;0945-3245;10.1007/s00211-022-01290-3;https://doi.org/10.1007/s00211-022-01290-3;11.05.2022;09.04.2022;2750;originalpaper;Research Article;optin
6;Friedrich-Alexander-Universität Erlangen-Nürnberg;Publizistik;1862-2569;10.1007/s11616-022-00735-x;https://doi.org/10.1007/s11616-022-00735-x;27.06.2022;13.06.2022;917;bookreview;Non Research Article;optin
7;Friedrich-Alexander-Universität Erlangen-Nürnberg;The European Physical Journal D;1434-6079;10.1140/epjd/s10053-022-00355-0;https://doi.org/10.1140/epjd/s10053-022-00355-0;01.03.2022;23.01.2022;2750;originalpaper;Research Article;optin
8;Friedrich-Alexander-Universität Erlangen-Nürnberg;Journal of Materials Research;2044-5326;10.1557/s43578-022-00618-x;https://doi.org/10.1557/s43578-022-00618-x;22.06.2022;31.05.2022;2750;originalpaper;Research Article;optin
9;Friedrich-Alexander-Universität Erlangen-Nürnberg;Optimization and Engineering;1573-2924;10.1007/s11081-022-09719-2;https://doi.org/10.1007/s11081-022-09719-2;18.04.2022;19.03.2022;2750;originalpaper;Research Article;optin
10;Friedrich-Alexander-Universität Erlangen-Nürnberg;Ethik in der Medizin;1437-1618;10.1007/s00481-022-00717-7;https://doi.org/10.1007/s00481-022-00717-7;01.08.2022;18.07.2022;917;bookreview;Non Research Article;optin
11;Friedrich-Alexander-Universität Erlangen-Nürnberg;Synthese;1573-0964;10.1007/s11229-022-03523-2;https://doi.org/10.1007/s11229-022-03523-2;03.06.2022;23.11.2021;2750;originalpaper;Research Article;optin
12;Friedrich-Alexander-Universität Erlangen-Nürnberg;Production Engineering;1863-7353;10.1007/s11740-021-01100-z;https://doi.org/10.1007/s11740-021-01100-z;12.01.2022;13.12.2021;2750;originalpaper;Research Article;optin
13;Friedrich-Alexander-Universität Erlangen-Nürnberg;Cellular and Molecular Life Sciences;1420-9071;10.1007/s00018-022-04496-8;https://doi.org/10.1007/s00018-022-04496-8;09.08.2022;18.07.2022;2750;originalpaper;Research Article;optin
14;Friedrich-Alexander-Universität Erlangen-Nürnberg;Theoretical and Computational Fluid Dynamics;1432-2250;10.1007/s00162-022-00627-w;https://doi.org/10.1007/s00162-022-00627-w;07.09.2022;29.07.2022;2750;originalpaper;Research Article;optin
15;Friedrich-Alexander-Universität Erlangen-Nürnberg;Cellular and Molecular Life Sciences;1420-9071;10.1007/s00018-022-04445-5;https://doi.org/10.1007/s00018-022-04445-5;15.07.2022;23.06.2022;2750;originalpaper;Research Article;optin
16;Friedrich-Alexander-Universität Erlangen-Nürnberg;Nanomanufacturing and Metrology;2520-8128;10.1007/s41871-022-00143-9;https://doi.org/10.1007/s41871-022-00143-9;11.06.2022;11.05.2022;2750;originalpaper;Research Article;optin
17;Friedrich-Alexander-Universität Erlangen-Nürnberg;European Radiology;1432-1084;10.1007/s00330-022-08626-5;https://doi.org/10.1007/s00330-022-08626-5;02.04.2022;02.02.2022;2750;originalpaper;Research Article;optin
18;Friedrich-Alexander-Universität Erlangen-Nürnberg;Journal of Digital Imaging;1618-727X;10.1007/s10278-022-00610-1;https://doi.org/10.1007/s10278-022-00610-1;30.08.2022;12.01.2022;2750;originalpaper;Research Article;optin
19;Friedrich-Alexander-Universität Erlangen-Nürnberg;Archive of Applied Mechanics;1432-0681;10.1007/s00419-022-02273-4;https://doi.org/10.1007/s00419-022-02273-4;20.10.2022;12.09.2022;2750;originalpaper;Research Article;optin
20;Friedrich-Alexander-Universität Erlangen-Nürnberg;Zeitschrift für Didaktik der Naturwissenschaften;2197-988X;10.1007/s40573-022-00148-3;https://doi.org/10.1007/s40573-022-00148-3;22.11.2022;14.10.2022;2750;originalpaper;Research Article;optin
21;Friedrich-Alexander-Universität Erlangen-Nürnberg;Information Systems and e-Business Management;1617-9854;10.1007/s10257-022-00577-0;https://doi.org/10.1007/s10257-022-00577-0;11.11.2022;12.10.2022;2750;originalpaper;Research Article;optin
22;Friedrich-Alexander-Universität Erlangen-Nürnberg;International Journal of Computer Assisted Radiology and Surgery;1861-6429;10.1007/s11548-022-02750-9;https://doi.org/10.1007/s11548-022-02750-9;01.10.2022;06.09.2022;2750;originalpaper;Research Article;optin
23;Friedrich-Alexander-Universität Erlangen-Nürnberg;Die Ophthalmologie;2731-7218;10.1007/s00347-022-01574-x;https://doi.org/10.1007/s00347-022-01574-x;02.02.2022;03.01.2022;2750;originalpaper;Research Article;optin
24;Friedrich-Alexander-Universität Erlangen-Nürnberg;Pediatric Nephrology;1432-198X;10.1007/s00467-022-05713-z;https://doi.org/10.1007/s00467-022-05713-z;02.09.2022;29.07.2022;2750;originalpaper;Research Article;optin
25;Friedrich-Alexander-Universität Erlangen-Nürnberg;Journal of Neurology;1432-1459;10.1007/s00415-022-11204-w;https://doi.org/10.1007/s00415-022-11204-w;12.06.2022;30.03.2022;2750;originalpaper;Research Article;optin
26;Friedrich-Alexander-Universität Erlangen-Nürnberg;European Archives of Oto-Rhino-Laryngology;1434-4726;10.1007/s00405-022-07356-0;https://doi.org/10.1007/s00405-022-07356-0;01.04.2022;14.03.2022;2750;originalpaper;Research Article;optin
