"Institution","period","Euro","publisher","journal_full_title","issn","doi","is_hybrid","pmid","base_url",
"MDC",2016,224,"Elsevier","Data in Brief","2352-3409","10.1016/j.dib.2015.12.023",FALSE,26862587,"http://edoc.mdc-berlin.de/",15336
"MDC",2016,1238,"Public Library of Science (U.S.A.)","PLoS ONE","1932-6203","10.1371/journal.pone.0145645",FALSE,26727266,"http://edoc.mdc-berlin.de/",15329
"MDC",2016,1800,"BioMed Central (U.K.)","BMC Biotechnology","1472-6750","10.1186/s12896-016-0234-4",FALSE,26772810,"http://edoc.mdc-berlin.de/",15389
"MDC",2016,1014,"American Society for Nutrition (U.S.A.)","American Journal of Clinical Nutrition","0002-9165","10.3945/ajcn.115.117507",TRUE,26537935,"http://edoc.mdc-berlin.de/",15179
"MDC",2016,2543,"Impact Journals (U.S.A.)","Oncotarget","1949-2553","10.18632/oncotarget.7248",FALSE,26871287,"http://edoc.mdc-berlin.de/",15495
"MDC",2016,4605,"Cell Press / Elsevier (U.S.A.)","Cell reports","2211-1247","10.1016/j.celrep.2016.02.005",FALSE,26923588,"http://edoc.mdc-berlin.de/",15561
"MDC",2016,4662,"Wiley-Blackwell (U.S.A.)","EMBO Journal","0261-4189","10.15252/embj.201591459",TRUE,26957522,"http://edoc.mdc-berlin.de/",15574
"MDC",2016,1210,"Public Library of Science (U.S.A.)","PLoS ONE","1932-6203","10.1371/journal.pone.0150255",FALSE,27070147,"http://edoc.mdc-berlin.de/",15667
"MDC",2016,3124,"Cell Press / Elsevier (U.S.A.)","Cell reports","2211-1247","10.1016/j.celrep.2016.09.035",FALSE,27732851,"http://edoc.mdc-berlin.de/",16059
"MDC",2016,4936,"Cold Spring Harbor Laboratory Press (U.S.A.)","Genome Research","1088-9051","10.1101/gr.200386.115",TRUE,27197210,"http://edoc.mdc-berlin.de/",15735
"MDC",2016,2200,"Sringer (Germany)","Journal of Molecular Medicine","1385-1395","10.1007/s00109-016-1447-7",TRUE,27522676,"http://edoc.mdc-berlin.de/",15927
"MDC",2016,1339,"Public Library of Science (U.S.A.)","PLoS ONE","1932-6203","10.1371/journal.pone.0161863",FALSE,27598923,"http://edoc.mdc-berlin.de/",15992
"MDC",2016,226,"Elsevier (U.S.A.)","Genomics Data","2213-5960","10.1016/j.gdata.2016.08.009",FALSE,27583204,"http://edoc.mdc-berlin.de/",15971
"MDC",2016,3700,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","10.1038/ncomms12963",FALSE,27713425,"http://edoc.mdc-berlin.de/",16049
"MDC",2016,2200,"Springer (Germany)","Acta Neuropathologica","0001-6322","10.1007/s00401-016-1615-4",TRUE,27638701,"http://edoc.mdc-berlin.de/",16013
"MDC",2016,2778,"Rockefeller University Press","Journal of Experimental Medicine","0022-1007","10.1084/jem.20160636",TRUE,27697836,"http://edoc.mdc-berlin.de/",16040
"MDC",2016,2150,"Taylor & Francis","Critical Reviews in Biochemistry and Molecular Biology","1040-9238","10.1080/10409238.2016.1237935",TRUE,27696897,"http://edoc.mdc-berlin.de/",16038
"MDC",2016,2968,"Oxford University Press","Nucleic Acids Research","0305-1048","10.1093/nar/gkw1164",FALSE,27913727,"http://edoc.mdc-berlin.de/",16188
"MDC",2016,3157,"Cell Press / Elsevier (U.S.A.)","Stem Cell Reports","2213-6711","10.1016/j.stemcr.2016.12.015",FALSE,28111277,"http://edoc.mdc-berlin.de/",16283
"MDC",2016,1396,"BioMed Central (U.K.)","Journal of Translational Medicine","1479-5876","10.1186/s12967-016-0971-0",FALSE,27439755,"http://edoc.mdc-berlin.de/",15858
"MDC",2016,1396,"BioMed Central (U.K.)","BMC Cancer","1471-2407","10.1186/s12885-017-3123-x",FALSE,28193196,"http://edoc.mdc-berlin.de/",16331
"MDC",2016,2200,"Springer (Germany)","Journal of Molecular Medicine","0946-2716","10.1007/s00109-016-1483-3",TRUE,27889803,"http://edoc.mdc-berlin.de/",16173
"MDC",2016,1405,"Frontiers Research Foundation (U.S.A.)","Frontiers in Neuroscience","1662-453X","10.3389/fnins.2016.00402",FALSE,27621701,"http://edoc.mdc-berlin.de/",16005
"MDC",2016,2635,"Wiley (U.S.A.)","Biopolymers","0006-3525","10.1002/bip.22855",TRUE,27062152,"http://edoc.mdc-berlin.de/",15655
"MDC",2016,600,"Oxford University Press (U.K.)","Nuclceid Acid Research","0305-1048","10.1093/nar/gkw792",FALSE,27604873,"http://edoc.mdc-berlin.de/",15996
"MDC",2016,1804,"BioMed Central (U.K.)","Genome Medicine","1756-994X","10.1186/s13073-016-0280-5",FALSE,26988706,"http://edoc.mdc-berlin.de/",15587
"MDC",2016,1696,"BioMed Central (U.K.)","BMC Biology","1741-7007","10.1186/s12915-016-0236-7",FALSE,26934976,"http://edoc.mdc-berlin.de/",15568
