"institution","period","euro","publisher","journal_full_title","issn","doi","base_url","is_hybrid","opt_out "
"MDC",2020,4635,"Springer","Cellular and Molecular Neurobiology","0272-4340","https://doi.org/10.1007/s10571-020-00857-8","https://edoc.mdc-berlin.de/18943/","TRUE","TRUE"
"MDC",2020,4635,"Springer","Journal of Molecular Neuroscience","0895-8696","https://doi.org/10.1007/s12031-020-01590-z","https://edoc.mdc-berlin.de/18983/","TRUE","TRUE"
