"Institution","period","Euro","doi","is_hybrid","base_url","repo_id"
"MDC",2015,1396,"10.1186/s13014-015-0510-9","FALSE","http://edoc.mdc-berlin.de/",15066
"MDC",2015,1340,"10.1186/s12885-015-1150-z","FALSE","http://edoc.mdc-berlin.de/",14719
"MDC",2015,1128,"10.1186/s12968-015-0129-x","FALSE","http://edoc.mdc-berlin.de/",14782
"MDC",2015,760,"10.1186/s13104-015-1118-8","FALSE","http://edoc.mdc-berlin.de/",14741
"MDC",2015,1340,"10.1186/s12943-015-0316-2","FALSE","http://edoc.mdc-berlin.de/",14687
"MDC",2015,1804,"10.1186/s13059-015-0810-2","FALSE","http://edoc.mdc-berlin.de/",15191
"MDC",2015,2310,"10.1186/s13059-015-0742-x","FALSE","http://edoc.mdc-berlin.de/",15045
"MDC",2015,768,"10.3389/fbioe.2014.00084","FALSE","http://edoc.mdc-berlin.de/",14623
"MDC",2015,1165,"10.1038/srep08427","FALSE","http://edoc.mdc-berlin.de/",14631
"MDC",2015,3083,"10.1016/j.celrep.2014.12.019","FALSE","http://edoc.mdc-berlin.de/",14536
"MDC",2015,1247,"10.1371/journal.pone.0119430","FALSE","http://edoc.mdc-berlin.de/",14694
"MDC",2015,2078,"10.1371/journal.pgen.1005076","FALSE","http://edoc.mdc-berlin.de/",14692
"MDC",2015,2600,"10.1038/cddis.2015.127","FALSE","http://edoc.mdc-berlin.de/",14848
"MDC",2015,3700,"10.1038/ncomms8200","TRUE","http://edoc.mdc-berlin.de/",14827
"MDC",2015,3145,"10.15252/embj.201490819","TRUE","http://edoc.mdc-berlin.de/",14724
"MDC",2015,3700,"10.1038/ncomms8264","TRUE","http://edoc.mdc-berlin.de/",14869
"MDC",2015,2950,"10.15252/msb.20145970","FALSE","http://edoc.mdc-berlin.de/",14888
"MDC",2015,1209,"10.1371/journal.pone.0128386","FALSE","http://edoc.mdc-berlin.de/",14957
"MDC",2015,2950,"10.15252/msb.156240","FALSE","http://edoc.mdc-berlin.de/",14992
"MDC",2015,3700,"10.1038/ncomms8367","TRUE","http://edoc.mdc-berlin.de/",14945
"MDC",2015,4379,"10.1016/j.celrep.2015.04.030","FALSE","http://edoc.mdc-berlin.de/",14798
"MDC",2015,3065,"10.1002/bies.201400113","TRUE","http://edoc.mdc-berlin.de/",14613
"MDC",2015,771,"10.3389/fgene.2015.00237","FALSE","http://edoc.mdc-berlin.de/",14982
"MDC",2015,4179,"10.3389/fcell.2015.00070","FALSE","http://edoc.mdc-berlin.de/",15223
"MDC",2015,4568,"10.1016/j.celrep.2015.09.015","FALSE","http://edoc.mdc-berlin.de/",15128
"MDC",2015,3700,"10.1038/ncomms9804","TRUE","http://edoc.mdc-berlin.de/",15181
"MDC",2015,1165,"10.1038/srep17230","FALSE","http://edoc.mdc-berlin.de/",15426
"MDC",2015,1253,"10.1371/journal.pone.0141214","FALSE","http://edoc.mdc-berlin.de/",15149
"MDC",2015,4552,"10.1016/j.stemcr.2015.10.003","FALSE","http://edoc.mdc-berlin.de/",15193
"MDC",2015,1607,"10.1016/j.ydbio.2015.10.009","TRUE","http://edoc.mdc-berlin.de/",15125
"MDC",2015,877,"10.18632/oncotarget.6793","FALSE","http://edoc.mdc-berlin.de/",15382
"MDC",2015,2564,"10.1038/mtna.2015.52","FALSE","http://edoc.mdc-berlin.de/",15395
"MDC",2015,4662,"10.1016/j.celrep.2015.11.011","FALSE","http://edoc.mdc-berlin.de/",15277
"MDC",2015,2190,"10.1038/cddis.2015.20","FALSE","http://edoc.mdc-berlin.de/",14685
"MDC",2015,2276,"10.1016/j.celrep.2015.03.059","FALSE","http://edoc.mdc-berlin.de/",14775
