"edpsname","eissn","journal_title","acceptation_date","online_publication_date","doi","reference","first_name","last_name","institution","zipcode","city"
"aa","1432-0746","Astronomy & Astrophysics",1/7/2019,"2019-02-26 09:02:54+01","10.1051/0004-6361/201834344","aa34344-18","Melaine","Saillenfest","Institut de Mecanique Celeste et de Calcul des Ephemerides","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",1/7/2019,"2019-03-05 09:03:12+01","10.1051/0004-6361/201834705","aa34705-18","Laurene","Jouve","\N","31400","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",1/7/2019,"2019-03-07 09:03:51+01","10.1051/0004-6361/201833511","aa33511-18","Thérèse","Encrenaz","Observatoire de Meudon","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",1/7/2019,"2019-03-20 09:03:27+01","10.1051/0004-6361/201833898","aa33898-18","Benoit","Carry","Observatoire de la Cote d'Azur","\N","Nice"
"aa","1432-0746","Astronomy & Astrophysics",1/8/2019,"2019-02-25 09:02:21+01","10.1051/0004-6361/201834444","aa34444-18","Pieter","De Vis","Institut d'Astrophysique Spatiale, CNRS, Université Paris-Sud","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",1/8/2019,"2019-02-26 09:02:00+01","10.1051/0004-6361/201834179","aa34179-18","Jesse","Palmerio","Institut d'Astrophysique de Paris","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",1/8/2019,"2019-03-26 09:03:32+01","10.1051/0004-6361/201834587","aa34587-18","Roman","Motiyenko","Université Lille 1","59655","Villeneuve d'Ascq"
"aa","1432-0746","Astronomy & Astrophysics",1/8/2019,"2019-03-27 09:03:37+01","10.1051/0004-6361/201834387","aa34387-18","Romain","Laugier","Observatoire de la Côte d'Azur","06108","Nice"
"aa","1432-0746","Astronomy & Astrophysics",1/8/2019,"2019-09-20 09:09:01+02","10.1051/0004-6361/201834415","aa34415-18","Nicholas","Attree","Laboratoire d'Astrophysique de Marseille","13388","Marseille"
"aa","1432-0746","Astronomy & Astrophysics",1/9/2019,"2019-02-28 09:02:48+01","10.1051/0004-6361/201834914","aa34914-18","Oliver","Müller","Observatoire astronomique de Strasbourg","67000","Strasbourg"
