institution;Period;doi;journal_title;is_hybrid;
French institutions;2023;10.1051/0004-6361/202245429;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245340;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346832;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346165;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346700;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345956;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245216;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346626;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346673;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202142429;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346518;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245305;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345975;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346616;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202347044;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245028;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202243728;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345976;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346845;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346640;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346218;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346812;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346018;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346221;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346209;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346005;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346334;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346579;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346435;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346206;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346657;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346575;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245594;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202038753e;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346305;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346608;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202039923;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346090;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346188;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345968;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245420;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346544;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346745;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346868;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346118;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346117;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346172;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346152;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346509;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202141840;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346032;Astronomy & Astrophysics;TRUE;
