institution;Period;doi;is hybrid
French institutions;2021;10.1051/0004-6361/202039806;TRUE
French institutions;2021;10.1051/0004-6361/202039770;TRUE
French institutions;2021;10.1051/0004-6361/202140330;TRUE
French institutions;2021;10.1051/0004-6361/202039579;TRUE
French institutions;2021;10.1051/0004-6361/202140342;TRUE
French institutions;2021;10.1051/0004-6361/202040180;TRUE
French institutions;2021;10.1051/0004-6361/202140389;TRUE
French institutions;2021;10.1051/0004-6361/202140652;TRUE
French institutions;2021;10.1051/0004-6361/202140934;TRUE
French institutions;2021;10.1051/0004-6361/202140789;TRUE
French institutions;2021;10.1051/0004-6361/202140841;TRUE
French institutions;2021;10.1051/0004-6361/202140453;TRUE
French institutions;2021;10.1051/0004-6361/202141800;TRUE
French institutions;2021;10.1051/0004-6361/202140945;TRUE
French institutions;2021;10.1051/0004-6361/202140827;TRUE
French institutions;2021;10.1051/0004-6361/202140430;TRUE
French institutions;2021;10.1051/0004-6361/202040236;TRUE
French institutions;2021;10.1051/0004-6361/202142074;TRUE
French institutions;2021;10.1051/0004-6361/202040157;TRUE
French institutions;2021;10.1051/0004-6361/202140705;TRUE
French institutions;2021;10.1051/0004-6361/202140544;TRUE
French institutions;2021;10.1051/0004-6361/202141049;TRUE
French institutions;2021;10.1051/0004-6361/202141175;TRUE
French institutions;2021;10.1051/0004-6361/202040144;TRUE
French institutions;2021;10.1051/0004-6361/202141785;TRUE
French institutions;2021;10.1051/0004-6361/202141675;TRUE
French institutions;2021;10.1051/0004-6361/202040147;TRUE
French institutions;2021;10.1051/0004-6361/201936128;TRUE
French institutions;2021;10.1051/0004-6361/202140626;TRUE
French institutions;2021;10.1051/0004-6361/202140687;TRUE
French institutions;2021;10.1051/0004-6361/202140763;TRUE
French institutions;2021;10.1051/0004-6361/202140912;TRUE
French institutions;2021;10.1051/0004-6361/202141128;TRUE
French institutions;2021;10.1051/0004-6361/202140478;TRUE
French institutions;2021;10.1051/0004-6361/202142600;TRUE
French institutions;2021;10.1051/0004-6361/202142514;TRUE
French institutions;2021;10.1051/0004-6361/202141753;TRUE
French institutions;2021;10.1051/0004-6361/202141429;TRUE
French institutions;2021;10.1051/0004-6361/202141902;TRUE
French institutions;2021;10.1051/0004-6361/202142052;TRUE
French institutions;2021;10.1051/0004-6361/202040155;TRUE
French institutions;2021;10.1051/0004-6361/202140354;TRUE
French institutions;2021;10.1051/0004-6361/202040185;TRUE
French institutions;2021;10.1051/0004-6361/202140479;TRUE
