institution;period;euro;doi;is_hybrid;publisher;journal_full_title
University of Applied Sciences Bielefeld;2022;3600,44;10.1007/s00138-021-01271-w;TRUE;Springer;Machine Vision and Applications
University of Applied Sciences Bielefeld;2022;3600,44;10.1007/s11266-022-00476-5;TRUE;Springer;VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations 
University of Applied Sciences Bielefeld;2022;3600,44;10.1007/s11553-022-00985-7;TRUE;Springer;Prävention und Gesundheitsförderung
University of Applied Sciences Bielefeld;2022;3600,44;10.1007/s10965-022-03304-y;TRUE;Springer;Journal of Polymer Research volume
University of Applied Sciences Bielefeld;2022;3600,44;10.1007/s13218-022-00775-5;TRUE;Springer;KI - Künstliche Intelligenz
University of Applied Sciences Bielefeld;2022;3600,44;10.1007/s10845-022-02069-x;TRUE;Springer;Journal of Intelligent Manufacturing 
University of Applied Sciences Bielefeld;2022;2300,67;10.1002/masy.202100381;TRUE;Wiley;Macromolecular Symposia
University of Applied Sciences Bielefeld;2022;2300,67;10.1002/appl.202200024;TRUE;Wiley;Applied Research
University of Applied Sciences Bielefeld;2022;2300,67;10.1002/mame.202200276;TRUE;Wiley;Macromolecular Materials and Engineering
University of Applied Sciences Bielefeld;2022;3600,44;10.1007/s13753-022-00424-3;TRUE;Springer; International Journal of Disaster Risk Science 
