institution;period;euro;doi;is_hybrid;journal_full_title
University of Graz;2017;NA;10.1039/C7CE00515F;TRUE;CrystEngComm
Graz University of Technology;2017;NA;10.1039/C7CP00463J;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2017;NA;10.1039/C7NR07286D;TRUE;Nanoscale
University of Vienna;2017;NA;10.1039/C7DT03787B;TRUE;Dalton Transactions
Graz University of Technology;2017;NA;10.1039/C7AY01748K;TRUE;Analytical Methods
Graz University of Technology;2017;NA;10.1039/C7OB01513E;TRUE;Organic & Biomolecular Chemistry
TU Wien (TUW);2017;NA;10.1039/C7CS00403F;TRUE;Chemical Society Reviews and Quarterly Review of the Chemical Society
Graz University of Technology;2017;NA;10.1039/C7SM02057K;TRUE;Soft Matter
University of Vienna;2017;NA;10.1039/C7AN00902J;TRUE;Analyst
University of Vienna;2017;NA;10.1039/C6CP08575J;TRUE;Physical Chemistry Chemical Physics
University of Innsbruck;2017;NA;10.1039/C7CC06747J;TRUE;Chemical Communications
University of Innsbruck;2017;NA;10.1039/C7CE00939A;TRUE;CrystEngComm
University of Graz;2017;NA;10.1039/C7JA00030H;TRUE;Journal of Analytical Atomic Spectrometry
University of Innsbruck;2017;NA;10.1039/C7CP00180K;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2017;NA;10.1039/C7CP05706G;TRUE;Physical Chemistry Chemical Physics
University of Graz;2017;NA;10.1039/C6SM02727J;TRUE;Soft Matter
Graz University of Technology;2017;NA;10.1039/C7TC01639E;TRUE;Journal of Materials Chemistry C
University of Vienna;2017;NA;10.1039/C7AN00107J;TRUE;Analyst
University of Innsbruck;2017;NA;10.1039/C7DT02663C;TRUE;Dalton Transactions
Johannes Kepler University Linz;2017;NA;10.1039/C6CP07725K;TRUE;Physical Chemistry Chemical Physics
TU Wien (TUW);2017;NA;10.1039/C7OB00880E;TRUE;Organic & Biomolecular Chemistry
University of Vienna;2017;NA;10.1039/C7CP03198J;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2017;NA;10.1039/C7OB00546F;TRUE;Organic & Biomolecular Chemistry
University of Vienna;2017;NA;10.1039/C7CP02918G;TRUE;Physical Chemistry Chemical Physics
University of Innsbruck;2017;NA;10.1039/C7CP02994B;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2017;NA;10.1039/C7NR01846K;TRUE;Nanoscale
Johannes Kepler University Linz;2017;NA;10.1039/C6TC04830G;TRUE;Journal of Materials Chemistry C
University of Vienna;2017;NA;10.1039/C7EN00139H;TRUE;Environmental Science: Nano
Paris Lodron University of Salzburg;2017;NA;10.1039/C7DT00571G;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C6MT00226A;TRUE;Metallomics
University of Vienna;2017;NA;10.1039/C7CC07602A;TRUE;Chemical Communications
TU Wien (TUW);2017;NA;10.1039/C7TA02498C;TRUE;Journal of Materials Chemistry A
University of Innsbruck;2017;NA;10.1039/C7DT01548H;TRUE;Dalton Transactions
Paris Lodron University of Salzburg;2017;NA;10.1039/C7DT00558J;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C6SM02606K;TRUE;Soft Matter
TU Wien (TUW);2017;NA;10.1039/C7LC00815E;TRUE;Lab on a Chip
TU Wien (TUW);2017;NA;10.1039/C7PY00855D;TRUE;Polymer Chemistry
University of Innsbruck;2017;NA;10.1039/C7CP03632A;TRUE;Physical Chemistry Chemical Physics
University of Innsbruck;2017;NA;10.1039/C6DT04847A;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C7EM00116A;TRUE;Environmental Science: Processes & Impacts
University of Innsbruck;2017;NA;10.1039/C7CP01662J;TRUE;Physical Chemistry Chemical Physics
Johannes Kepler University Linz;2017;NA;10.1039/C7DT00180K;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C7CC05215D;TRUE;Chemical Communications
FWF - Austrian Science Fund;2017;NA;10.1039/C7DT00283A;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C7DT01809F;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C7DT02194A;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C7DT01767G;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C7NJ02328F;TRUE;New Journal of Chemistry
University of Vienna;2017;NA;10.1039/C7CP02258A;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2017;NA;10.1039/C7CP05126C;TRUE;Physical Chemistry Chemical Physics
TU Wien (TUW);2017;NA;10.1039/C7AY01369H;TRUE;Analytical Methods
University of Vienna;2017;NA;10.1039/C7SM01692A;TRUE;Soft Matter
University of Vienna;2017;NA;10.1039/C7MT00279C;TRUE;Metallomics
Graz University of Technology;2017;NA;10.1039/C7PY00152E;TRUE;Polymer Chemistry
University of Graz;2017;NA;10.1039/C7GC02913F;TRUE;Green Chemistry
University of Graz;2017;NA;10.1039/C7RE00176B;TRUE;Reaction Chemistry & Engineering
TU Wien (TUW);2017;NA;10.1039/C7CE01288H;TRUE;CrystEngComm
University of Innsbruck;2017;NA;10.1039/C6CP08436B;TRUE;Physical Chemistry Chemical Physics
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1039/C7NR02199B;TRUE;Nanoscale
University of Vienna;2017;NA;10.1039/C6DT04295C;TRUE;Dalton Transactions
University of Vienna;2017;NA;10.1039/C7NP00014F;TRUE;Natural Product Reports
Paris Lodron University of Salzburg;2017;NA;10.1039/C7PP00165G;TRUE;Photochemical & Photobiological Sciences
University of Vienna;2017;NA;10.1039/C7OB01834G;TRUE;Organic & Biomolecular Chemistry
Graz University of Technology;2017;NA;10.1039/C7CE00390K;TRUE;CrystEngComm
TU Wien (TUW);2017;NA;10.1039/C7CS00076F;TRUE;Chemical Society Reviews and Quarterly Review of the Chemical Society
Graz University of Technology;2017;NA;10.1039/C7LC00538E;TRUE;Lab on a Chip
