"institution","openapc_institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
Technische Universität Wien,TU Wien,2024,,10.1145/3583740.3626611,TRUE,FALSE,Association for Computing Machinery (ACM),The Eighth ACM/IEEE Symposium on Edge Computing,,,,,CC BY,,,,,,,acm2022kemoe,
WU Wirtschaftsuniversität Wien,Vienna University of Economics and Business (WU),2024,,10.1145/3589335.3651892,TRUE,FALSE,Association for Computing Machinery (ACM),Companion Proceedings of the ACM Web Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3597503.3623311,TRUE,FALSE,Association for Computing Machinery (ACM),2024 IEEE/ACM 46th International Conference on Software Engineering,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3597503.3623346,TRUE,FALSE,Association for Computing Machinery (ACM),2024 IEEE/ACM 46th International Conference on Software Engineering,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3603166.3632137,TRUE,FALSE,Association for Computing Machinery (ACM),2023 IEEE/ACM 16th International Conference on Utility and Cloud Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3603166.3632536,TRUE,FALSE,Association for Computing Machinery (ACM),2023 IEEE/ACM 16th International Conference on Utility and Cloud Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3603166.3632540,TRUE,FALSE,Association for Computing Machinery (ACM),2023 IEEE/ACM 16th International Conference on Utility and Cloud Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3603166.3632566,TRUE,FALSE,Association for Computing Machinery (ACM),2023 IEEE/ACM 16th International Conference on Utility and Cloud Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3605098.3635886,TRUE,FALSE,Association for Computing Machinery (ACM),The 39th ACM/SIGAPP Symposium on Applied Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3605098.3635921,TRUE,FALSE,Association for Computing Machinery (ACM),The 39th ACM/SIGAPP Symposium on Applied Computing,,,,,CC BY-SA,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3605098.3635922,TRUE,FALSE,Association for Computing Machinery (ACM),The 39th ACM/SIGAPP Symposium on Applied Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3605098.3636073,TRUE,FALSE,Association for Computing Machinery (ACM),The 39th ACM/SIGAPP Symposium on Applied Computing,,,,,CC BY-ND,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3605360,TRUE,FALSE,Association for Computing Machinery (ACM),Formal Aspects of Computing,0934-5043,,1433-299X,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3610978.3640570,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3610978.3640573,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3610978.3640753,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,,,CC BY-ND,,,,,,,acm2022kemoe,
AIT Austrian Institute of Technology GmbH,AIT Austrian Institute of Technology,2024,,10.1145/3613904.3641912,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the CHI Conference on Human Factors in Computing Systems,,,,,CC BY-NC,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3613904.3642063,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the CHI Conference on Human Factors in Computing Systems,,,,,CC BY-ND,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3613904.3642240,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the CHI Conference on Human Factors in Computing Systems,,,,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3613904.3642528,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the CHI Conference on Human Factors in Computing Systems,,,,,CC BY-ND,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3613904.3642844,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the CHI Conference on Human Factors in Computing Systems,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3615593.3615724,TRUE,FALSE,Association for Computing Machinery (ACM),2nd ACM Workshop on Data Privacy and Federated Learning Technologies for Mobile Edge Network (FedEdge),,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3618260.3649739,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 56th Annual ACM Symposium on Theory of Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3620665.3640373,TRUE,FALSE,Association for Computing Machinery (ACM),"29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3623509.3633369,TRUE,FALSE,Association for Computing Machinery (ACM),"Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3623509.3634894,TRUE,FALSE,Association for Computing Machinery (ACM),"Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3623509.3634897,TRUE,FALSE,Association for Computing Machinery (ACM),"Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3647613,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3652168,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3652171,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3652178,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3652179,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3652194,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3652199,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3625468.3652912,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Multimedia Systems Conference 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3625687.3628387,TRUE,FALSE,Association for Computing Machinery (ACM),The 21st ACM Conference on Embedded Networked Sensor Systems,,,,,CC BY,,,,,,,acm2022kemoe,
Institute of Science and Technology Austria,IST Austria,2024,,10.1145/3626183.3659969,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 36th ACM Symposium on Parallelism in Algorithms and Architectures,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3626252.3630785,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3627043.3659540,TRUE,FALSE,Association for Computing Machinery (ACM),"Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3627043.3659558,TRUE,FALSE,Association for Computing Machinery (ACM),"Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3627043.3659574,TRUE,FALSE,Association for Computing Machinery (ACM),"Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3627050.3627054,TRUE,FALSE,Association for Computing Machinery (ACM),The International Conference on the Internet of Things,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3627050.3627062,TRUE,FALSE,Association for Computing Machinery (ACM),The International Conference on the Internet of Things,,,,,CC BY-NC-SA,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3628034.3628037,TRUE,FALSE,Association for Computing Machinery (ACM),28th European Conference on Pattern Languages of Programs,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3628516.3655791,TRUE,FALSE,Association for Computing Machinery (ACM),Interaction Design and Children,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3629104.3666040,TRUE,FALSE,Association for Computing Machinery (ACM),The 18th ACM International Conference on Distributed and Event-based Systems,,,,,CC BY-NC,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3629170,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Recommender Systems,,,2770-6699,,CC BY-NC-ND,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3629296.3629358,TRUE,FALSE,Association for Computing Machinery (ACM),The 15th International Conference on Education Technology and Computers,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3629526.3645036,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 15th ACM/SPEC International Conference on Performance Engineering,,,,,CC BY,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3629527.3651420,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 15th ACM/SPEC International Conference on Performance Engineering,,,,,CC BY-NC,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3629527.3651423,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 15th ACM/SPEC International Conference on Performance Engineering,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3629527.3652899,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 15th ACM/SPEC International Conference on Performance Engineering,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3629527.3652901,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 15th ACM/SPEC International Conference on Performance Engineering,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3630106.3658944,TRUE,FALSE,Association for Computing Machinery (ACM),"The 2024 ACM Conference on Fairness, Accountability, and Transparency",,,,,CC BY-NC,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3631461.3631556,TRUE,FALSE,Association for Computing Machinery (ACM),25th International Conference on Distributed Computing and Networking,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3631700.3658522,TRUE,FALSE,Association for Computing Machinery (ACM),"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY-NC-ND,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3631700.3664896,TRUE,FALSE,Association for Computing Machinery (ACM),"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3631700.3664897,TRUE,FALSE,Association for Computing Machinery (ACM),"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3631700.3665185,TRUE,FALSE,Association for Computing Machinery (ACM),"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3631700.3665187,TRUE,FALSE,Association for Computing Machinery (ACM),"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3631802.3631825,TRUE,FALSE,Association for Computing Machinery (ACM),23rd Koli Calling International Conference on Computing Education Research,,,,,CC BY-NC-ND,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3632754.3632759,TRUE,FALSE,Association for Computing Machinery (ACM),Forum for Information Retrieval Evaluation,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3632754.3632761,TRUE,FALSE,Association for Computing Machinery (ACM),Forum for Information Retrieval Evaluation,,,,,CC BY,,,,,,,acm2022kemoe,
AIT Austrian Institute of Technology GmbH,AIT Austrian Institute of Technology,2024,,10.1145/3632775.3661940,TRUE,FALSE,Association for Computing Machinery (ACM),The 15th ACM International Conference on Future and Sustainable Energy Systems,,,,,CC BY,,,,,,,acm2022kemoe,
