institution;period;euro;doi;is_hybrid;journal_full_title
Graz University of Technology;2016;NA;10.1039/C6CP00360E;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2016;NA;10.1039/C6CP06858H;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2016;NA;10.1039/C6OB02182D;TRUE;Organic & Biomolecular Chemistry
Graz University of Technology;2016;NA;10.1039/C5CE02549D;TRUE;CrystEngComm
Graz University of Technology;2016;NA;10.1039/C6GC02160C;TRUE;Green Chemistry
Graz University of Technology;2016;NA;10.1039/C5CP06598D;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2016;NA;10.1039/C6AY02949C;TRUE;Analytical Methods
Graz University of Technology;2016;NA;10.1039/C6TC01126H;TRUE;Journal of Materials Chemistry C
Graz University of Technology;2016;NA;10.1039/C6DT00944A;TRUE;Dalton Transactions
Johannes Kepler University Linz;2016;NA;10.1039/C6CS00340K;TRUE;Chemical Society Reviews and Quarterly Review of the Chemical Society
Johannes Kepler University Linz;2016;NA;10.1039/C6TC02129H;TRUE;Journal of Materials Chemistry C
Johannes Kepler University Linz;2016;NA;10.1039/C6TC02717B;TRUE;Journal of Materials Chemistry C
Johannes Kepler University Linz;2016;NA;10.1039/C6QO00390G;TRUE;Organic Chemistry Frontiers
TU Wien (TUW);2016;NA;10.1039/C5AN01865J;TRUE;Analyst
TU Wien (TUW);2016;NA;10.1039/C6TA08110J;TRUE;Journal of Materials Chemistry A
TU Wien (TUW);2016;NA;10.1039/C6DT02251K;TRUE;Dalton Transactions
TU Wien (TUW);2016;NA;10.1039/C6CC06567H;TRUE;Chemical Communications
TU Wien (TUW);2016;NA;10.1039/C6PY01787H;TRUE;Polymer Chemistry
TU Wien (TUW);2016;NA;10.1039/C5PY02009C;TRUE;Polymer Chemistry
TU Wien (TUW);2016;NA;10.1039/C6NR00814C;TRUE;Nanoscale
TU Wien (TUW);2016;NA;10.1039/C6NJ00402D;TRUE;New Journal of Chemistry
TU Wien (TUW);2016;NA;10.1039/C6CP00493H;TRUE;Physical Chemistry Chemical Physics
TU Wien (TUW);2016;NA;10.1039/C6GC02641A;TRUE;Green Chemistry
TU Wien (TUW);2016;NA;10.1039/C6LC00008H;TRUE;Lab on a Chip
TU Wien (TUW);2016;NA;10.1039/C6JA00154H;TRUE;Journal of Analytical Atomic Spectrometry
TU Wien (TUW);2016;NA;10.1039/C6JA00335D;TRUE;Journal of Analytical Atomic Spectrometry
TU Wien (TUW);2016;NA;10.1039/C6NR04430A;TRUE;Nanoscale
University of Graz;2016;NA;10.1039/C6SM01919F;TRUE;Soft Matter
University of Graz;2016;NA;10.1039/C6SM00042H;TRUE;Soft Matter
University of Graz;2016;NA;10.1039/C6DT01692H;TRUE;Dalton Transactions
University of Graz;2016;NA;10.1039/C6MT00051G;TRUE;Metallomics
University of Graz;2016;NA;10.1039/C6NR05800K;TRUE;Nanoscale
University of Graz;2016;NA;10.1039/C6CY00070C;TRUE;Catalysis Science & Technology
University of Graz;2016;NA;10.1039/C6RE00186F;TRUE;Reaction Chemistry & Engineering
University of Graz;2016;NA;10.1039/C6CY01947A;TRUE;Catalysis Science & Technology
University of Graz;2016;NA;10.1039/C6GC02493A;TRUE;Green Chemistry
University of Innsbruck;2016;NA;10.1039/C6MB00133E;TRUE;Molecular BioSystems
University of Innsbruck;2016;NA;10.1039/C5CP07727C;TRUE;Physical Chemistry Chemical Physics
University of Innsbruck;2016;NA;10.1039/C6CP03324E;TRUE;Physical Chemistry Chemical Physics
University of Natural Resources and Life Sciences Vienna (BOKU);2016;NA;10.1039/C6CP06009A;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2016;NA;10.1039/C6DT00648E;TRUE;Dalton Transactions
University of Vienna;2016;NA;10.1039/C6FD00124F;TRUE;Faraday Discussions
University of Vienna;2016;NA;10.1039/C6CP04788B;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2016;NA;10.1039/C5MT00312A;TRUE;Metallomics
University of Vienna;2016;NA;10.1039/C6FO00689B;TRUE;Food & Function
University of Vienna;2016;NA;10.1039/C5FO01256B;TRUE;Food & Function
University of Vienna;2016;NA;10.1039/C5DT04705F;TRUE;Dalton Transactions
University of Vienna;2016;NA;10.1039/C5SM02679B;TRUE;Soft Matter
University of Vienna;2016;NA;10.1039/C6DT02784A;TRUE;Dalton Transactions
University of Vienna;2016;NA;10.1039/C6DT01298A;TRUE;Dalton Transactions
University of Vienna;2016;NA;10.1039/C6CC04326G;TRUE;Chemical Communications
University of Vienna;2016;NA;10.1039/C6NR08958E;TRUE;Nanoscale
