institution;period;euro;doi;is_hybrid;journal_full_title
FWF - Austrian Science Fund;2018;NA;10.1039/C8TC03537G;TRUE;Journal of Materials Chemistry C
Johannes Kepler University Linz;2018;NA;10.1039/C8FD00050F;TRUE;Faraday Discussions
University of Vienna;2018;NA;10.1039/C8SM01788C;TRUE;Soft Matter
University of Vienna;2018;NA;10.1039/C8CP00672E;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2018;NA;10.1039/C8CE01596A;TRUE;CrystEngComm
Graz University of Technology;2018;NA;10.1039/C8SM00653A;TRUE;Soft Matter
University of Vienna;2018;NA;10.1039/C8AN00258D;TRUE;Analyst
Graz University of Technology;2018;NA;10.1039/C8SM00545A;TRUE;Soft Matter
University of Vienna;2018;NA;10.1039/C8CP02111B;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2018;NA;10.1039/C7CP07052G;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2018;NA;10.1039/C7CP08549D;TRUE;Physical Chemistry Chemical Physics
University of Innsbruck;2018;NA;10.1039/C7CP07773D;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2018;NA;10.1039/C8DT00315G;TRUE;Dalton Transactions
Johannes Kepler University Linz;2018;NA;10.1039/C8SE00422F;TRUE;Sustainable Energy & Fuels
University of Vienna;2018;NA;10.1039/C7AN01984J;TRUE;Analyst
University of Vienna;2018;NA;10.1039/C8OB00419F;TRUE;Organic & Biomolecular Chemistry
Graz University of Technology;2018;NA;10.1039/C7PP00401J;TRUE;Photochemical & Photobiological Sciences
Graz University of Technology;2018;NA;10.1039/C8PY01195H;TRUE;Polymer Chemistry
University of Vienna;2018;NA;10.1039/C8AN01219A;TRUE;Analyst
University of Vienna;2018;NA;10.1039/C7DT04537A;TRUE;Dalton Transactions
Graz University of Technology;2018;NA;10.1039/C8RE00278A;TRUE;Reaction Chemistry & Engineering
TU Wien (TUW);2018;NA;10.1039/C8CY00818C;TRUE;Catalysis Science & Technology
University of Vienna;2018;NA;10.1039/C8CP02046A;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2018;NA;10.1039/C8CP01058G;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2018;NA;10.1039/C8EN00038G;TRUE;Environmental Science: Nano
TU Wien (TUW);2018;NA;10.1039/C8CS00201K;TRUE;Chemical Society Reviews and Quarterly Review of the Chemical Society
Graz University of Technology;2018;NA;10.1039/C8RE00016F;TRUE;Reaction Chemistry & Engineering
University of Innsbruck;2018;NA;10.1039/C8SM02030B;TRUE;Soft Matter
University of Vienna;2018;NA;10.1039/C7SM02366A;TRUE;Soft Matter
Johannes Kepler University Linz;2018;NA;10.1039/C8FD00122G;TRUE;Faraday Discussions
University of Vienna;2018;NA;10.1039/C7DT04769J;TRUE;Dalton Transactions
University of Innsbruck;2018;NA;10.1039/C7DT04790H;TRUE;Dalton Transactions
University of Vienna;2018;NA;10.1039/C8MT00152A;TRUE;Metallomics
University of Graz;2018;NA;10.1039/C8GC00008E;TRUE;Green Chemistry
University of Innsbruck;2018;NA;10.1039/C8CE01726C;TRUE;CrystEngComm
Graz University of Technology;2018;NA;10.1039/C8NJ04823A;TRUE;New Journal of Chemistry
Graz University of Technology;2018;NA;10.1039/C8TA02467G;TRUE;Journal of Materials Chemistry A
Graz University of Technology;2018;NA;10.1039/C8TC05103H;TRUE;Journal of Materials Chemistry C
University of Vienna;2018;NA;10.1039/C8CC04786C;TRUE;Chemical Communications
University of Vienna;2018;NA;10.1039/C8CC02499E;TRUE;Chemical Communications
University of Vienna;2018;NA;10.1039/C8CP03273D;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2018;NA;10.1039/C8CP05662E;TRUE;Physical Chemistry Chemical Physics
University of Vienna;2018;NA;10.1039/C8CP06656F;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2018;NA;10.1039/C8RE00194D;TRUE;Reaction Chemistry & Engineering
Johannes Kepler University Linz;2018;NA;10.1039/C8TA04817G;TRUE;Journal of Materials Chemistry A
University of Innsbruck;2018;NA;10.1039/C7CP08595H;TRUE;Physical Chemistry Chemical Physics
Graz University of Technology;2018;NA;10.1039/C7DT04487A;TRUE;Dalton Transactions
TU Wien (TUW);2018;NA;10.1039/C8JA00161H;TRUE;Journal of Analytical Atomic Spectrometry
University of Vienna;2018;NA;10.1039/C7CC07549A;TRUE;Chemical Communications
University of Vienna;2018;NA;10.1039/C8DT02787K;TRUE;Dalton Transactions
Graz University of Technology;2018;NA;10.1039/C8PY00233A;TRUE;Polymer Chemistry
University of Graz;2018;NA;10.1039/C8RE00070K;TRUE;Reaction Chemistry & Engineering
TU Wien (TUW);2018;NA;10.1039/C8NJ01077C;TRUE;New Journal of Chemistry
University of Graz;2018;NA;10.1039/C8CC00290H;TRUE;Chemical Communications
Graz University of Technology;2018;NA;10.1039/C8TC02726A;TRUE;Journal of Materials Chemistry C
Johannes Kepler University Linz;2018;NA;10.1039/C8OB02375A;TRUE;Organic & Biomolecular Chemistry
TU Wien (TUW);2018;NA;10.1039/C8AN00313K;TRUE;Analyst
University of Vienna;2018;NA;10.1039/C7CC09801D;TRUE;Chemical Communications
University of Vienna;2018;NA;10.1039/C8CS00335A;TRUE;Chemical Society Reviews and Quarterly Review of the Chemical Society
TU Wien (TUW);2018;NA;10.1039/C8OB00122G;TRUE;Organic & Biomolecular Chemistry
University of Vienna;2018;NA;10.1039/C8SM00133B;TRUE;Soft Matter
