"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Bonn U",2023,2892.93,"10.56715/398634176",FALSE,"Verlag Westfälisches Dampfboot","Verqueerte Identitäten?","978-3-89691-135-3","978-3-89691-135-3",NA,NA,TRUE,FALSE
"Bonn U",2024,6991.25,"10.14361/9783839471135",FALSE,"transcript Verlag","Wer zählt?","978-3-8376-7113-1","978-3-8376-7113-1","978-3-8394-7113-5","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"Bonn U",2024,11900,"10.13109/9783666500466",FALSE,"Vandenhoeck & Ruprecht","Kirche - Diakonie - und .?","978-3-666-50046-6","978-3-666-50046-6","978-3-666-50046-6",NA,TRUE,TRUE
"Bonn U",2024,10710,"10.30965/9783657794652",FALSE,"Brill | Schöningh","Hiobs Begegnung","978-3-657-79465-2","978-3-506-79465-9","978-3-657-79465-2",NA,TRUE,FALSE
"Bonn U",2024,3784.2,"10.14619/2362",FALSE,"Meson Press","Kritik des Neo-Extraktivismus in der Gegenwartskunst","978-3-95796-236-2","978-3-95796-236-2","978-3-95796-237-9",NA,FALSE,FALSE
"Bonn U",2024,5725.8,"10.46500/83535425",FALSE,"Wallstein Verlag","Politik der Gerüchte: Dramen von Gryphius bis Kleist im medien- und öffentlichkeitsgeschichtlichen Kontext","978-3-8353-8108-7","978-3-8353-8108-7",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"Bonn U",2024,5474,"10.1515/9783111469676",FALSE,"De Gruyter","Migrierende Subjekte in romanischen Literaturen der Welt","978-3-11-146967-6",NA,"978-3-11-146967-6","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Bonn U",2024,5000,"10.1515/9783111553528",FALSE,"De Gruyter","Charis oder Riskante Reziprozität","978-3-11-155352-8",NA,"978-3-11-155352-8","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Bonn U",2024,7140,"10.14361/9783839471760",FALSE,"transcript Verlag","Webfare","978-3-8376-7176-6","978-3-8376-7176-6","978-3-8394-7176-0","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,FALSE
"Bonn U",2024,3430,"10.1628/978-3-16-164006-3",FALSE,"Mohr Siebeck","Johann Gottfried Herder und Bückeburg","978-3-16-164006-3",NA,"978-3-16-164006-3","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
