institution;period;euro;doi;backlist_oa;publisher;book_title;isbn;isbn_print;isbn_electronic;license_ref;doab;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2022;4701,4;https://doi.org/10.5771/9783748933793;FALSE;Nomos;Alternativ?Entwurf Audiovisuelle Dokumentation der Hauptverhandlung (AE?ADH);NA;978-3-8487-7530-9;978-3-7489-3379-3;CC BY;TRUE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2022;10000;https://doi.org/10.30965/9783657793396;FALSE;Ferdinand Schöningh;Syriac Theology: Past and Present;NA;978-3-506-79339-3 ;978-3-657-79339-6;CC BY-NC-ND;TRUE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2023;4998;https://doi.org/10.3224/84742764;FALSE;Barbara Budrich;Multivariate scaling methods and the reconstruction of social spaces – papers in honor of Jörg Blasius;NA;978-3-8474-2764-3;978-3-8474-1856-6;CC BY;TRUE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2023;545;https://doi.org/10.1484/M.NAW-EB.5.134100;FALSE;Brepols;Askr and Embla: The Creation of Man from Trees;NA;978-2-503-60484-8;978-2-503-60485-5;CC BY-NC;FALSE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2023;4090;https://doi.org/10.56715/398634157;FALSE;Westfälisches Dampfboot;Geographie und Recht – Gerichtsverfahren als Untersuchungsgegenstand der Politischen Geographie;NA;978-3-89691-091-2;NA;CC BY;FALSE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2023;6420;https://doi.org/10.1515/9783111137155;FALSE;De Gruyter;Moving Workers: Historical Perspectives on Labour, Coercion and Im/Mobilities;NA;978-3-1111-3651-6;978-3-1111-3715-5;CC BY-NC-ND ;TRUE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2023;10000;https://doi.org/10.30965/9783657791552;FALSE;Brill;Beyond  Binaries - Religious Diversity in Europe;NA;978-3-506-79155-9;978-3-657-79155-2;CC BY-NC-ND;TRUE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2023;2782;https://doi.org/10.3790/978-3-428-58960-9;FALSE;Duncker & Humblot;Gerechtigkeit aus der Ferne?;NA;978-3-428-18960-1;978-3-428-58960-9;CC BY-NC-ND ;FALSE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2024;6991,25;https://doi.org/10.14361/9783839471135;FALSE;transcript;"Wer zählt? Praktisch-theologische Fährten zwischen der Neuen Politischen Theologie und Judith Butler";NA;978-3-8376-7113-1;978-3-8394-7113-5;CC BY;FALSE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2024;10710,00;https://doi.org/10.30965/9783657794652;FALSE;Brill-Schöningh;Hiobs Begegnung. Islamische und christliche Perspektiven auf Theodizee und Theodizeesensibilität;NA;978-3-506-79465-9;978-3-657-79465-2;CC BY-NC-ND;TRUE;;;;;;;;;;;;;;;;;;;
Rheinische Friedrich-Wilhelms-Universität Bonn;2024;6000,00;https://doi.org/10.14361/9783839471760;FALSE;transcipt;Webfare. A Manifesto for Digital Well-Being.;NA;978-3-8376-7176-6;978-3-8394-7176-0;CC BY-SA;TRUE;;;;;;;;;;;;;;;;;;;
