"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"University of Helsinki",2023,6600,"10.4324/9781003375326",FALSE,"Routledge","Debating the War in Ukraine","978-1-003-37532-6",NA,"978-1-003-37532-6",NA,TRUE,FALSE
"",,,"","","","","","","","","",""
"University of Helsinki",2023,3300,"10.4324/9781003095101",FALSE,"Routledge","Studying Complex Interactions and Outcomes Through Qualitative Comparative Analysis","978-1-003-09510-1",NA,"978-1-003-09510-1",NA,TRUE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"University of Helsinki",2023,12000,"10.4324/9781003197829",FALSE,"Routledge","Law, Ecology, and the Management of Complex Systems","978-1-003-19782-9",NA,"978-1-003-19782-9",NA,TRUE,FALSE
"",,,"","","","","","","","","",""
