"institution",period,euro,"doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00706-016-1706-x",TRUE,"Springer Nature","Monatshefte für Chemie - Chemical Monthly","0026-9247","0026-9247","1434-4475","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11682-016-9537-2",TRUE,"Springer Nature","Brain Imaging and Behavior","1931-7557","1931-7557","1931-7565",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00382-016-3057-z",TRUE,"Springer Nature","Climate Dynamics","0930-7575","0930-7575","1432-0894","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10570-016-0896-z",TRUE,"Springer Nature","Cellulose","0969-0239","0969-0239","1572-882X","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11250-016-1032-7",TRUE,"Springer Nature","Tropical Animal Health and Production","0049-4747","0049-4747","1573-7438","http://creativecommons.org/licenses/by/4.0",TRUE,"27048619","PMC4884201",NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00454-016-9766-6",TRUE,"Springer Nature","Discrete & Computational Geometry","0179-5376","0179-5376","1432-0444",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00706-016-1731-9",TRUE,"Springer Nature","Monatshefte für Chemie - Chemical Monthly","0026-9247","0026-9247","1434-4475",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s12012-016-9366-y",TRUE,"Springer Nature","Cardiovascular Toxicology","1530-7905","1530-7905","1559-0259",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00028-016-0326-6",TRUE,"Springer Nature","Journal of Evolution Equations","1424-3199","1424-3199","1424-3202","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s12064-016-0225-y",TRUE,"Springer Nature","Theory in Biosciences","1431-7613","1431-7613","1611-7530","http://creativecommons.org/licenses/by/4.0",TRUE,"27048513","PMC4870308",NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10455-016-9508-2",TRUE,"Springer Nature","Annals of Global Analysis and Geometry","0232-704X","0232-704X","1572-9060",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10071-016-0968-3",TRUE,"Springer Nature","Animal Cognition","1435-9448","1435-9448","1435-9456",NA,TRUE,"26914456","PMC4824828",NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s40521-016-0084-2",TRUE,"Springer Nature","Current Treatment Options in Allergy","2196-3053",NA,"2196-3053","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00291-016-0444-0",TRUE,"Springer Nature","OR Spectrum","0171-6468","0171-6468","1436-6304","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00706-016-1748-0",TRUE,"Springer Nature","Monatshefte für Chemie - Chemical Monthly","0026-9247","0026-9247","1434-4475","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00285-016-1008-2",TRUE,"Springer Nature","Journal of Mathematical Biology","0303-6812","0303-6812","1432-1416","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s12104-016-9685-8",TRUE,"Springer Nature","Biomolecular NMR Assignments","1874-2718","1874-2718","1874-270X","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11738-016-2150-6",TRUE,"Springer Nature","Acta Physiologiae Plantarum","0137-5881","0137-5881","1861-1664","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10817-016-9373-5",TRUE,"Springer Nature","Journal of Automated Reasoning","0168-7433","0168-7433","1573-0670","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
