Institution,"Period","EURO","publisher","journal_full_title","issn","issn_print","issn_electronic","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ","license_ref"
Bayreuth U,2014,"1969.45","BMC","Mov Ecol (Movement Ecology)",2051-3933,NA,2051-3933,"10.1186/s40462-014-0026-1",,,,,,,,,
Bayreuth U,2014,1969.45,BMC,BMC Neurol (BMC neurology),1471-2377;1471-2377,1471-2377,1471-2377,10.1186/s12883-014-0165-4,,,,,,,,,
Bayreuth U,2014,"1967.07",Copernicus Publications,Biogeosciences Discuss. (Biogeosciences Discussions),1810-6277;1810-6285,1810-6277,1810-6285,10.5194/bgd-11-8861-2014,,,,,,,,,
Bayreuth U,2014,1951.6,BMC,BMC Public Health (BMC public health),1471-2458;1471-2458,1471-2458,1471-2458,10.1186/1471-2458-14-822,,,,,,,,,
Bayreuth U,2014,1926,BMC,BMC Genomics (BMC genomics),1471-2164;1471-2164,1471-2164,1471-2164,10.1186/1471-2164-15-306,,,,,,,,,
Bayreuth U,2014,1904,Frontiers,Front. Plant Sci. (Frontiers in Plant Science),1664-462X;1664-462X,1664-462X,1664-462X,10.3389/fpls.2014.00530,,,,,,,,,
Bayreuth U,2013,"1875.00",BioMed Central,BMC Biol (BMC Biology),1741-7007;1741-7007,1741-7007,1741-7007,10.1186/1741-7007-11-113,,,,,,,,,
Bayreuth U,2014,"1772.89",MDPI,"Sensors (Basel) (Sensors (Basel, Switzerland))",1424-8220;1424-8220,1424-8220,1424-8220,10.3390/s140916856,,,,,,,,,
Bayreuth U,2013,"1734.37",Public Library of Science (PLoS),PLoS Genet (PLoS Genetics),1553-7390;1553-7404,1553-7390,1553-7404,10.1371/journal.pgen.1003463,,,,,,,,,
Bayreuth U,2014,"1656.60",PLoS,PLoS Genet. (PLoS genetics),1553-7390;1553-7404,1553-7390,1553-7404,10.1371/journal.pgen.1004540,,,,,,,,,
Bayreuth U,2012,"1615.00",BioMed Central,BMC Neurol (BMC Neurology),1471-2377;1471-2377,1471-2377,1471-2377,10.1186/1471-2377-12-161,,,,,,,,,
Bayreuth U,2014,1585,BMC,BMC Microbiol. (BMC microbiology),1471-2180;1471-2180,1471-2180,1471-2180,10.1186/1471-2180-14-153,,,,,,,,,
Bayreuth U,2013,"1482.58",MDPI AG,Sensors,1424-8220;1424-8220,1424-8220,1424-8220,10.3390/s130404760,,,,,,,,,
Bayreuth U,2013,"1478.93",MDPI AG,Sensors,1424-8220;1424-8220,1424-8220,1424-8220,10.3390/s130404428,,,,,,,,,
Bayreuth U,2013,"1478.93",MDPI AG,Molecules,1420-3049;1420-3049,1420-3049,1420-3049,10.3390/molecules18044120,,,,,,,,,
Bayreuth U,2013,"1463.89",MDPI AG,Sensors,1424-8220;1424-8220,1424-8220,1424-8220,10.3390/s131216051,,,,,,,,,
Bayreuth U,2014,1414.91,Copernicus Publications,Atmos. Chem. Phys. Discuss. (Atmospheric Chemistry and Physics Discussions),1680-7367;1680-7375,1680-7367,1680-7375,10.5194/acpd-14-171-2014,,,,,,,,,
Bayreuth U,2014,1380.4,Copernicus Publications,Atmos. Meas. Tech. Discuss. (Atmospheric Measurement Techniques Discussions),1867-8610;1867-8610,1867-8610,1867-8610,10.5194/amtd-7-4987-2014,,,,,,,,,
Bayreuth U,2014,1374.59,MDPI,Materials,1996-1944;1996-1944,1996-1944,1996-1944,10.3390/ma7085633,,,,,,,,,
Bayreuth U,2014,"1371.19",MDPI,Int J Environ Res Public Health (International journal of environmental research and public health),1660-4601;1660-4601,1660-4601,1660-4601,10.3390/ijerph110303360,,,,,,,,,
Bayreuth U,2013,"1343.05",Impact Journals LLC,Aging,1945-4589,NA,1945-4589,,,23524286,PMC3629287,,,,,,
Bayreuth U,2014,"1332.80",Wiley,Ecol Evol (Ecology and Evolution),2045-7758;2045-7758,2045-7758,2045-7758,10.1002/ece3.971,,,,,,,,,
Bayreuth U,2014,1300,Copernicus Publications,Biogeosciences Discuss. (Biogeosciences Discussions),1810-6277;1810-6285,1810-6277,1810-6285,10.5194/bgd-11-2155-2014,,,,,,,,,
Bayreuth U,2014,1244.74,Nature Publishing Group,Sci Rep (Scientific reports),2045-2322;2045-2322,2045-2322,2045-2322,10.1038/srep04316,,,,,,,,,
Bayreuth U,2014,1200,MDPI,Remote Sensing,2072-4292;2072-4292,2072-4292,2072-4292,10.3390/rs6032408,,,,,,,,,
Bayreuth U,2014,1200,Copernicus Publications,Biogeosciences Discuss. (Biogeosciences Discussions),1810-6277;1810-6285,1810-6277,1810-6285,10.5194/bgd-11-1535-2014,,,,,,,,,
Bayreuth U,2014,1200,Copernicus Publications,Biogeosciences Discuss. (Biogeosciences Discussions),1810-6277;1810-6285,1810-6277,1810-6285,10.5194/bgd-11-7797-2014,,,,,,,,,
Bayreuth U,2014,1177.64,MDPI,Energies,1996-1073;1996-1073,1996-1073,1996-1073,10.3390/en7074482,,,,,,,,,
Bayreuth U,2014,"1104.32",Copernicus Publications,Atmos. Chem. Phys. Discuss. (Atmospheric Chemistry and Physics Discussions),1680-7367;1680-7375,1680-7367,1680-7375,10.5194/acpd-14-10135-2014,,,,,,,,,
Bayreuth U,2014,1085.28,Copernicus Publications,Atmos. Meas. Tech. Discuss. (Atmospheric Measurement Techniques Discussions),1867-8610;1867-8610,1867-8610,1867-8610,10.5194/amtd-7-4551-2014,,,,,,,,,
Bayreuth U,2014,"1065.05",SpringerOpen,Health Econ Rev (Health Economics Review),2191-1991;2191-1991,2191-1991,2191-1991,10.1186/s13561-014-0028-0,,,,,,,,,
Bayreuth U,2014,1046,Nature Publishing Group,Sci Rep (Scientific reports),2045-2322;2045-2322,2045-2322,2045-2322,10.1038/srep06099,,,,,,,,,
Bayreuth U,2014,1035.3,Copernicus Pulications,Biogeosciences Discuss. (Biogeosciences Discussions),1810-6277;1810-6285,1810-6277,1810-6285,10.5194/bgd-11-7823-2014,,,,,,,,,
Bayreuth U,2013,"1000.82",Public Library of Science (PLoS),PLoS ONE,1932-6203;1932-6203,1932-6203,1932-6203,10.1371/journal.pone.0077580,,,,,,,,,
Bayreuth U,2013,"1000.00","Portland Press, Biochemical Society",Biosci. Rep. (Bioscience Reports),0144-8463;1573-4935,0144-8463,1573-4935,10.1042/BSR20120121,,,,,,,,,
Bayreuth U,2013,"995.65",Public Library of Science (PLoS),PLoS ONE,1932-6203;1932-6203,1932-6203,1932-6203,10.1371/journal.pone.0084078,,,,,,,,,
Bayreuth U,2013,"993.09",Public Library of Science (PLoS),PLoS ONE,1932-6203;1932-6203,1932-6203,1932-6203,10.1371/journal.pone.0067856,,,,,,,,,
Bayreuth U,2014,"991.12",PLoS,PLoS ONE,1932-6203;1932-6203,1932-6203,1932-6203,10.1371/journal.pone.0102444,,,,,,,,,
Bayreuth U,2013,"990.00",Institute of Physics Publishing (IOP) and Deutsche Physikalische Gesellschaft,New J. Phys. (New Journal of Physics),1367-2630;1367-2630,1367-2630,1367-2630,10.1088/1367-2630/15/9/093016,,,,,,,,,
