is_hybrid;institution;issn;journal_full_title;publisher;euro;period;DOI
false;Universität Salzburg;2050-7445;Heritage Science;Springer; € 2 094,00 ;2024;10.1186/s40494-024-01143-2
false;Universität Salzburg;1479-5868;International Journal of Behavioral Nutrition and Physical Activity;Springer; € 3 090,00 ;2024;10.1186/s12966-024-01566-x
false;Universität Salzburg;2075-4701;Metals;MDPI; € 2 595,40 ;2024;10.3390/met14040404
false;Universität Salzburg;1471-2229;BMC Plant Biology;Springer; € 3 174,00 ;2024;10.1186/s12870-024-04955-3
false;Universität Salzburg;1422-0067;International Journal of Molecular Sciences;MDPI; € 2 184,40 ;2024;10.3390/ijms25137083
false;Universität Salzburg;2041-1723;Nature Communications;Springer; € 6 828,00 ;2024;10.1038/S41467-024-48126-2
false;Universität Salzburg;1664-3224;Frontiers in Immunology;Frontiers; € 3 264,77 ;2024;10.3389/fimmu.2024.1393819
false;Universität Salzburg;2076-0760;Social Sciences;MDPI; € 1 769,80 ;2024;10.3390/socsci13060282
false;Universität Salzburg;1478-811X;Cell Communication and Signaling;BMC; € 3 414,00 ;2024;10.1186/s12964-024-01777-6
false;Universität Salzburg;2050-084X;eLife;eLife; € 2 142,86 ;2024;10.7554/eLife.100605
false;Universität Salzburg;2050-084X;eLife;eLife; € 2 678,57 ;2024;10.7554/eLife.101262.1
false;Universität Salzburg;1019-8288;Kriterion – A Journal of Philosophy;De Gruyter; € 1 440,00 ;2024;10.1515/krt-2024-0024
false;Universität Salzburg;2662-9992;Humanities & Social Sciences Communications;Springer; € 1 674,00 ;2024;10.1057/S41599-024-03828-2
false;Universität Salzburg;1932-6203;PLOS ONE;PLOS; € 2 453,57 ;2024;10.1371/journal.pone.0301876
false;Universität Salzburg;2045-2322;Scientific Reports;Springer; € 2 814,00 ;2024;10.1038/s41598-024-81241-0 
false;Universität Salzburg;2373-2822;eNeuro;Society for Neuroscience; € 4 116,56 ;2024;10.1523/ENEURO.0368-24.2024 
false;Universität Salzburg;2052-4463;Scientific Data;Springer; € 2 454,00 ;2024;10.1038/s41597-024-04282-0
