institution;period;euro;doi;backlist_oa;publisher;book_title;isbn;isbn_print;isbn_electronic;license_ref;indexed_in_crossref;doab
Universität Salzburg;2016;2270;NA;FALSE;epodium;Überschreitungen. Beiträge zur Theoretisierung von Inszenierung- und Aufführungspraxis;978-3-940388-53-7;;;https://creativecommons.org/licenses/by/4.0/;;
Universität Salzburg;2016;2277;NA;FALSE;epodium;Moderne Szenerien. Skizzen zur Diverstität von Tanz- und Musikkulturen (1910–1950);978-3-940388-55-1;;;https://creativecommons.org/licenses/by/4.0/;;
Universität Salzburg;2016;1190;NA;FALSE;Waxmann;Sprachen und Kulturen: vermitteln und vernetzen;;978-3-8309-3506-3;978-3-8309-8506-8;https://creativecommons.org/licenses/by-nc-nd/4.0/;;
Universität Salzburg;2017;1190;NA;FALSE;Waxmann;Romanistische Fachdidaktik;;978-3-8309-3557-5;978-3-8309-8557-0;https://creativecommons.org/licenses/by-nc-nd/4.0/;;
Universität Salzburg;2019;15000;10.1007/978-3-030-02653-0;FALSE;Palgrave Macmillan;Social Inequality, Childhood and the Media. A Longitudinal Study of the Mediatisation of Socialisation;;978-3-030-02652-3;978-3-030-02653-0;https://creativecommons.org/licenses/by/4.0/;;
Universität Salzburg;2018;3000;NA;FALSE;Waxmann;Musik und Migration;978-3-8309-3712-8;;;https://creativecommons.org/licenses/by-nc-nd/4.0/;;
Universität Salzburg;2018;9600;10.11588/arthistoricum.425;FALSE;Reimer;Schönheit - Der Körper als Kunstprodukt;;978-3-496-01593-2;978-3-947449-19-4;https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode;;
Universität Salzburg;2020;4493;10.14361/9783839446508;FALSE;transcript-Verlag;»Truth« and Fiction;;978-3-839-44650-8;978-3-839-44650-8;http://creativecommons.org/licenses/by-nc-nd/4.0/;;
Universität Salzburg;2019;1190;NA;FALSE;Waxmann;La construcción de la cultura en el Español como lengua extranjera (ELE) ;;978-3-8309-4009-8;978-3-8309-9009-3;https://creativecommons.org/licenses/by-nc-nd/4.0/;;
Universität Salzburg;2019;7616;10.31244/9783830991397;FALSE;Waxmann;Kulturen, Religionenund Identitätenaushandeln;;978-3-8309-4139-2;978-3-8309-9139-7 ;https://creativecommons.org/licenses/by-nc-nd/4.0/;;
Universität Salzburg;2020;2042;10.31244/9783830991946;FALSE;Waxmann;Demokratie lernen in der Schule Politische Bildung als Aufgabe für alle Unterrichtsfächer;;978-3-8309-4194-1;978-3-8309-9194-6;https://creativecommons.org/licenses/by-nc-nd/4.0/;;
