"is_hybrid","institution","issn","journal_full_title","publisher","euro","period","DOI"
"false","Universität Salzburg","2045-2322","Scientific Reports","Nature Research",1566,2018,"10.1038/s41598-017-16726-2"
"false","Universität Salzburg","2045-7758","Ecology and Evolution","Wiley",1468,2018,"10.1002/ece3.3755"
"false","Universität Salzburg","1932-6203","PLOS One","Public Library of Science",1433,2018,"10.1371/journal.pone.0191426"
"false","Universität Salzburg","2071-1050","Sustainability","MDPI",1156,2018,"10.3390/su10030712"
"false","Universität Salzburg","2162-3279","Brain & Behaviour","Wiley",1642,2018,"10.1002/brb3.877"
"false","Universität Salzburg","2730-7182","BMC Evolutionary Biology","BMC",2000,2018,"10.1186/s12862-016-0586-3"
"false","Universität Salzburg","1179-5727","Rehabilitation Process and Outcome","SAGE",907,2018,"10.1177/1179572718765138"
"false","Universität Salzburg","2044-6055","BMJ Open","BMJ Publishing Group",2000,2018,"10.1136/bmjopen-2017-018412"
"false","Universität Salzburg","2041-1723","Nature Communications","Nature Research",4440,2018,"10.1038/s41467-018-04061-7"
"false","Universität Salzburg","1664-1078","Frontiers in Psychology","Frontiers",2590,2018,"10.3389/fpsyg.2018.00577"
"false","Universität Salzburg","2414-4169","GW-Unterricht","Universität Wien",750,2018,"10.1553/gw-unterricht150s5"
"false","Universität Salzburg","2414-4169","GW-Unterricht","Universität Wien",800,2018,"10.1553/gw-unterricht151s43"
"false","Universität Salzburg","2397-4648","npj Quantum Material","Nature Research",1872,2018,"10.1038/s41535-018-0103-6"
"false","Universität Salzburg","1438-8871","JMIR","JMIR Publications",1823,2018,"10.2196/mental.9613"
"false","Universität Salzburg","1662-5099","Frontiers in Molecular Neurosciec","Frontiers",2950,2018,"10.3389/fnmol.2018.00460"
"false","Universität Salzburg","1664-462X","Frontiers in Plant Science","Frontiers",2746,2018,"10.3389/fpls.2018.01072"
"false","Universität Salzburg","2414-4169","GW-Unterricht","Universität Wien",150,2018,"10.1553/gw-unterricht151s66"
"false","Universität Salzburg","2072-4292","Remote Sensing","MDPI",1705,2018,"10.3390/rs10091419"
"false","Universität Salzburg","1932-6203","PLoS ONE","Public Library of Science",1644,2018,"10.1371/journal.pone.0204151"
"false","Universität Salzburg","1438-887","JMIR","JMIR Publications",2786,2019,"10.2196/11860"
"false","Universität Salzburg","1664-1078","Frontiers in Psychology","Frontiers",2357,2019,"10.3389/fpsyg.2018.02553"
"false","Universität Salzburg","2300-229","Dependence Modeling","De Gruyter",360,2019,"10.1515/demo-2018-0021"
"false","Universität Salzburg","2405-8440","Helyon","Elsevier",1296,2019,"10.1016/j.heliyon.2018.e01014"
"false","Universität Salzburg","2045-2322","Scientific Reports","Nature Research",1644,2019,"10.1038/s41598-018-37624-1"
"false","Universität Salzburg","1866-888","European Transport Research Review","Springer Nature",1380,2019,"10.1186/s12544-019-0347-7"
"false","Universität Salzburg","1749-5024","Social Cognitive and Affective Neuroscience","Oxford University Press",1422,2019,"10.1093/scan/nsz005"
"false","Universität Salzburg","1424-8220","Sensors","MDPI",1267,2019,"10.3390/s19040902"
"false","Universität Salzburg","1664-1078","Frontiers in Psychology","Frontiers",2387,2019,"10.3389/fpsyg.2019.00307"
"false","Universität Salzburg","2296-665X","Frontiers in Environmental Science","Frontiers",2073,2019,"10.3389/fenvs.2019.00136"
"false","Universität Salzburg","1438-8871","JMIR mHealth and uHealth","JMIR Publications",2640,2019,"10.2196/12298"
"false","Universität Salzburg","2183-2803","Social Inclusion","Cogitatio",1080,2019,"10.17645/si.v7i2.1969"
"false","Universität Salzburg","1473-0480","British Journal of Sports Medicine","BMJ Publishing Group",2614,2019,"10.1136/bjsports-2018-100040"
"false","Universität Salzburg","1664-042X","Frontiers in Physiology","Frontiers",2860,2019,"10.3389/fphys.2019.00035"
"false","Universität Salzburg","1662-5161","Frontiers in Human Neuroscience","Frontiers",1947,2019,"10.3389/fnhum.2019.00021"
"false","Universität Salzburg","1999-490","Forests","MDPI",1554,2019,"10.3390/f10070533"
"false","Universität Salzburg","2414-4169","GW-Unterricht","Universität Wien",800,2019,"10.1553/gw-unterricht154s21"
"false","Universität Salzburg","2041-1723","Nature Communications","Nature Research",4290,2019,"10.1038/s41467-019-11440-1"
"false","Universität Salzburg","2214-782","Internet Interventions","Elsevier",2018,2019,"10.1016/j.invent.2019.100242"
"false","Universität Salzburg","2375-2548","Science Advances","American Association for the Advancement of Science",4135,2019,"10.1126/sciadv.aav9394"
"false","Universität Salzburg","2076-3263","Geosciences","MDPI",729,2019,"10.3390/geosciences9040156"
"false","Universität Salzburg","2075-163X","Minerals","MDPI",939,2019,"10.3390/min9070444"
"false","Universität Salzburg","2041-1723","Nature Communications","Springer Nature",4530,2020,"10.1038/s41467-020-15099-x"
