is_hybrid;institution;issn;journal_full_title;publisher;euro;period;DOI
false;Universität Salzburg;2183-2439;Media and Communication ;Cogitatio;1140;2023;10.17645/mac.v11i1.6050
false;Universität Salzburg;2569-3263;Chemistry Teacher International;DeGruyter;400,02;2023;10.1515/cti-2023-0067
false;Universität Salzburg;2673-2726;Frontiers in Human Dynamics;Frontiers;757,98;2023;10.3389/fhumd.2022.1070376
false;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers;2060,92;2023;10.3389/fspor.2022.1066131
false;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers;2080;2023;10.3389/fspor.2023.1112663
false;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers;2080;2023;10.3389/fspor.2023.1133777
false;Universität Salzburg;1664-042X;Frontiers in Physiology;Frontiers;3225;2023;10.3389/fphys.2023.1159728 
false;Universität Salzburg;2624-9898;Frontiers in Computer Science-Human-Media Interaction;Frontiers;1260;2023;10.3389/fcomp.2023.1233904
false;Universität Salzburg;2227-7102;education sciences;MDPI;1222,45;2023;10.3390/educsci13020170
false;Universität Salzburg;2076-393X;vaccines;MDPI;2140,93;2023;10.3390/vaccines11030503
false;Universität Salzburg;2073-4441;water;MDPI;2132,84;2023;10.3390/w15071332
false;Universität Salzburg;2227-9032;healthcare;MDPI;1815,58;2023;10.3390/healthcare11101514
false;Universität Salzburg;2071-1050;sustainability;MDPI;2043;2023;10.3390/su151411149
false;Universität Salzburg;1422-0067;International Journal of Molecular Sciences;MDPI;2461,44;2023;10.3390/ijms241814003
false;Universität Salzburg;2071-1050;sustainability;MDPI;1934,64;2023;10.3390/su142315869
false;Universität Salzburg;1932-6203;PLOS ONE;PLOS;1890,82;2023;10.1371/journal.pone.0282942
false;Universität Salzburg;1932-6203;PLOS ONE;PLOS;1943,33;2023;10.1371/journal.pone.0283372
false;Universität Salzburg;1932-6203;PLOS ONE;PLOS;2043,4;2023;10.1371/journal.pone.0286059
false;Universität Salzburg;2041-1723;nature communications;Springer Nature;5690;2023;10.1038/s41467-023-39959-4
