is_hybrid,institution,issn,journal_full_title,publisher,euro,period,DOI
FALSE,Universität Salzburg,1664-462X,Frontiers in Plant Science,Frontiers,960,2015,10.3389/fpls.2014.00771
FALSE,Universität Salzburg,1664-462X,Frontiers in Plant Science,Frontiers,1600,2015,10.3389/fpls.2015.00047
FALSE,Universität Salzburg,1932-6203,PLOS One,Public Library of Science,1252,2015,10.1371/journal.pone.0123881
FALSE,Universität Salzburg,1471-2105,BMC Bioinformatics,BMC,1675,2015,10.1186/s12859-015-0548-6
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,960,2015,	10.3389/fpsyg.2015.00632
FALSE,Universität Salzburg,1932-6203,PLoS One,Public Library of Science,1239,2015,10.1371/journal.pone.0120038
FALSE,Universität Salzburg,2296-701X,Frontiers in Ecology and Evolution,Frontiers,1583,2015,10.3389/fevo.2015.00066
FALSE,Universität Salzburg,1865-7923,International Journal of Interactive Mobile Technologies (iJIM),"	_x000D_
International Journal of Interactive Mobile Technologies",300,2015,
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,1583,2015,10.3389/fpsyg.2015.00931
FALSE,Universität Salzburg,2045-2322,Scientific Reports,Nature Research,1165,2015,10.1038/srep12779
FALSE,Universität Salzburg,1945-3108,Journal of Water Resource and Protection (JWARP),Scientific Research Publishing,1178,2015,10.4236/jwarp.2015.713085
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,1920,2015,10.3389/fpsyg.2015.01052
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,1425,2015,10.3389/fpsyg.2015.01372
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychologie,Frontiers,960,2015,10.3389/fpsyg.2015.01454
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,960,2015,	10.3389/fpsyg.2015.01610
FALSE,Universität Salzburg,1477-3155,Journal of Nanobiotechnology,BMC,2592,2016,	10.1186/s12951-015-0146-9
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,795,2015,10.3389/fphys.2015.00362
FALSE,Universität Salzburg,2055-1029,Health Psychology Open,SAGE Publications,804,2016,10.1177/2055102916649585
FALSE,Universität Salzburg,2325-9671,The Orthopaedic Journal of Sports Medicine,SAGE Publications,607,2015,10.1177/2325967116630719
FALSE,Universität Salzburg,1684-9981,Natural Hazards and Earth System Sciences Discussions,Copernicus,672,2014,10.5194/nhess-15-671-2015
FALSE,Universität Salzburg,2162-3279,Brain and Behavior,Wiley,1970,2016,10.1002/brb3.430
FALSE,Universität Salzburg,2045-2322,Scientific Reports,Nature Research,1398,2016,	10.1038/srep20805
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,2644,2016,10.3389/fpsyg.2016.00048
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,1568,2016,10.3389/fpsyg.2016.00091
FALSE,Universität Salzburg,1743-8977,Particle and Fibre Toxicology,BMC,2160,2016,10.1186/s12989-016-0113-0
FALSE,Universität Salzburg,1932-6203,PLOS One,Public Library of Science,1472,2016,10.1371/journal.pone.0149275
FALSE,Universität Salzburg,2045-2322,Scientific Reports,Nature Research,1398,2016,10.1038/srep22514
FALSE,Universität Salzburg,2056-9890,Acta Crystallographica E,nternational Union of Crystallography,180,2016,10.1107/S205698901600414X
FALSE,Universität Salzburg,1662-5161,Frontiers in Human Neuroscience,Frontiers,1526,2016,10.3389/fnhum.2016.00184
FALSE,Universität Salzburg,1664-1078,Frontiers Psychology,Frontiers,2035,2016,10.3389/fpsyg.2016.00629
FALSE,Universität Salzburg,2054-2704,JRSM Open,SAGE Publications,684,2016,10.1177/2054270416649284
FALSE,Universität Salzburg,1932-6203, Plos One,Public Library of Science,1601,2016,10.1371/journal.pone.01555
FALSE,Universität Salzburg, 2220-9964,ISPRS International Journal of Geo-Information,MDPI,900,2016,	10.3390/ijgi5060084
FALSE,Universität Salzburg,2045-2322,Scientific Reports,Nature Research,1398,2016,	10.1038/srep27138
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,2667,2016,	10.3389/fpsyg.2016.00863
FALSE,Universität Salzburg,2183-7635,Urban Planning,Cogitatio,1080,2016,10.17645/up.v1i2.617
FALSE,Universität Salzburg,1932-6203,PLOS ONE,Public Library of Science,1616,2016,10.1371/journal.pone.0158441
FALSE,Universität Salzburg,1664-462X,Frontiers in Plant Science,Frontiers,2288,2016,10.3389/fpls.2016.00999
FALSE,Universität Salzburg,2055-1029,Health Psychology Open,Sage Publishing,818,2016,10.1177/2055102916659164
FALSE,Universität Salzburg,2045-2322,Scientific Reports,Nature Research,1398,2016,10.1038/srep29220
FALSE,Universität Salzburg,1663-9812,Frontiers in Pharmacology,Frontiers,870,2016,10.3389/fphar.2016.00171
FALSE,Universität Salzburg,1932-6203,PLOS ONE,Public Library of Science,1587,2016,10.1371/journal.pone.0161757
FALSE,Universität Salzburg,1932-6203,PLOS ONE,Public Library of Science,1630,2016,10.1371/journal.pone.0162433
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,2330,2016,10.3389/fpsyg.2016.01389
FALSE,Universität Salzburg,1743-8977,Particle and Fibre Toxicology,BMC,2160,2016,10.1186/s12989-016-0160-6
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,2091,2016,10.3389/fpsyg.2016.01445
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,2396,2016,10.1016/j.brat.2013.02.006
FALSE,Universität Salzburg,1932-6203,PLoS ONE,Public Library of Science,1692,2016,10.1371/journal.pone.0168686
FALSE,Universität Salzburg,2220-9964,ISPRS International Journal of Geo-Information,MDPI,908,2017,10.3390/ijgi6020040
FALSE,Universität Salzburg,1932-6203,PLoS ONE,Public Library of Science,1725,2017,10.1371/journal.pone.0172287
FALSE,Universität Salzburg,1664-042X,Frontiers in Physiology,Frontiers,2792,2017,10.3389/fphys.2017.00132
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,519,2017,10.3389/fpsyg.2017.00352
FALSE,Universität Salzburg,2058-7716,Cell Death Discovery,Springer Nature,1725,2017,10.1038/cddiscovery.2017.16
FALSE,Universität Salzburg,2072-4292,Remote Sensing,MDPI,892,2017,10.3390/rs9040326
FALSE,Universität Salzburg,1664-1078,Frontiers in Psychology,Frontiers,519,2017,10.3389/fpsyg.2017.00701
FALSE,Universität Salzburg,2291-9694,JMIR Medical Informatics,JMIR Publications,1333,2017,10.2196/medinform.6808
FALSE,Universität Salzburg,2296-9144,Frontiers in Robotics and AI,Frontiers,1127,2017,10.3389/frobt.2017.00021
FALSE,Universität Salzburg,1422-0067,International Journal of Molecular Sciences,MDPI,1284,2017,10.3390/ijms18061199
FALSE,Universität Salzburg,2214-7829,Internet Interventions,Elsevier,1345,2017,10.1016/j.invent.2017.04.001
FALSE,Universität Salzburg,2414-4169,GW-Unterricht,Universität Wien,700,2017,10.1553/gw-unterricht146s5
FALSE,Universität Salzburg,2045-2322,Scientific Reports,Nature Research,1566,2017,10.1038/s41598-017-10949-z
FALSE,Universität Salzburg,1664-042X,Frontiers in Physiology,Frontiers,2267,2017,10.3389/fphys.2017.00522
