is_hybrid;institution;issn;journal_full_title;publisher;euro;period;DOI
false;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers; € 2 060,92 ;2024;10.3389/fspor.2024.1210546
false;Universität Salzburg;2673-6101;Frontiers in Allergy;Frontiers; € 952,44 ;2024;10.3389/falgy.2024.1440360 
false;Universität Salzburg;2297-900X;Frontiers in Communication;Frontiers; € 772,85 ;2024;10.3389/fcomm.2024.1366182
false;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers; € 2 105,51 ;2024;10.3389/fspor.2024.1321896
false;Universität Salzburg;1932-6203;PLOS ONE;PLOS; € 2 125,87 ;2024;10.1371/journal.pone.0304340
false;Universität Salzburg;2196-0216;ChemElectroChem;Wiley; € 3 024,00 ;2024;10.1002/celc.202300707
false;Universität Salzburg;2414-4088;Multimodal Technologies and Interaction;MDPI; € 1 603,61 ;2024;10.3390/mti8040025
false;Universität Salzburg;2220-9964;International Journal of Geo-Information;MDPI; € 1 746,50 ;2024;10.3390/ijgi13020033
false;Universität Salzburg;2504-284X;Frontiers in Education-Higher Education;Frontiers; € 1 248,44 ;2024;10.3389/feduc.2024.1170118
false;Universität Salzburg;1932-6203;PLOS ONE;PLOS; € 2 145,55 ;2024;10.1371/journal.pone.0299803
false;Universität Salzburg;2297-900X;Frontiers in Communcation;Frontiers; € 780,00 ;2024;10.3389/fcomm.2024.1358192 
false;Universität Salzburg;2078-2489;information;MDPI; € 1 603,61 ;2024;10.3390/info15030149 
false;Universität Salzburg;2296-2565;Frontiers in Public Health;Frontiers; € 3 313,79 ;2024;10.3389/fpubh.2024.1414070
false;Universität Salzburg;1369-1600;Addiction Biology;Wiley; € 3 180,00 ;2024;10.1111/adb.13396
false;Universität Salzburg;2045-2322;Scientific Reports;Springer; € 2 814,00 ;2024;10.1038/s41598-024-60986-8
false;Universität Salzburg;2239-6101;European Journal of Sustainable Development;European Center of Sustainable Development; € 660,00 ;2024;10.14207/ejsd.2024.v13n2p325 
false;Universität Salzburg;1664-042X;Frontiers in Physiology;Frontiers; € 3 276,37 ;2024;10.3389/fphys.2024.1414307 
