is_hybrid;institution;issn;journal_full_title;publisher;euro;period;DOI
false;Universität Salzburg;2071-1050;Sustainability;MDPI;1928,33;2023;10.3390/su15010622
false;Universität Salzburg;2310-2861;Gels;MDPI;971,52;2023;10.3390/gels9010071
false;Universität Salzburg;2076-3417;Applied sciences;MDPI;2224,82;2023;10.3390/app122111226
false;Universität Salzburg;2052-4463;Scientific data;Springer;2214,00;2023;10.1038/s41597-022-01878-2
false;Universität Salzburg;2045-2322;Scientific reports;Springer;2574,00;2023;10.1038/s41598-023-33231-x
false;Universität Salzburg;2624-9553;Frontiers in Climate-Climate Risk Management;Frontiers;2248,64;2023;10.3389/fclim.2023.1095631
false;Universität Salzburg;2041-1723;Nature Communications;Springer;6228,00;2023;10.1038/s41467-023-38675-3
false;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers;2332,72;2023;10.3389/fspor.2023.1186199
false;Universität Salzburg;2041-1723;Nature Communications;Springer;3828,00;2023;10.1038/s41467-023-39959-4
false;Universität Salzburg;1741-7015;BMC Medicine;Springer;3774,00;2023;10.1186/s12916-023-02998-1
false;Universität Salzburg;1613-4087;Communications;De Gruyter;2400,00;2023;10.1515/commun-2022-0101
false;Universität Salzburg;1613-4087;Communications;De Gruyter;2400,00;2023;10.1515/commun-2022-0091
false;Universität Salzburg;1613-4087;Communications;De Gruyter;2400,00;2023;10.1515/commun-2022-0098
false;Universität Salzburg;1613-4087;Communications;De Gruyter;2400,00;2023;10.1515/commun-2022-0102
false;Universität Salzburg;1530-437X?;IEEE Sensors Council;IEEE;777,78;2023;10.1109/JSEN.2023.3304422
false;Universität Salzburg;2075-4663;Sports;MDPI;1606,97;2023;10.3390/sports11100188
false;Universität Salzburg;2300-2298;Dependence Modeling;De Gruyter;720,00;2023;10.1515/demo-2023-0105
false;Universität Salzburg;2056-7189;npj systems biology and applications;Springer;3294,00;2023;10.1038/s41540-023-00310-8
false;Universität Salzburg;1664-1078;Frontiers in Psychology;Frontiers;3730,19;2023;10.3389/fpsyg.2023.1240790 
false;Universität Salzburg;2574-3805;JAMA Network Open;JAMA Network Open;3396,23;2023;10.1001/jamanetworkopen.2023.35957 
false;Universität Salzburg;2673-3336;Frontiers in Developmental Psychology;Frontiers;2339,45;2023;10.3389/fdpys.2023.1284404
false;Universität Salzburg;;PNAS;PNAS;5400,00;2023;10.1073/pnas.2209680120
false;Universität Salzburg;;Scientific Data;Springer;2334,00;2023;10.1038/s41597-023-02205-z
false;Universität Salzburg;;eNeuro;Society for Neuroscience;3128,98;2023;10.1523/ENEURO.0473-22.2023 
false;Universität Salzburg;;Tranlational Psychiatry;Springer;4374,00;2023;10.1038/s41398-023-02470-x
false;Universität Salzburg;;journal of cognitive neuroscience;MIT Press;1761,47;2023;10.1162/jocn_a_02040
false;Universität Salzburg;;STAR Protocols;Elsevier;1608,00;2023;10.1016/j.xpro.2023.102519
false;Universität Salzburg;;Education Sciences;MDPI;1276,13;2023;10.3390/educsci13080811
