Institution,DOI,period
Northumbria University,10.1007/s10750-015-2554-0,2015
University College London,10.1007/s10530-015-1003-3,2015
University of Bath,10.1007/s10522-015-9613-9,2015
University of Bath,10.1007/s00394-015-1087-7,2015
University of Birmingham,10.1007/s00213-015-4112-x,2015
University of Cambridge,10.1007/s00125-015-3756-8,2015
University of Durham,10.1007/s11123-015-0460-0,2015
University of Exeter,10.1007/s10152-015-0445-4,2015
University of Hull,10.1007/s00726-015-2122-y,2015
University of Manchester,10.1007/s10853-015-9501-3,2015
University of Sheffield,10.1007/s00265-015-2024-8,2015
University of Sheffield,10.1007/s11207-015-0793-x,2015
Aberystwyth University,10.1007/s00500-015-1923-y,2015
Cardiff University,10.1007/s10459-015-9652-7,2015
Cardiff University,10.1007/s10551-015-2940-6,2015
Cardiff University,10.1007/s11664-015-4180-z,2015
Cardiff University,10.1007/s00415-015-7974-2,2015
Cardiff University,10.1007/s11159-015-9516-7,2015
Cardiff University,10.1007/s11031-015-9526-6,2015
City University,10.1007/s11761-015-0185-y,2015
City University,10.1007/s10588-015-9203-z,2015
City University,10.1007/s12160-015-9755-7,2015
Heriot-Watt University,10.1007/s11269-015-1171-z,2015
Imperial College London,10.1007/s11695-015-1945-7,2015
Imperial College London,10.1007/s00209-015-1559-8,2015
Imperial College London,10.1007/s00340-015-6261-3,2015
Imperial College London,10.1007/s00381-015-2951-8,2015
Imperial College London,10.1007/s00268-015-3317-9,2015
Imperial College London,10.1007/s00259-015-3231-2,2015
Imperial College London,10.1007/s10955-015-1412-9,2015
Imperial College London,10.1007/s10237-015-0740-7,2015
Imperial College London,10.1007/s10957-015-0838-1,2015
Imperial College London,10.1007/s10237-015-0738-1,2015
Imperial College London,10.1007/s12289-015-1273-4,2015
Imperial College London,10.1007/s00209-015-1565-x,2015
Imperial College London,10.1007/s11695-015-1978-y,2015
Imperial College London,10.1007/s00127-015-1145-8,2015
Keele University,10.1007/s00432-015-2074-3,2015
King's College London,10.1007/s10237-015-0748-z,2015
King's College London,10.1007/s00281-015-0539-8,2015
King's College London,10.1007/s00259-015-3228-x,2015
King's College London,10.1007/s00125-015-3803-5,2015
King's College London,10.1007/s00383-015-3836-3,2015
King's College London,10.1007/s11192-015-1785-1,2015
King's College London,10.1007/s12160-015-9752-x,2015
King's College London,10.1007/s10803-015-2641-0,2015
Liverpool John Moores University,10.1007/s10761-015-0326-1,2015
Liverpool John Moores University,10.1007/s10522-015-9621-9,2015
Liverpool John Moores University,10.1007/s10991-015-9175-6,2015
London School of Economics and Political Science,10.1007/s12546-015-9153-9,2015
London School of Economics and Political Science,10.1007/s10198-015-0741-6,2015
Loughborough University,10.1007/s00421-015-3294-6,2015
Loughborough University,10.1007/s12095-015-0166-1,2015
Loughborough University,10.1140/epjb/e2015-60628-9,2015
Manchester Metropolitan University,10.1007/s10649-015-9657-4,2015
Open University,10.1007/s10995-015-1839-2,2015
Queen Mary University of London,10.1007/s11306-015-0894-4,2015
Queen Mary University of London,10.1007/s10739-015-9430-7,2015
Queen's University of Belfast,10.1007/s10750-015-2544-2,2015
Queen's University of Belfast,10.1007/s00395-015-0518-1,2015
Queen's University of Belfast,10.1007/s00125-015-3800-8,2015
Queen's University of Belfast,10.1007/s00446-015-0258-3,2015
Royal Holloway University of London,10.1007/s10461-015-1246-0,2015
Royal Holloway University of London,10.1007/s10623-015-0149-4,2015
Royal Holloway University of London,10.1007/s11195-015-9423-7,2015
Sheffield Hallam University,10.1007/s40279-015-0424-6,2015
Swansea University,10.1007/s10796-015-9613-y,2015
Swansea University ,10.1140/epja/i2015-15152-6,2015
University College London,10.1007/s00422-015-0666-2,2015
University College London,10.1007/s10963-015-9089-1,2015
University College London,10.1007/s10433-015-0357-9,2015
University College London,10.1007/s00213-015-4145-1,2015
University College London,10.1007/s00701-015-2636-9,2015
University College London,10.1007/s11145-015-9605-9,2015
University College London,10.1007/s10439-015-1496-z,2015
University College London,10.1007/s10875-015-0214-9,2015
University College London,10.1007/s00018-015-2090-0,2015
University College London,10.1007/s00394-015-1092-x,2015
University College London,10.1007/s10686-015-9484-8,2015
University College London,10.1007/s13142-015-0352-x,2015
University of Aberdeen,10.1007/s12160-015-9746-8,2015
University of Birmingham,10.1007/s10585-015-9769-3,2015
University of Birmingham,10.1007/s10957-015-0833-6,2015
University of Birmingham,10.1007/s00127-015-1149-4,2015
University of Bradford,10.1007/s00500-015-1925-9,2015
University of Bristol,10.1007/s00268-015-3292-1,2015
University of Bristol,10.1007/s00229-015-0795-x,2015
University of Bristol,10.1007/s00198-015-3397-2,2015
University of Bristol,10.1007/s10857-015-9337-4,2015
University of Bristol,10.1007/s11158-015-9297-7,2015
University of Bristol,10.1007/s00213-015-4125-5,2015
University of Bristol,10.1007/s10853-015-9131-9,2015
University of Cambridge,10.1007/s12132-015-9269-1,2015
University of Cambridge,10.1007/s00213-015-4122-8,2015
University of Cambridge,10.3758/s13420-015-0204-z,2015
University of Cambridge,10.1007/s11229-015-0953-4,2015
University of Cambridge,10.1007/s10682-015-9806-3,2015
University of Cambridge,10.3758/s13414-015-1015-1,2015
University of Cambridge,10.1007/s00424-015-1750-0,2015
University of Cambridge,10.1007/s00125-015-3811-5,2015
University of Cambridge,10.1007/s11661-015-3221-9,2015
University of Derby,10.1007/s11051-015-3246-4,2015
University of Dundee,10.1007/s00125-015-3802-6,2015
University of Dundee,10.1007/s40802-015-0040-z,2015
University of Durham,10.1007/s40802-015-0041-y,2015
University of Durham,10.1007/s10677-015-9651-z,2015
University of Durham,10.1007/s10071-015-0936-3,2015
University of Durham,10.1007/s10704-015-0050-1,2015
University of East Anglia,10.1007/s11238-015-9524-x,2015
University of East Anglia,10.1007/s00432-015-2064-5,2015
University of East Anglia,10.1007/s00355-015-0935-y,2015
University of Edinburgh,10.1140/epjb/e2015-60347-3,2015
University of Edinburgh,10.1007/s10957-015-0844-3,2015
University of Edinburgh,10.1007/s40072-015-0057-7,2015
University of Edinburgh,10.1007/s10955-015-1411-x,2015
University of Exeter,10.1007/s00421-015-3296-4,2015
University of Exeter,10.1007/s00421-015-3299-1,2015
University of Glasgow,10.1007/s00127-015-1153-8,2015
University of Hull,10.1007/s10585-015-9765-7,2015
