DOI,Institution,period,is_hybrid
10.1007/s10551-017-3624-1,Newcastle University,2017,TRUE
10.1007/s10670-017-9876-4,University of Aberdeen,2017,TRUE
10.1007/s12053-017-9547-y,University of Leeds,2017,TRUE
10.1007/s11017-017-9416-x,University of Liverpool,2017,TRUE
10.1007/s11017-017-9409-9,University of Cambridge,2017,TRUE
10.1007/s10838-017-9368-x,University of Manchester,2017,TRUE
10.1007/s11017-017-9413-0,University of Warwick,2017,TRUE
10.1007/s10551-017-3618-z,University of Cambridge,2017,TRUE
10.1007/s10734-017-0166-5,Cardiff University,2017,TRUE
10.1007/s11118-017-9640-z,University of Sheffield,2017,TRUE
10.1007/s11191-017-9900-8,University of Bristol,2017,TRUE
10.1007/s40869-017-0039-2,King's College London,2017,TRUE
10.1007/s00220-017-2942-6,University of Oxford,2017,TRUE
10.1007/s00168-017-0841-6,University of Manchester,2017,TRUE
10.1007/s11579-017-0191-2,University of Liverpool,2017,TRUE
10.1007/s00251-017-0986-6,University of Oxford,2017,TRUE
10.1007/s11896-017-9241-1,University of Nottingham,2017,TRUE
10.1007/s10549-017-4380-8,University of Sheffield,2017,TRUE
10.1007/s00335-017-9706-7,Lancaster University,2017,TRUE
10.1007/s12671-017-0774-2,University of St Andrews,2017,TRUE
10.1007/s13239-017-0317-y,University of Birmingham,2017,TRUE
10.1007/s13239-017-0321-2,University of Oxford,2017,TRUE
10.1007/s10728-017-0345-7,University of Manchester,2017,TRUE
10.1007/s10549-017-4405-3,University College London,2017,TRUE
10.1007/s10961-017-9612-x,Cardiff University,2017,TRUE
10.1007/s10959-017-0773-1,Queen's University of Belfast,2017,TRUE
10.3758/s13423-017-1339-z,Brunel University,2017,TRUE
10.1007/s11199-017-0805-4,King's College London,2017,TRUE
10.1007/s11146-017-9613-4,"Royal Holloway, University of London",2017,TRUE
10.3758/s13414-017-1362-1,University of Oxford,2017,TRUE
10.1007/s00454-017-9904-9,University of Cambridge,2017,TRUE
10.3758/s13423-017-1333-5,"Queen Mary, University of London",2017,TRUE
10.1007/s00773-017-0469-3,University of Oxford,2017,TRUE
10.1007/s40804-017-0072-4,University of Oxford,2017,TRUE
10.1007/s00101-017-0329-x,University of Dundee,2017,TRUE
10.1007/s10516-017-9344-4,"Royal Holloway, University of London",2017,TRUE
10.1007/s10561-017-9641-6,University College London,2017,TRUE
10.1007/s10877-017-0047-6,University of Southampton,2017,TRUE
10.1007/s10654-017-0288-1,University of Birmingham,2017,TRUE
10.1007/s11098-017-0951-0,King's College London,2017,TRUE
10.1007/s11572-017-9427-8,University of Leicester,2017,TRUE
10.1007/s10468-017-9717-9,Durham University,2017,TRUE
10.1007/s10691-017-9350-3,London School of Economics and Political Science,2017,TRUE
10.1007/s10670-017-9923-1,University of Bristol,2017,TRUE
10.1007/s10640-017-0151-6,University College London,2017,TRUE
10.1007/s00477-017-1433-9,University of Edinburgh,2017,TRUE
10.1007/s12551-017-0278-2,University of Oxford,2017,TRUE
10.1007/s00213-017-4687-5,University of Cambridge,2017,TRUE
10.1007/s00213-017-4694-6,University of Reading,2017,TRUE
10.1007/s00586-017-5217-1,Lancaster University,2017,TRUE
10.1007/s00285-017-1164-z,University of Edinburgh,2017,TRUE
10.1007/s10291-017-0654-1,University College London,2017,TRUE
10.1007/s10347-017-0506-z,University of Leeds,2017,TRUE
10.1007/s00068-017-0818-2,King's College London,2017,TRUE
10.1007/s10182-017-0301-8,"St George's, University of London",2017,TRUE
10.1007/s10067-017-3745-z,University of Oxford,2017,TRUE
10.1007/s00146-017-0743-2,Cardiff Metropolitan University,2017,TRUE
10.1007/s10368-017-0385-3,University College London,2017,TRUE
10.1007/s00170-017-0706-2,Imperial College London,2017,TRUE
10.1007/s10439-017-1883-8,University of Kent,2017,TRUE
10.1007/s11089-017-0784-y,University of Birmingham,2017,TRUE
10.1007/s12029-017-9991-0,University of East Anglia,2017,TRUE
10.1007/s00335-017-9705-8,Durham University,2017,TRUE
10.1007/s11926-017-0685-1,The Open University,2017,TRUE
10.1007/s10519-017-9859-x,University College London,2017,TRUE
10.1007/s11538-017-0318-x,University of Oxford,2017,TRUE
10.1007/s10803-017-3244-8,Durham University,2017,TRUE
10.1007/s11764-017-0631-2,University of Oxford,2017,TRUE
10.1007/s10826-017-0830-5,University College London,2017,TRUE
10.1007/s11166-017-9259-x,"Queen Mary, University of London",2017,TRUE
10.1007/s11934-017-0717-4,University of Sussex,2017,TRUE
10.1007/s10578-017-0741-0,University of Aberdeen,2017,TRUE
10.1007/s10470-017-1000-9,Cardiff University,2017,TRUE
10.1007/s12671-017-0767-1,Lancaster University,2017,TRUE
10.1007/s11238-017-9615-y,University of Aberdeen,2017,TRUE
10.1007/s10773-017-3446-z,University of Oxford,2017,TRUE
