"DOI","Institution","period","is_hybrid"
"10.1007/s10670-018-9998-3","University of Edinburgh",2018,"TRUE"
"10.1007/s10433-018-0470-7","University College London",2018,"TRUE"
"10.1007/s00453-018-0435-4","University of Liverpool",2018,"TRUE"
"10.1007/s40647-018-0222-2","Queen Mary, University of London",2018,"TRUE"
"10.1007/s00345-018-2286-7","University of Cambridge",2018,"TRUE"
"10.1007/s00382-018-4186-3","University of Exeter",2018,"TRUE"
"10.1007/s00382-018-4192-5","University of Oxford",2018,"TRUE"
"10.1007/s00220-018-3128-6","City University London",2018,"TRUE"
"10.1007/s40993-018-0111-4","University of Southampton",2018,"TRUE"
"10.1007/s11465-018-0516-8","Queen's University of Belfast",2018,"TRUE"
"10.1007/s10686-018-9581-6","University of Exeter",2018,"TRUE"
"10.1007/s10846-018-0807-7","University of Exeter",2018,"TRUE"
"10.1007/s10803-018-3554-5","King's College London",2018,"TRUE"
"10.1007/s10479-018-2809-z","Aston University",2018,"TRUE"
"10.1007/s13311-018-0623-6","King's College London",2018,"TRUE"
"10.1007/s12055-018-0670-y","University of Bristol",2018,"TRUE"
"10.1007/s00281-018-0673-1","King's College London",2018,"TRUE"
"10.1007/s11009-018-9630-7","University of Liverpool",2018,"TRUE"
"10.1007/s10767-018-9280-3","University of Bath",2018,"TRUE"
"10.1007/s00412-018-0667-8","University of Nottingham",2018,"TRUE"
"10.1007/s13563-018-0155-x","University of Dundee",2018,"TRUE"
"10.1007/s10111-018-0480-4","University of Nottingham",2018,"TRUE"
"10.1007/s00421-018-3858-3","Liverpool John Moores University",2018,"TRUE"
"10.1007/s11009-018-9631-6","University of Nottingham",2018,"TRUE"
"10.1007/s00125-018-4605-3","Queen Mary, University of London",2018,"TRUE"
"10.1007/s10368-018-0416-8","London School of Economics and Political Science",2018,"TRUE"
"10.1007/s12028-018-0526-8","University of Cambridge",2018,"TRUE"
"10.1007/s11123-018-0526-x","Loughborough University",2018,"TRUE"
"10.1007/s10750-018-3597-9","University of Bristol",2018,"TRUE"
"10.1007/s00018-018-2802-3","Imperial College London",2018,"TRUE"
"10.1007/s11302-018-9605-8","University College London",2018,"TRUE"
"10.1007/s11625-018-0552-7","University of Manchester",2018,"TRUE"
"10.1007/s10698-018-9312-0","University of Oxford",2018,"TRUE"
"10.1007/s11419-018-0413-1","University of Dundee",2018,"TRUE"
"10.1007/s10646-018-1927-3","University of Birmingham",2018,"TRUE"
"10.1007/s40940-018-0064-y","University of Cambridge",2018,"TRUE"
"10.1007/s10853-018-2270-z","University of Sheffield",2018,"TRUE"
"10.1007/s10212-018-0377-x","University of Edinburgh",2018,"TRUE"
"10.1007/s12110-018-9311-9","Liverpool John Moores University",2018,"TRUE"
"10.1007/s10567-018-0256-7","University of Oxford",2018,"TRUE"
"10.1007/s10654-018-0377-9","University of Bristol",2018,"TRUE"
"10.1007/s00464-018-6064-9","University of Edinburgh",2018,"TRUE"
"10.1007/s12520-018-0628-4","University of Cambridge",2018,"TRUE"
"10.1007/s12310-018-9263-6","University of Leicester",2018,"TRUE"
"10.1007/s10479-018-2846-7","Brunel University",2018,"TRUE"
"10.1007/s00125-018-4601-7","University of Dundee",2018,"TRUE"
"10.1007/s11192-018-2718-6","University of Cambridge",2018,"TRUE"
"10.1007/s10865-018-9919-6","University of Oxford",2018,"TRUE"
"10.1007/s11292-017-9321-3","University College London",2018,"TRUE"
"10.1007/s11482-018-9606-3","City University London",2018,"TRUE"
"10.1007/s10096-018-3241-7","University of Manchester",2018,"TRUE"
"10.1007/s10694-018-0703-5","University of Central Lancashire",2018,"TRUE"
"10.1007/s10203-018-0207-2","University of Liverpool",2018,"TRUE"
"10.1007/s10763-018-9892-0","University of Southampton",2018,"TRUE"
