institution;period;euro;doi;backlist_oa
Åbo Akademi University;2024;15060;10.4324/9781032613383;FALSE
Åbo Akademi University;2024;14260;10.1163/9789004699267;FALSE
Åbo Akademi University;2024;7440;10.4324/9781003198055;FALSE
Åbo Akademi University;2024;7440;https://doi.org/10.4324/9781003452423;FALSE
