institution;period;euro;doi;backlist_oa
Åbo Akademi University;2022;7307,36;https://doi.org/10.4324/9781003254966 ;FALSE
Åbo Akademi University;2022;16120;https://doi.org/10.1007/978-3-030-98080-1;FALSE
Åbo Akademi University;2022;7474,47;10.2307/jj.1231861;FALSE
