institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url;
ETH Zurich;2012;864.00;10.1140/epjds3;FALSE;SpringerOpen;EPJ Data Science;;;
ETH Zurich;2012;864.00;10.1140/epjds7;FALSE;SpringerOpen;EPJ Data Science;;;
ETH Zurich;2012;1153.44;10.1186/1471-2105-13-129;FALSE;BioMed Central;BMC Bioinformatics;;;
ETH Zurich;2012;1175.04;10.1186/1471-2105-13-148;FALSE;BioMed Central;BMC Bioinformatics;;;
ETH Zurich;2012;1356.48;10.1186/1471-2105-13-334;FALSE;BioMed Central;BMC Bioinformatics;;;
ETH Zurich;2012;1365.12;10.1186/1471-213X-12-35;FALSE;BioMed Central;BMC Development Biology;;;
ETH Zurich;2012;1170.72;10.1186/1471-2148-12-11;FALSE;BioMed Central;BMC Evolutionary Biology;;;
ETH Zurich;2012;1153.44;10.1186/1471-2148-12-18;FALSE;BioMed Central;BMC Evolutionary Biology;;;
ETH Zurich;2012;1287.36;10.1186/1471-2148-12-93;FALSE;BioMed Central;BMC Evolutionary Biology;;;
ETH Zurich;2012;1149.12;10.1186/1471-2164-13-166;FALSE;BioMed Central;BMC Genomics;;;
ETH Zurich;2012;1153.44;10.1186/1471-2164-13-226;FALSE;BioMed Central;BMC Genomics;;;
ETH Zurich;2012;1157.76;10.1186/1471-2288-12-127;FALSE;BioMed Central;BMC Medical Research Methodology;;;
ETH Zurich;2012;1334.88;10.1186/1471-2318-12-74;FALSE;BioMed Central;BMC Geriatrics;;;
ETH Zurich;2012;1188.00;10.1186/1471-2377-12-45;FALSE;BioMed Central;BMC Neurology;;;
ETH Zurich;2012;1274.40;10.1186/1471-2458-12-655;FALSE;BioMed Central;BMC Public Health;;;
ETH Zurich;2012;1317.60;10.1186/1472-6750-12-95;FALSE;BioMed Central;BMC Biotechnology;;;
ETH Zurich;2012;1287.36;10.1186/1472-6815-12-7;FALSE;BioMed Central;BMC Ear, Nose and Throat Disorders;;;
ETH Zurich;2012;1144.80;10.1186/1475-2859-11-110;FALSE;;Microbial Cell Factories;;;
ETH Zurich;2012;1045.44;10.1186/1476-9255-9-29;FALSE;BioMed Central;Journal of Inflammation;;;
ETH Zurich;2012;928.80;10.1186/1532-429X-14-47;FALSE;BioMed Central;Journal of Cardiovascular Magnetic Resonance;;;
ETH Zurich;2012;937.44;10.1186/1532-429X-14-60;FALSE;BioMed Central;Journal of Cardiovascular Magnetic Resonance;;;
ETH Zurich;2012;432.00;10.1186/1687-4153-2012-7;FALSE;;EURASIP Journal on Bioinformatics and Systems Biology;;;
ETH Zurich;2012;1019.52;10.1186/1743-0003-9-14;FALSE;BioMed Central;Journal of NeuroEngineering and Rehabilitation;;;
ETH Zurich;2012;989.28;10.1186/1743-0003-9-30;FALSE;BioMed Central;Journal of NeuroEngineering and Rehabilitation;;;
ETH Zurich;2012;1023.84;10.1186/1743-0003-9-31;FALSE;BioMed Central;Journal of NeuroEngineering and Rehabilitation;;;
ETH Zurich;2012;1019.52;10.1186/1743-0003-9-6;FALSE;BioMed Central;Journal of NeuroEngineering and Rehabilitation;;;
ETH Zurich;2012;1032.48;10.1186/1743-0003-9-65;FALSE;BioMed Central;Journal of NeuroEngineering and Rehabilitation;;;
ETH Zurich;2012;1131.84;10.1186/1746-4811-8-24;FALSE;BioMed Central;Plant Methods;;;
