institution;period;euro;doi;is_hybrid;publisher;journal_full_title
ETH Zurich;2022;1703;10.5194/esurf-9-1545-2021;FALSCH;Copernicus;Earth Surface Dynamics
ETH Zurich;2022;1824;10.5194/tc-15-5323-2021;FALSCH;Copernicus;The Cryosphere
ETH Zurich;2022;2073;10.5194/acp-21-18029-2021;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1576;10.5194/hess-26-245-2022;FALSCH;Copernicus;Hydrology and Earth System Sciences
ETH Zurich;2022;1244;10.5194/tc-16-1-2022;FALSCH;Copernicus;The Cryosphere
ETH Zurich;2022;2604;10.5194/hess-26-91-2022;FALSCH;Copernicus;Hydrology and Earth System Sciences
ETH Zurich;2022;1244;10.5194/soil-8-1-2022;FALSCH;Copernicus; SOIL
ETH Zurich;2022;1603;10.5194/cp-18-233-2022;FALSCH;Copernicus;Climate of the Past
ETH Zurich;2022;1903;10.5194/se-13-347-2022;FALSCH;Copernicus;Solid Earth
ETH Zurich;2022;2204;10.5194/se-13-301-2022;FALSCH;Copernicus;Solid Earth
ETH Zurich;2022;1034;10.5194/mr-3-15-2022;FALSCH;Copernicus;Magnetic Resonance
ETH Zurich;2022;1502;10.5194/bg-19-613-2022;FALSCH;Copernicus;Biogeosciences
ETH Zurich;2022;1723;10.5194/gmd-15-2085-2022;FALSCH;Copernicus;Geoscientific Model Development
ETH Zurich;2022;1659;10.5194/acp-22-3111-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1723;10.5194/gmd-15-2365-2022;FALSCH;Copernicus;Geoscientific Model Development
ETH Zurich;2022;1903;10.5194/acp-22-3655-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1502;10.5194/bg-19-1675-2022;FALSCH;Copernicus;Biogeosciences
ETH Zurich;2022;2239;10.5194/esd-13-851-2022;FALSCH;Copernicus;Earth System Dynamics
ETH Zurich;2022;1723;10.5194/gmd-15-3183-2022;FALSCH;Copernicus;Geoscientific Model Development
ETH Zurich;2022;3405;10.5194/acp-22-5331-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1703;10.5194/bg-19-1853-2022;FALSCH;Copernicus;Biogeosciences
ETH Zurich;2022;2156;10.5194/acp-22-4737-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;3205;10.5194/acp-22-4985-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1824;10.5194/tc-16-1697-2022;FALSCH;Copernicus;The Cryosphere
ETH Zurich;2022;1002;10.5194/nhess-22-1655-2022;FALSCH;Copernicus;Natural Hazards and Earth System Sciences
ETH Zurich;2022;1723;10.5194/gmd-15-4569-2022;FALSCH;Copernicus;Geoscientific Model Development
ETH Zurich;2022;1410;10.5194/acp-22-7557-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;2488;10.5194/esd-13-1167-2022;FALSCH;Copernicus;Earth System Dynamics
ETH Zurich;2022;2488;10.5194/acp-22-11455-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;3305;10.5194/acp-22-8863-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1742;10.5194/tc-16-2859-2022;FALSCH;Copernicus;The Cryosphere
ETH Zurich;2022;912;10.5194/nhess-22-2531-2022;FALSCH;Copernicus;Natural Hazards and Earth System Sciences
ETH Zurich;2022;1723;10.5194/gmd-15-5757-2022;FALSCH;Copernicus;Geoscientific Model Development
ETH Zurich;2022;1189;10.5194/wes-7-1383-2022;FALSCH;Copernicus;Wind Energy Science
ETH Zurich;2022;1723;10.5194/gmd-15-7177-2022;FALSCH;Copernicus;Geoscientific Model Development
ETH Zurich;2022;1161;10.5194/acp-22-14441-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1659;10.5194/tc-16-3249-2022;FALSCH;Copernicus;The Cryosphere
ETH Zurich;2022;1576;10.5194/amt-15-5821-2022;FALSCH;Copernicus;Atmospheric Measurement Techniques
ETH Zurich;2022;2571;10.5194/acp-22-9767-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1410;10.5194/tc-16-2819-2022;FALSCH;Copernicus;The Cryosphere
ETH Zurich;2022;1903;10.5194/esurf-10-723-2022;FALSCH;Copernicus;Earth Surface Dynamics
ETH Zurich;2022;1723;10.5194/gmd-15-6817-2022;FALSCH;Copernicus;Geoscientific Model Development
ETH Zurich;2022;1302;10.5194/bg-19-5007-2022;FALSCH;Copernicus;Biogeosciences
ETH Zurich;2022;646;10.5194/mr-3-137-2022;FALSCH;Copernicus;Magnetic Resonance
ETH Zurich;2022;1659;10.5194/acp-22-13915-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;2805;10.5194/bg-19-5079-2022;FALSCH;Copernicus; Biogeosciences
ETH Zurich;2022;1502;10.5194/amt-15-5367-2022;FALSCH;Copernicus;Atmospheric Measurement Techniques
ETH Zurich;2022;2604;10.5194/acp-22-14905-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1742;10.5194/acp-22-13997-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;1402;10.5194/amt-15-5667-2022;FALSCH;Copernicus;Atmospheric Measurement Techniques
ETH Zurich;2022;646;10.5194/mr-3-161-2022;FALSCH;Copernicus;Magnetic Resonance
ETH Zurich;2022;2604;10.5194/acp-22-14931-2022;FALSCH;Copernicus;Atmospheric Chemistry and Physics
ETH Zurich;2022;603;10.5194/mr-3-203-2022;FALSCH;Copernicus;Magnetic Resonance
