institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2024,2982.990340193196,10.1371/journal.ppat.1012385,Using viral diversity to identify HIV-1 variants under HLA-dependent selection in a systematic viral genome-wide screen,2024-12-10,PLoS Pathogens,Public Library of Science,FALSE,2841,0.9524,PAB384720,NA,"207957, 201369",Chronoshub
Swiss National Science Foundation (SNSF),2024,2215.4556908861823,10.1080/17482631.2024.2432687,“The leadership shown by nurses gave me such a boost”: health resources used by nurses who experienced COVID-19 pandemic stressors,2024-11-27,International Journal of Qualitative Studies on Health and Well-being,Taylor and Francis,FALSE,2110,0.9524,954245779,NA,201137,Chronoshub
Swiss National Science Foundation (SNSF),2024,3739.920201595968,10.3389/fneur.2024.1484255,Early minimally invasive image-guided eNdoscopic evacuation of iNTracerebral hemorrhage: a phase II pilot trial,2024-11-27,Frontiers in Neurology,Frontiers Media,FALSE,3561.9,0.9524,2024-1234148-3,NA,213616,Chronoshub
Swiss National Science Foundation (SNSF),2024,1526.6169676606469,10.1186/s00015-024-00471-6,"Tin contamination in sediments of Lake Zurich: source, spread, history and risk assessment",2024-11-19,Swiss Journal of Geosciences,Springer Nature ,FALSE,1453.95,0.9524,2939890705,NA,"208079, 179129",Chronoshub
Swiss National Science Foundation (SNSF),2024,3229.157916841663,10.1186/s12942-024-00381-8,The influence of malaria control interventions and climate variability on changes in the geographical distribution of parasite prevalence in Kenya between 2015 and 2020,2024-11-11,International Journal of Health Geographics,Springer Nature ,FALSE,3075.45,0.9524,2939853009,NA,147286,Chronoshub
Swiss National Science Foundation (SNSF),2024,3064.5737085258293,10.3390/tropicalmed9100233,Alternative Pharmaceutical Innovation Models in Competitive Markets: A Collaborative Approach to Develop a Novel Drug for Hepatitis C,2024-10-22,Tropical Medicine and Infectious Disease,MDPI,FALSE,2918.7,0.9524,3255301,NA,179842,Chronoshub
Swiss National Science Foundation (SNSF),2024,2661.6442671146574,10.1038/s41598-024-75217-3,Assessment of NK cytotoxicity and interactions with porcine endothelial cells by live-cell imaging in 2D static and 3D microfluidic systems,2024-10-22,Scientific Reports,Springer Nature ,FALSE,2534.95,0.9524,2939843479,NA,198577,Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.305333893322,10.1038/s41467-024-52935-w,Dynamic Jahn-Teller effect in the strong spin-orbit coupling regime,2024-10-22,Nature Communications,Springer Nature ,FALSE,6150.89,0.9524,2939818692,NA,188648,Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.305333893322,10.1101/2023.07.07.23292368,Phenotypic and Genetic Characteristics of Retinal Vascular Parameters and their Association with Diseases,2024-10-22,Nature Communications,Springer Nature ,FALSE,6150.89,0.9524,2939803810,NA,209510,Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.305333893322,10.1038/s41467-024-52905-2,Viral-bacterial co-infections screen in vitro reveals molecular processes affecting pathogen proliferation and host cell viability,2024-10-08,Nature Communications,Springer Nature ,FALSE,6150.89,0.9524,2939818720,NA,192523,Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.305333893322,10.1038/s41467-024-51165-4,Deterministic grayscale nanotopography to engineer mobilities in strained MoS2 FETs,2024-08-27,Nature Communications,Springer Nature ,FALSE,6150.89,0.9524,2939751836,NA,"194528, 205626",Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.305333893322,10.1038/s41467-024-51362-1,Dynamics of K2Ni2(SO4)3 governed by proximity to a 3D spin liquid model,2024-08-27,Nature Communications,Springer Nature ,FALSE,6150.89,0.9524,2939752176,NA,188648,Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.305333893322,10.1038/s41467-024-51392-9,High-sensitivity dual-comb and cross-comb spectroscopy across the infrared using a widely tunable and free-running optical parametric oscillator,2024-08-27,Nature Communications,Springer Nature ,FALSE,6150.89,0.9524,2939755006,NA,180933,Chronoshub
Swiss National Science Foundation (SNSF),2024,652.6459470810584,10.1007/s43621-024-00352-w,"Quantifying future climate extreme indices: implications for sustainable urban development in West Africa, with a focus on the greater Accra region",2024-08-19,Discover Sustainability,Springer Nature ,FALSE,621.58,0.9524,2939734822,NA,193649,Chronoshub
Swiss National Science Foundation (SNSF),2024,1859.722805543889,10.1515/tnsci-2022-0342,Adaptation of the layer V supraspinal motor corticofugal projections from the primary (M1) and premotor (PM) cortices after CNS motor disorders in non-human primates: A survey,2024-08-19,Translational Neuroscience,De Gruyter Brill,FALSE,1771.2,0.9524,REIMBURSEMENT APC600527486,NA,"149643, 144990, 160696",Chronoshub
Swiss National Science Foundation (SNSF),2024,2027.5094498110038,10.1371/journal.pone.0304603,Advancing surgical instrument safety: A screen of oxidative and alkaline prion decontaminants using real-time quaking-induced conversion with prion-coated steel beads as surgical instrument mimetic,2024-08-13,PLoS ONE,Public Library of Science,FALSE,1931,0.9524,PAB378018,NA,"179040, 207872, 183563",Chronoshub
Swiss National Science Foundation (SNSF),2024,3739.920201595968,10.3389/fendo.2024.1380525,User perceptions of intelligent offloading diabetic footwear,2024-08-13,Frontiers in Endocrinology,Frontiers Media,FALSE,3561.9,0.9524,2024-1112458-6,NA,181020,Chronoshub
Swiss National Science Foundation (SNSF),2024,1660.0167996640066,10.5194/soil-10-349-2024,The limited effect of deforestation on stabilized subsoil organic carbon in a subtropical catchment,2024-07-29,SOIL,Copernicus Publications,FALSE,1581,0.9524,SOIL-PUC-2024-16,NA,193617,Chronoshub
Swiss National Science Foundation (SNSF),2024,2183.9563208735826,10.3390/insects15070547,Predatory Potential of Nymphal Odonates on Aedes aegypti Developing in Freshwater and Brackish Water Habitats,2024-07-29,Insects,MDPI,FALSE,2080,0.9524,3097398,NA,191762,Chronoshub
Swiss National Science Foundation (SNSF),2024,2027.5094498110038,10.1371/journal.pone.0304487,Factors associated with viral load testing and viral suppression among HIV-positive female sex workers in Nigeria,2024-07-29,PLoS ONE,Public Library of Science,FALSE,1931,0.9524,PAB374935,NA,192452,Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.305333893322,10.1038/s41467-024-50523-6,Towards enhanced functionality of vagus neuroprostheses through in silico optimized stimulation,2024-07-29,Nature Communications,Springer Nature ,FALSE,6150.89,0.9524,2939705329,NA,197271,Chronoshub
Swiss National Science Foundation (SNSF),2024,1486.8962620747584,10.1038/s41746-024-01190-w,Orchestrating explainable artificial intelligence for multimodal and longitudinal data in medical imaging,2024-07-29,npj Digital Medicine,Springer Nature ,FALSE,1416.12,0.9524,2939705245,NA,212939,Chronoshub
Swiss National Science Foundation (SNSF),2024,6458.3054388912215,10.1038/s41467-024-49714-y,Magnon interactions in a moderately correlated Mott insulator,2024-07-22,Nature Communications,Springer Nature ,FALSE,6150.8901,0.9524,2939668845‬,NA,188564,Chronoshub
Swiss National Science Foundation (SNSF),2024,3739.920201595968, 10.3389/fpsyg.2024.1370407,Dimensionality of Instructional Quality in Physical Education. Obtaining students'''''''' perceptions using Bifactor Exploratory Structural Equation Modeling and Multilevel Confirmatory Factor Analysis,2024-07-22,Frontiers in Psychology,Frontiers Media,FALSE,3561.9,0.9524,2024-1106913-3,NA,179176,Chronoshub
Swiss National Science Foundation (SNSF),2024,2309.9538009239814,10.1093/ismeco/ycae089,Hydrogen-independent CO2 reduction dominates methanogenesis in five temperate lakes that differ in trophic states,2024-07-22,ISME Communications: New Developments in Microbial Ecology,Oxford University Press,FALSE,2200,0.9524,SOA24NC003990,NA,163371,Chronoshub
Swiss National Science Foundation (SNSF),2024,1231.6253674926502,10.5194/wes-9-1363-2024,Improvements to the dynamic wake meandering model by incorporating the turbulent Schmidt number,2024-06-24,Wind Energy Science,Copernicus Publications,FALSE,1173,0.9524,WES-PUC-2024-62,NA,"215288, 172538",Chronoshub
Swiss National Science Foundation (SNSF),2024,2892.692146157077,10.1103/PhysRevResearch.6.023291,Effects of forward disorder on quasi-1D superconductors,2024-06-04,Physical Review Research,American Physical Society,FALSE,2755,0.9524,INV/24/MAY/014077,NA,219400,Chronoshub
Swiss National Science Foundation (SNSF),2024,2099.958000839983,10.1101/2024.03.22.586274,Base editing of Ptbp1 in neurons alleviates symptoms in a mouse model for Parkinson''''''''s disease,2024-06-04,eLife,eLife Sciences Publications,FALSE,2000,0.9524,RP002599,NA,185293,Chronoshub
