institution,period,euro,doi,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,snsf_title
Swiss National Science Foundation (SNSF),2021-06-17,775.1371115173674,10.1177/2325967121990629,Orthopedic Journal of Sports Medicine,SAGE,FALSE,NA,NA,848,1.094,107970 - 12125 - 17.06.2021,P2AC-3_205776,195241,Posterior Extra-articular Ischiofemoral Impingement Can Be Caused by the Lesser and Greater Trochanter in Patients With Increased Femoral Version
Swiss National Science Foundation (SNSF),2021-06-17,855.0548446069469,10.1556/2006.2021.00035,Journal of Behavioral Addictions,Akademiai Kiado Zrt.,FALSE,2063-5303,NA,935.43,1.094,107990 - 12332 - 17.06.2021,33AC-0_205741,"139467, 122679",Prosocialness in young males with substance and behavioral addictions
Swiss National Science Foundation (SNSF),2021-06-17,1099.652650822669,10.1186/s12889-021-11239-0,Comparative Migration Studies,SpringerOpen,FALSE,NA,NA,1203.02,1.094,107962 - 10752 - 17.06.2021,10AC-D_205782,182208,The well-being of newly regularized migrant workers. Determinants of their satisfaction with life as compared to undocumented migrant workers and regular local residents
Swiss National Science Foundation (SNSF),2021-06-17,1575.1371115173674,10.3390/ma14113053,Materials,MDPI,FALSE,NA,NA,1723.2,1.094,107963 - 10415 - 17.06.2021,20AC-1_205780,182000,Electrolyte Tuning in Iron(II)-Based Dye-Sensitized Solar Cells: Different Ionic Liquids and I2 concentrations
Swiss National Science Foundation (SNSF),2021-06-17,1575.1371115173674,10.3390/en14102967,Energies,,FALSE,1996-1073,NA,1723.2,1.094,107964 - 10415 - 17.06.2021,20AC-1_205784,169913,Mass Transport Limitations of Water Evaporation in Polymer Electrolyte Fuel Cell Gas Diffusion Layers
Swiss National Science Foundation (SNSF),2021-06-17,1575.1371115173674,10.3390/microorganisms9061196,Microorganisms,MDPI,FALSE,NA,NA,1723.2,1.094,107973 - 10415 - 17.06.2021,CRAC-5_205939,180323, settings Open AccessArticle Interferon Lambda Delays the Emergence of Influenza Virus Resistance to Oseltamivir 
Swiss National Science Foundation (SNSF),2021-06-17,1633.45521023766,10.2196/28674,JMIR Serious Games,JMIR,FALSE,NA,NA,1787,1.094,107968 - 12329 - 17.06.2021,40AC-0_205777,187275,"A Generic, Adaptive and Systemic Methodology for the Collaborative Design of Serious Games: Development of the co.LAB Framework"
Swiss National Science Foundation (SNSF),2021-06-17,1705.8043875685557,10.1364/OE.424317,Optics Express,The Optical Society of America (OSA),FALSE,1094-4087,NA,1866.15,1.094,107979 - 10680 - 17.06.2021,20AC-1_205948,"159931, 179146",High-power dual-comb thin-disk laser oscillator for fast high-resolution spectroscopy
Swiss National Science Foundation (SNSF),2021-06-17,1830.941499085923,10.31234/osf.io/2deap,Scientific Reports,Springer Nature Limited,FALSE,NA,NA,2003.05,1.094,107959 - 10859 - 17.06.2021,PRAC-1_205983,179872,Psychophysical Profiles in Super-Recognizers
Swiss National Science Foundation (SNSF),2021-06-17,1830.941499085923,10.1038/s41598-021-90284-6,Scientific Reports,Springer Nature,FALSE,2045-2322,NA,2003.05,1.094,107965 - 10859 - 17.06.2021,31AC-0_205781,173000,A reliable set of reference genes to normalize oxygen-dependent cytoglobin gene expression levels in melanoma
Swiss National Science Foundation (SNSF),2021-06-17,2067.029250457038,10.1088/2515-7647/ac0805,Journal of Physics: Photonics,"IOP Publishing, United Kingdom",FALSE,NA,NA,2261.33,1.094,107954 - 10835 - 17.06.2021,20AC-1_205955,172696,Two-dimensional ultrafast transient absorption spectrograph covering deep-ultraviolet to visible spectral region optimized for biomolecules
Swiss National Science Foundation (SNSF),2021-06-17,1927.4405850091405,10.1093/gbe/evab077,Genome Biology and Evolution,,FALSE,1759-6653,NA,2108.62,1.094,107972 - 10849 - 17.06.2021,PPAC-3_205774,183723,Homoeolog inference methods requiring bidirectional best hits or synteny miss many pairs
Swiss National Science Foundation (SNSF),2021-06-17,1999.08592321755,10.1186/s12877-021-02220-y,BMC Geriatrics,"BioMed Central Ltd, part of Springer Nature.",FALSE,1471-2318,NA,2187,1.094,107975 - 12330 - 17.06.2021,40AC-0_205775,167509,Effects of an interprofessional Quality Circle-Deprescribing Module (QC-DeMo) in Swiss nursing homes: a randomised controlled trial
Swiss National Science Foundation (SNSF),2021-06-17,2020.4296160877511,10.1371/journal.pntd.0008360,PLOS Neglected Tropical Diseases,,FALSE,1935-2735,NA,2210.35,1.094,107978 - 12331 - 17.06.2021,40AC-0_205947,160366,Social marketing interventions for the prevention and control of neglected tropical diseases: A systematic review
Swiss National Science Foundation (SNSF),2021-06-17,2213.409506398537,10.3389/fevo.2021.668281,Frontiers in Ecology and Evolution,,FALSE,2296-701X,NA,2421.47,1.094,107974 - 10239 - 17.06.2021,CRAC-3_205941,147630,Genome Skimming Reveals Widespread Hybridization in a Neotropical Flowering Plant Radiation
Swiss National Science Foundation (SNSF),2021-06-17,2213.409506398537,10.3389/fenrg.2021.668124,Frontiers,Frontiers Media,FALSE,NA,NA,2421.47,1.094,107977 - 10239 - 17.06.2021,20AC-1_205940,165978,Advancing the thermal network representation for the optimal design of Distributed Multi-Energy Systems
Swiss National Science Foundation (SNSF),2021-06-17,2264.2595978062154,10.3390/ijerph18116052,International Journal of Environmental Research and Public Health,,FALSE,NA,NA,2477.1,1.094,107969 - 10415 - 17.06.2021,40AC-0_205788,194003,Associations between Natural Resource Extraction and Inci-dence of Acute and Chronic Health Conditions: Evidence from Tanzania
Swiss National Science Foundation (SNSF),2021-06-17,2362.7056672760514,10.3390/rs13101989,Remote Sensing,MDPI,FALSE,2072-4292,NA,2584.8,1.094,107956 - 12062 - 17.06.2021,31AC-0_205956,184120,A Gaussian Mixture Model to Separate Birds and Insects in Single-Polarization Weather Radar Data
Swiss National Science Foundation (SNSF),2021-06-17,2432.2303473491775,10.1186/s12874-021-01329-3,BMC Medical Research Methodology,Springer Nature,FALSE,NA,NA,2660.86,1.094,107958 - 10752 - 17.06.2021,40AC-0_205954,183427,"The INSPIRE Population Survey: Development, dissemination and respondent characteristics"
Swiss National Science Foundation (SNSF),2021-06-17,2888.7842778793415,10.1021/acsmaterialsau.1c00011,ACS Materials Au,ACS,TRUE,NA,NA,3160.33,1.094,107971 - 10815 - 17.06.2021,PCAC-2_205786,194183,Superconductivity with High Upper Critical Fieldin the Cubic Centrosymmetric η-Carbide Nb4Rh2C1-δ
Swiss National Science Foundation (SNSF),2021-06-17,4907.797074954296,10.1038/s41467-021-24083-y,Nature Communications,SpringerNature,FALSE,NA,NA,5369.13,1.094,107955 - 10859 - 17.06.2021,31AC-0_205952,185325,Structural insights into an atypical secretory pathway kinase crucial for Toxoplasma gondii invasion
Swiss National Science Foundation (SNSF),2021-06-17,4907.797074954296,10.1038/s41467-021-23342-2,Nature Communications,,FALSE,2041-1723,NA,5369.13,1.094,107967 - 10859 - 17.06.2021,32AC-0_205785,176222,An electronic neuromorphic system for real-time detection of high frequency oscillations (HFO) in intracranial EEG
Swiss National Science Foundation (SNSF),2021-06-16,738.345521023766,10.3390/cmd2020015,Corros. Mater. Degrad. ,MDPI,FALSE,NA,NA,807.75,1.094,107945 - 10415 - 16.06.2021,PPAC-2_205944,"190081, 163653",Microbial-Driven Stabilisation of Archaeological Iron Artefacts
Swiss National Science Foundation (SNSF),2021-06-16,1669.0127970749543,10.3390/ijerph18115782,International Journal of Environmental Research and Public Health,MDPI,FALSE,1660-4601,NA,1825.9,1.094,107944 - 10415 - 16.06.2021,P1AC-3_205945,187637,How Accurate and Precise Can We Measure the Posture and the Energy Expenditure Component of Sedentary Behaviour with One Sensor?
Swiss National Science Foundation (SNSF),2021-06-16,1810.6946983546618,10.1002/ece3.7537,Ecology and Evolution,Wiley,FALSE,NA,NA,1980.9,1.094,107942 - 10764 - 16.06.2021,31AC-0_205943,170200,Reproductive trait differences drive offspring production in urban cavity-nesting bees and wasps
