"institution",period,euro,"doi","journal_full_title","publisher","is_hybrid","issn","url",chf,conversion_rate,invoice_original_amount,"invoice_original_currency",snsf_voucher_number,"grant_snsf",grant_snsf_related
"Swiss National Science Foundation (SNSF)",2015,2824.98,"10.5194/nhess-16-675-2016","Natural Hazards and Earth System Sciences","Copernicus GmbH","FALSE","1684-9981",,3017.39,1.06811,2499.00,"EUR",,"200021_156255",156255
"Swiss National Science Foundation (SNSF)",2016,3134.08,"10.1126/sciadv.1601625","Science Advances","American Association for the Advancement of Science (AAAS)","FALSE","2375-2548",,3416.43,1.09009,3450.00,"USD",,"31003A_166426",166426
"Swiss National Science Foundation (SNSF)",2016,1618.40,"10.1186/s12864-017-3531-y","BMC Genomics","Springer Science and Business Media LLC","FALSE","1471-2164",,1764.20,1.09009,1370.00,"GBP",,"31003A_160203",160203
"Swiss National Science Foundation (SNSF)",2016,1293.79,"10.1186/s13071-016-1759-z","Parasites & Vectors","Springer Science and Business Media LLC","FALSE","1756-3305",,1410.35,1.09009,1096.00,"GBP",,"CRSII3_147649",147649
"Swiss National Science Foundation (SNSF)",2016,2160.28,"10.1186/s13073-016-0359-z","Genome Medicine","Springer Science and Business Media LLC","FALSE","1756-994X",,2354.90,1.09009,1780.00,"GBP",,"31003A_160203",160203
"Swiss National Science Foundation (SNSF)",2016,1327.08,"10.1371/journal.pone.0154280","PLOS ONE","Public Library of Science (PLoS)","FALSE","1932-6203",,1446.64,1.09009,1495.00,"USD",,"310030B_163480",163480
"Swiss National Science Foundation (SNSF)",2016,3754.20,"10.1038/ncomms10806","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,3000.00,1.09009,3700.00,"EUR",,"31003A_156467",156467
"Swiss National Science Foundation (SNSF)",2017,3989.43,"10.1038/ncomms14363","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,3000.00,1.11157,3700.00,"EUR",,"31003A_163338",163338
"Swiss National Science Foundation (SNSF)",2017,3642.85,"10.1038/ncomms15853","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,3000.00,1.11157,3700.00,"EUR",,"31003A_159525",159525
"Swiss National Science Foundation (SNSF)",2017,3258.32,"10.1126/sciadv.1602026","Science Advances","American Association for the Advancement of Science (AAAS)","FALSE","2375-2548",,3000.00,1.11157,3450.00,"USD",,"31003A_166318",166318
"Swiss National Science Foundation (SNSF)",2017,2945.34,"10.1128/mBio.01341-17","mBio","American Society for Microbiology","FALSE","2150-7511",,3000.00,1.11157,3300.00,"USD",,"31003A_165803",165803
"Swiss National Science Foundation (SNSF)",2017,4310.93,"10.15252/embj.201797103","The EMBO Journal","EMBO","TRUE","0261-4189,1460-2075",,3000.00,1.11157,3995.00,"EUR",,"31003A_159525",159525
"Swiss National Science Foundation (SNSF)",2017,4312.73,"10.15252/embr.201744416","EMBO reports","EMBO","TRUE","1469-221X,1469-3178",,3000.00,1.11157,3995.00,"EUR",,"31003A_159525",159525
"Swiss National Science Foundation (SNSF)",2018,4557.56,"10.1016/j.celrep.2017.12.094","Cell Reports","Elsevier BV","FALSE","2211-1247",,3000.00,1.15487,4485.30,"EUR",,"31003A_162609",162609
"Swiss National Science Foundation (SNSF)",2018,3877.92,"10.1038/s41467-017-01648-4","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,1080.00,1.15487,3700.00,"EUR",,"200021_169899",169899
"Swiss National Science Foundation (SNSF)",2018,4201.84,"10.1038/s41467-018-05052-4","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,4853.13,1.15487,3850.00,"EUR",,"200021_169679",169679
"Swiss National Science Foundation (SNSF)",2018,4299.78,"10.1038/s41467-018-05603-9","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,2466.25,1.15487,4146.45,"EUR",,"PYAPP2_160588",160588
"Swiss National Science Foundation (SNSF)",2018,4194.89,"10.1038/s41467-018-06972-x","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,2345.10,1.15487,4146.45,"EUR",,"200020_178860",178860
"Swiss National Science Foundation (SNSF)",2018,1370.00,"10.1038/s41598-018-20543-6","Scientific Reports","Springer Science and Business Media LLC","FALSE","2045-2322",,802.00,1.15487,1370.00,"EUR",,"31003A_156853",156853
"Swiss National Science Foundation (SNSF)",2018,1437.12,"10.3389/fenrg.2018.00022","Frontiers in Energy Research","Frontiers Media SA","FALSE","2296-598X",,1659.87,1.15487,1739.36,"USD",,"407040_154040",154040
"Swiss National Science Foundation (SNSF)",2019,1878.70,"10.1088/1748-9326/ab24f4","Environmental Research Letters","IOP Publishing","FALSE","1748-9326",,1045.00,1.11247,2080.00,"USD",,"200021_179123",179123
"Swiss National Science Foundation (SNSF)",2019,7683.80,"10.1175/BAMS-D-19-0040.1","Bulletin of the American Meteorological Society","American Meteorological Society","FALSE","0003-0007,1520-0477",,8548.00,1.11247,8350.00,"USD",,"205121_169676",169676
"Swiss National Science Foundation (SNSF)",2019,1255.35,"10.5194/cp-15-1485-2019","Climate of the Past","Copernicus GmbH","FALSE","1814-9332",,962.04,1.11247,1581.00,"EUR",,"200021_162668",162668
"Swiss National Science Foundation (SNSF)",2016,1490.49,"10.1371/journal.pone.0164613","PLOS ONE","Public Library of Science (PLoS)","FALSE","1932-6203",,1624.77,1.09009,1495.00,"USD",,"320030_166704",166704
"Swiss National Science Foundation (SNSF)",2016,814.81,"10.7717/peerj.2980","PeerJ","PeerJ","FALSE","2167-8359",,888.22,1.09009,895.00,"USD",,"CR31I3_162803",162803
"Swiss National Science Foundation (SNSF)",2017,2092.99,"10.1002/cphc.201601072","ChemPhysChem","Wiley","TRUE","1439-4235",,2326.50,1.11157,2500.00,"EUR",,"CR30I3_159250",169120
"Swiss National Science Foundation (SNSF)",2017,1212.70,"10.1002/ece3.3075","Ecology and Evolution","Wiley","FALSE","2045-7758,2045-7758",,1348.00,1.11157,1224.00,"EUR",,"CR30I3_159250",159250
"Swiss National Science Foundation (SNSF)",2017,4806.34,"10.1016/j.celrep.2017.04.054","Cell Reports","Elsevier BV","FALSE","2211-1247",,5342.58,1.11157,4485.30,"EUR",,"31003A_170110",170110
