institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2023,1169.332098384275,10.1186/s13358-023-00301-6,Updated cranial and mandibular description of the Late Cretaceous (Maastrichtian) baenid turtle Saxochelys gilberti,2023-12-27,Swiss Journal of Palaeontology,Springer Nature,FALSE,1136.24,0.9717,2939375275,NA,202019,Chronoshub
Swiss National Science Foundation (SNSF),2023,3087.3726458783576,10.1021/jacsau.3c00677,Structure and Role of a Ga-Promoter in Ni-Based Catalysts for the Selective Hydrogenation of CO2 to Methanol,2023-12-27,JACS Au,American Chemical Society (ACS),FALSE,3000,0.9717,APC600484640,NA,"169134, 154448, 180544",Chronoshub
Swiss National Science Foundation (SNSF),2023,3652.073685293815,10.3389/fimmu.2023.1335207,Inhibition of anti-tumor immunity by melanoma cell-derived Activin-A depends on STING,2023-12-27,Frontiers in Immunology,Frontiers Media,FALSE,3548.72,0.9717,2023-1053067-2,NA,179330,Chronoshub
Swiss National Science Foundation (SNSF),2023,1935.7723577235772,10.1186/s13063-023-07854-4,Effects of including a dog on treatment motivation and the therapeutic alliance in child and adolescent psychothera,2023-12-27,Trials,BioMed Central,FALSE,1880.99,0.9717,2939378314,NA,194591,Chronoshub
Swiss National Science Foundation (SNSF),2023,5974.09694350108,10.1038/s41467-023-44115-z,Field-induced bound-state condensation and spin-nematic phase in SrCu2(BO3)2 revealed by neutron scattering up to 25.9 T,2023-12-27,Nature Communications,Nature Publishing Group,FALSE,5805.03,0.9717,2939352278,NA,188648,Chronoshub
Swiss National Science Foundation (SNSF),2023,1852.4235875270144,10.3390/jof7110958,Laccase Activity in Fungus Cryphonectria parasitica Is Affected by Growth Conditions and Fungal–Viral Genotypic Interactions,2023-12-27,Journal of Fungi,MDPI,FALSE,1800,0.9717,Reimbursement 1404123,NA,180651,Chronoshub
Swiss National Science Foundation (SNSF),2023,1396.5421426366163,10.1186/s12859-023-05538-z,Efficient design of synthetic gene circuits under cell-to-cell variability,2023-12-27,BMC Bioinformatics,BioMed Central,FALSE,1357.02,0.9717,6106674615,NA,182895,Chronoshub
Swiss National Science Foundation (SNSF),2023,2128.0642173510346,10.3390/atmos14121713,Lightning Nowcasting Using Solely Lightning Data,2023-12-27,Atmosphere,MDPI,FALSE,2067.84,0.9717,Reimbursement 2665279,NA,204235,Chronoshub
Swiss National Science Foundation (SNSF),2023,2127.415766182978,10.3390/ani14010064,Bite-wounds and dominance structures in male and female African spiny mice (Acomys cahirinus): Implications for animal welfare and the generalizability of experimental results,2023-12-27,Animals,MDPI,FALSE,2067.2099,0.9717,2782495,NA,181707,Chronoshub
Swiss National Science Foundation (SNSF),2023,1241.37079345477,10.3390/educsci14010015,Social and Individual Factors Predicting Students’ Resilience: A Multigroup Structural Equation Model,2023-12-27,Education Sciences,MDPI,FALSE,1206.24,0.9717,2724123,NA,185481,Chronoshub
Swiss National Science Foundation (SNSF),2023,3936.400123494906,10.1126/sciadv.adj2629,Separation of Photoionization and Measurement-induced Delays,2023-12-27,Science Advances,American Association for the Advancement of Science,FALSE,3825,0.9717,APC600486099,NA,"183615, 204928",Chronoshub
Swiss National Science Foundation (SNSF),2023,3574.4880107028916,10.3389/fpsyg.2023.1269364,Psychological correlates of body dissatisfaction in Swiss youth over a one-year study-period,2023-12-27,Frontiers in Psychology,Frontiers Media,FALSE,3473.33,0.9717,2023-0988748-4,NA,185387,Chronoshub
Swiss National Science Foundation (SNSF),2023,3087.3726458783576,10.7554/elife.80683,Mutant SF3B1 promotes malignancy in PDAC,2023-12-27,eLife,eLife Sciences Publications,FALSE,3000,0.9717,P011698,NA,185293,Chronoshub
Swiss National Science Foundation (SNSF),2023,2297.005248533498,10.5194/tc-17-5435-2023,Annual to seasonal glacier mass balance in High Mountain Asia derived from Pléiades stereo images: examples from the Pamir and the Tibetan Plateau,2023-12-27,Cryosphere,Copernicus GmbH,FALSE,2232,0.9717,Chronos-PUC-2023-73,NA,177652,Chronoshub
Swiss National Science Foundation (SNSF),2023,5974.09694350108,10.1038/s41467-023-43780-4,PAX3-FOXO1 uses its activation domain to recruit CBP/P300 and shape RNA Pol2 cluster distribution,2023-12-27,Nature Communications,Nature Publishing Group,FALSE,5805.03,0.9717,2939352229,NA,175558,Chronoshub
Swiss National Science Foundation (SNSF),2023,2355.2845528455287,10.3389/fruro.2023.1335414,"The interplay between bacterial biofilms, encrustation, and wall shear stress in ureteral stents: a review across scales",2023-12-27,Frontiers in Urology,Frontiers Media,FALSE,2288.63,0.9717,2023-1053809-2,NA,204965,Chronoshub
Swiss National Science Foundation (SNSF),2023,2804.1679530719357,10.1093/gbe/evad111,Chromosome-Level Assemblies of the Pieris mannii Butterfly Genome Suggest Z-Origin and Rapid Evolution of the W Chromosome,2023-12-27,Genome Biology and Evolution,Oxford University Press,FALSE,2724.81,0.9717,E16199120,NA,200374,Chronoshub
Swiss National Science Foundation (SNSF),2023,1485.2114850262428,10.1016/j.xpro.2023.102664,Protocol for Isolation and spectral flow cytometry analysis of immune cells from the murine exocrine and endocrine pancreas,2023-12-27,STAR Protocols,Elsevier,FALSE,1443.18,0.9717,OAD0000348371,NA,214900,Chronoshub
Swiss National Science Foundation (SNSF),2023,3087.3726458783576,10.1021/acsnanoscienceau.3c00062,Sterically selective [3+3] cycloaromatization in the on-surface synthesis of nanographenes,2023-12-27,ACS Nanoscience Au,American Chemical Society (ACS),FALSE,3000,0.9717,APC600485096,NA,"205602, 195133, 159690",Chronoshub
Swiss National Science Foundation (SNSF),2023,3652.073685293815,10.3389/fpsyt.2023.1302559,"Potential Therapeutic Effects of an Ayahuasca-inspired N,N-DMT and Harmine Formulation: A Controlled Trial in Healthy Subjects",2023-12-27,Frontiers in Psychiatry,Frontiers Media,FALSE,3548.72,0.9717,2023-1025166-6,NA,"191935, 196833",Chronoshub
Swiss National Science Foundation (SNSF),2023,3153.3086343521663,10.1038/s41699-023-00437-6,Electronic transport in graphene without-of-plane disorder,2023-12-27,npj 2D Materials and Applications,Nature Publishing Group,FALSE,3064.07,0.9717,2939359675,NA,172543,Chronoshub
