institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2025,2701.3553895410887,10.1186/s12912-025-03894-0,Adapting nursing education to improve care for persons with disabilities: a systematic review of curriculum changes and training effectiveness,2025-12-23T02:15:00Z,BMC Nursing,Springer Nature ,FALSE,2531.17,0.937,2936654381,NA,186035,Chronoshub
Swiss National Science Foundation (SNSF),2025,3512.966915688367,10.1038/s41524-025-01880-3,"Algorithmic differentiation for plane-wave DFT: materials design, error control and learning model parameters",2025-12-23T02:15:00Z,npj Computational Materials,Springer Nature ,FALSE,3291.65,0.937,2936772858,NA,"221186, 205602",Chronoshub
Swiss National Science Foundation (SNSF),2025,266.8089647812166,10.1145/3776710,Formal Verification for JavaScript Regular Expressions: A Proven Mechanized Semantics and Its Applications,2025-12-23T02:13:00Z,Proceedings of the ACM on Programming Languages,Association for Computing Machinery (ACM),FALSE,250,0.937,14445596,NA,10003649,Chronoshub
Swiss National Science Foundation (SNSF),2025,148.2924226254002,10.1080/10400435.2021.1994052,ADMIN FEE: A Social Justice Approach to Assistive Technology and Well-Being of People with Visual disabilities in Low- and Middle:Income Countries: A Qualitative Study,2025-12-23T02:11:00Z,JMIR Rehabilitation and Assistive Technologies,JMIR Publications,TRUE,138.95,0.937,REHAB-72306-PRTL-0083149,NA,186035,Chronoshub
Swiss National Science Foundation (SNSF),2025,2030.480256136606,10.3390/bs15121716,Fostering playfulness in 2- to 6-year-old children: A longitudinal study of parental play support profiles and their effects on children’s playfulness,2025-12-22T09:54:00Z,Behavioral Sciences,MDPI,FALSE,1902.56,0.937,3937733,NA,192422,Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-66698-5,Edge polaritons at metal-insulator boundaries in a phase separated correlated oxide,2025-12-22T08:15:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936752765,NA,"10005225, 201096",Chronoshub
Swiss National Science Foundation (SNSF),2025,7833.500533617929,10.1038/s44318-025-00614-x,The Arabidopsis phosphatase PP2C12 negatively regulates LRX-RALF-FER-mediated cell wall integrity sensing,2025-12-22T08:14:00Z,The EMBO Journal,Springer Nature ,FALSE,7339.99,0.937,2936738183,NA,NA,Chronoshub
Swiss National Science Foundation (SNSF),2025,2625.4002134471716,10.1017/mdh.2025.10048,"Eradicating syphilis? Alternative projects, failures and infectious disease control in the French colonial empire (1916-1940)",2025-12-22T08:08:00Z,Medical History,Cambridge University Press,TRUE,2460,0.937,APC600752329,NA,186394,Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-65703-1,Loss of cell-autonomously secreted laminin-α2 drives muscle stem cell dysfunction in LAMA2-related muscular dystrophy,2025-12-19T10:24:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936712547,NA,"187415, 220244, 189248",Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-67055-2,GLYCO-BUILD: An enzymatic pipeline for the synthesis of peptides carrying eukaryotic N-glycans,2025-12-19T10:24:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936769717,NA,"196862, 220007",Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-66672-1,Nature of 2D XY antiferromagnetism in a van der Waals monolayer,2025-12-19T10:23:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936746857,NA,208760,Chronoshub
Swiss National Science Foundation (SNSF),2025,2820.7577374599787,10.1038/s41598-025-29775-9,Characterisation of Intrusive Memories and Prediction from Memory-Related Genes and Cognitive and Emotional Factors,2025-12-19T10:23:00Z,Scientific Reports,Springer Nature ,FALSE,2643.05,0.937,2936772786,NA,126597,Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-66687-8,Very long chain fatty acids drive 1-deoxySphingolipid toxicity,2025-12-19T10:23:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936752788,NA,"215134, 187505",Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-66611-0,Multi-omics profiling reveals atypical sugar utilization and a key membrane composition regulator in Streptococcus pneumoniae,2025-12-19T10:23:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936748465,NA,"192517, 200792, 180541",Chronoshub
Swiss National Science Foundation (SNSF),2025,2995.538954108858,10.1186/s12889-025-25407-z,Depression and anxiety symptoms in male and female farmers: association with farm characteristics and mental health protection strategies in the FarmCoSwiss cohort,2025-12-19T10:21:00Z,BMC Public Health,Springer Nature ,FALSE,2806.82,0.937,2936742501,NA,193762,Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-66450-z,Real-space machine learning of correlation density functionals,2025-12-19T10:21:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2926752616,NA,211246,Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-66911-5,Chiral phonons in polar LiNbO3,2025-12-19T10:20:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936776283,NA,196964,Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186552828174,10.1038/s41467-025-67184-8,Cavity-mediated charge and pair-density waves in a unitary Fermi gas,2025-12-19T10:20:00Z,Nature Communications,Springer Nature ,FALSE,6367.0898,0.937,2936776709,NA,215924,Chronoshub
Swiss National Science Foundation (SNSF),2025,3282.2305229455706,10.1186/s12877-025-06817-5,A pre-post intervention STudy to improve fall Risk assessment in OLder hospitaLiZed adults: the STROLL study,2025-12-19T10:20:00Z,BMC Geriatrics,Springer Nature ,FALSE,3075.45,0.937,2936770286,NA,201672,Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-66753-1,Dysregulation of homeostatic cytokine receptors drives prolonged T cell activation following acute SARS-CoV-2 infection,2025-12-19T10:19:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936759545,NA,"212240, 172978, 200669, 198431",Chronoshub
Swiss National Science Foundation (SNSF),2025,6795.186766275347,10.1038/s41467-025-65777-x,Mechanisms of Pseudomonas aeruginosa resistance to Type VI Secretion System attacks,2025-12-19T10:19:00Z,Nature Communications,Springer Nature ,FALSE,6367.09,0.937,2936724109,NA,1180541,Chronoshub
Swiss National Science Foundation (SNSF),2025,2820.7577374599787,10.1186/s13063-025-09377-6,Exploring Cross-Cultural Effectiveness of Internet-Based Depression Treatment (IBATD) with Peer-to-Peer Support vs. without across WEIRD and Non-WEIRD Samples: A Research Protocol for a Randomized Controlled Trial,2025-12-19T10:19:00Z,Trials,Springer Nature ,FALSE,2643.05,0.937,2936801324,NA,209481,Chronoshub
Swiss National Science Foundation (SNSF),2025,1782.443970117396,10.1057/s41599-025-06337-y,Beyond resistance: Alternative innovation models for global access and stewardship of new antibiotics,2025-12-19T10:19:00Z,Humanities & Social Sciences Communications,Springer Nature ,FALSE,1670.15,0.937,2936760532,NA,179842,Chronoshub
Swiss National Science Foundation (SNSF),2025,1334.0448239060831,10.7185/geochemlet.2553,Earth’s foundational geological events stored in the fundamental mantle source of hotspots,2025-12-19T10:10:00Z,Geochemical Perspectives Letters,European Association of Geochemistry,FALSE,1250,0.937,EAG-0098,NA,186064,Chronoshub
Swiss National Science Foundation (SNSF),2025,3030.949839914621,10.1103/z1ng-wg3k,Experimentally Informed Decoding of Stabilizer Codes Based on Syndrome Correlations,2025-12-19T09:55:00Z,Physical Review Research,American Physical Society,FALSE,2840,0.937,INV/25/DEC/018937,NA,185902,Chronoshub
Swiss National Science Foundation (SNSF),2025,1280.6830309498398,10.21769/bioprotoc.5558,Identifying and characterizing lipid-binding cavities in lipid transfer proteins with CG-MD simulations,2025-12-19T09:48:00Z,Bio-protocol Journal,Bio-Protocol,FALSE,1200,0.937,P000754,NA,10005193,Chronoshub
Swiss National Science Foundation (SNSF),2025,2930.522945570971,10.1093/braincomms/fcaf477,From Acute Neglect to Chronic Constructional Deficits: Parieto-Temporal Contributions to Long-Term post-stroke Impairments,2025-12-19T09:45:00Z,Brain Communications,Oxford University Press,FALSE,2745.9,0.937,SOA25LT016024,NA,211431,Chronoshub
Swiss National Science Foundation (SNSF),2025,1476.7129135538953,10.3390/clockssleep7040068,Anticipation of Stress and Relaxation Dynamically Impacts Sleep,2025-12-19T09:40:00Z,Clocks & Sleep,MDPI,FALSE,1383.68,0.937,3947009,NA,10002483,Chronoshub
Swiss National Science Foundation (SNSF),2025,1361.344717182497,10.3390/vetsci12121162,Bilateral Cranial Cruciate Ligament Rupture Treatment in a Dog Affected by Classical Ehlers-Danlos Syndrome,2025-12-19T09:40:00Z,Veterinary Sciences,MDPI,FALSE,1275.58,0.937,3999008,NA,200354,Chronoshub
Swiss National Science Foundation (SNSF),2025,3634.0981856990393,10.3389/fimmu.2025.1582464,Tumor mutational burden predicts neoantigen profiles and immunotherapy response in microsatellite stable tumors across different cancer types”,2025-12-19T09:37:00Z,Frontiers in Immunology,Frontiers Media,FALSE,3405.15,0.937,2025-1347273-8,NA,193832,Chronoshub
Swiss National Science Foundation (SNSF),2025,3634.0981856990393,10.3389/fendo.2025.1684155,Antibiotic-induced gut microbiota depletion enhances glucose tolerance linked to GLP-1 signaling,2025-12-19T09:37:00Z,Frontiers in Endocrinology,Frontiers Media,FALSE,3405.15,0.937,2025-1474232-3,NA,200377,Chronoshub
Swiss National Science Foundation (SNSF),2025,3634.0981856990393,10.3389/fcimb.2025.1686525,Synthetic peptide V11A reduces bacterial load and inflammation in pneumococcal meningitis,2025-12-19T09:36:00Z,Frontiers in Cellular and Infection Microbiology,Frontiers Media,FALSE,3405.15,0.937,2025-1472821-4,NA,192067,Chronoshub
Swiss National Science Foundation (SNSF),2025,1921.0245464247598,10.5194/soil-11-991-2025,Availability of labile carbon controls the temperature-dependent response of soil organic matter decomposition in alpine soils,2025-12-19T03:37:00Z,SOIL,Copernicus Publications,FALSE,1800,0.937,SOIL-PUC-2025-55,NA,188684,Chronoshub
Swiss National Science Foundation (SNSF),2025,1921.0245464247598,10.5194/bg-22-7535-2025,How does nitrogen control soil organic matter turnover and composition? – Theory and model,2025-12-19T03:37:00Z,Biogeosciences,Copernicus Publications,FALSE,1800,0.937,BG-PUC-2025-363,NA,188882,Chronoshub
