"institution";"period";"euro";"doi";"backlist_oa";"book_title";;
"CNRS - Centre national de la recherche scientifique";2021;9500;"10.1163/9789004678606";"FALSE";"Chinese in France amid the Covid-19 Pandemic. Daily Lives, Racial Struggles and Transnational Citizenship of Migrants and Descendants";;
"CNRS - Centre national de la recherche scientifique";2021;4200;"10.1051/978-2-7598-2545-5";"FALSE";"Les mots du climat";;
"CNRS - Centre national de la recherche scientifique";2021;1250;"10.1561/9781680838251";"FALSE";"DevOps for Trustworthy Smart IoT Systems";;
"CNRS - Centre national de la recherche scientifique";2021;1260;"https://www.peeters-leuven.be/pdf/9789042946477.pdf";"FALSE";"Le Langage. Lectures d'Aristote";"Peeters Publishers Leuven";"978-90-429-4647-7"
"CNRS - Centre national de la recherche scientifique";2021;3700;"10.1201/9781003162766";"FALSE";"Quaternary Vegetation Dynamics The African Pollen Database";;
