institution,period,euro,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
lnu,2025, 4520.00,10.13068/9789179243982,FALSE,Arkiv förlag,"Integration och underordning i välfärdsstatens tid: Texter om sociologi, sociala problem och socialpolitik",9789179243975,9789179243982,
lnu,2025, 5424.00,10.13068/9789179244033,FALSE,Arkiv förlag,Teoretiskt hantverk: Om teoretiserande i samhällsvetenskaplig forskning,9789179244026,9789179244033,
lnu,2025, 5424.00,10.1017/9781009640817,FALSE,Cambridge University Press,Negotiating Imperialism: Murakami Naojirō's Archival Diplomacy,9781009640800,9781009640817,
lnu,2025, 5461.34,10.1163/9789004745766,FALSE,Brill,Empire of Improvisation: Taxation and Governance in Colonial Indonesia,9789004745766,9789004745759,
lnu,2025,13637.74,,FALSE,Palgrave MacMillan,Grotesque Anthropocene: Disfigured Environments Across Media,9783032093639,9783032093660,9783032093646
