"Institution","Period","CHF","DOI","is hybrid","currency","Euro"
"University of Bern","2023-01-18","2.708,11","10.2196/43092","false","CHF","2733.81"
"University of Bern","2023-01-25","2.740,97","10.1186/s12874-022-01795-3","false","CHF","2735.5"
"University of Bern","2023-01-18","1.981,68","10.3390/ijms24021407 ","false","CHF","2000.48"
"University of Bern","2023-02-01","500,00","10.5334/spo.45","false","CHF","501.0"
"University of Bern","2023-01-25","1.550,88","10.3390/children10010144","false","CHF","1547.78"
"University of Bern","2023-02-03","1.723,20","10.1002/pan3.10435","false","CHF","1725.1"
"University of Bern","2023-03-03","1.846,78","10.1371/journal.pone.0280864","false","CHF","1854.57"
"University of Bern","2023-02-03","2.584,80","10.1136/bmjdrc-2022-002919","false","CHF","2587.65"
"University of Bern","2023-02-02","1.981,68","10.3390/ijms24032646","false","CHF","1983.27"
"University of Bern","2023-02-22","2.466,22","10.1186/s40729-023-00470-6","false","CHF","2498.7"
"University of Bern","2023-02-22","1.550,88","10.3390/ijms24032601","false","CHF","1571.31"
"University of Bern","2023-02-22","1.723,20","10.3390/su15043240","false","CHF","1745.9"
"University of Bern","2023-02-22","878,83","doi: 10.3205/zma001598","false","CHF","890.41"
"University of Bern","2023-02-22","849,21","10.1128/MRA.00036-23","false","CHF","860.4"
"University of Bern","2023-03-24","1.307,69","10.22514/sv.2023.034","false","CHF","1324.38"
"University of Bern","2023-03-03","1.944,63","10.5194/amt-16-825-2023","false","CHF","1952.83"
"University of Bern","2023-03-03","1.723,20","10.3390/ brainsci13020327","false","CHF","1730.47"
"University of Bern","2023-03-08","861,60","10.3390/sexes4010012","false","CHF","867.59"
"University of Bern","2023-03-08","2.202,46","10.1177/16094069231161602","false","CHF","2217.76"
"University of Bern","2023-04-05","2.154,00","10.3390/ijms24043470","false","CHF","2175.54"
"University of Bern","2023-03-17","2.498,64","10.1136/bmjopen-2022-063820","false","CHF","2534.63"
"University of Bern","2023-03-17","2.378,01","10.1107/S2052252523002208","false","CHF","2412.26"
"University of Bern","2023-04-12","1.866,22","10.1371/journal.pone.0283511","false","CHF","1894.06"
"University of Bern","2023-04-05","2.171,23","10.1371/journal.pclm.0000162","false","CHF","2192.94"
"University of Bern","2023-06-02","2.300,00","10.1136/bmjopen-2022-070672","false","CHF","2357.04"
"University of Bern","2023-04-12","1.206,24","10.3390/jintelligence11040064","false","CHF","1224.24"
"University of Bern","2023-04-14","1.082,33","10.1007/s43621-023-00134-w","false","CHF","1101.38"
"University of Bern","2023-06-12","2.331,10","10.1136/bmjopen-2022-070046","false","CHF","2390.63"
"University of Bern","2023-04-26","1.895,52","10.3390/cells12081149 ","false","CHF","1929.48"
"University of Bern","2023-05-03","1.923,52","10.2196/44346","false","CHF","1960.97"
"University of Bern","2023-05-05","1.518,57","10.2196/42337","false","CHF","1545.15"
"University of Bern","2023-06-16","1.788,46","10.1371/journal.pone.0283200","false","CHF","1830.56"
"University of Bern","2023-05-22","2.310,17","10.1038/s41598-023-34256-y","false","CHF","2381.62"
"University of Bern","2023-05-22","1.895,52","10.3390/antibiotics12050878 ","false","CHF","1954.14"
