institution;period;doi;is_hybrid;is_hybrid2;agreement
Università della Svizzera italiana;2025;10.1159/000545606;TRUE;Hybrid;kar2023csal
Università della Svizzera italiana;2025;10.1159/000546175;TRUE;Hybrid;kar2023csal
Università della Svizzera italiana;2025;10.1159/000548898;TRUE;Hybrid;kar2023csal
University Hospital of Bern;2025;10.1159/000548753;TRUE;Hybrid;kar2023csal
University Hospital of Bern;2025;10.1159/000544701;FALSE;Gold OA;kar2023csal
University Hospital of Bern;2025;10.1159/000549853;TRUE;Hybrid;kar2023csal
University Hospital of Bern;2025;10.1159/000549812;TRUE;Hybrid;kar2023csal
University Hospital of Bern;2025;10.1159/000545888;TRUE;Hybrid;kar2023csal
University Hospital of Bern;2025;10.1159/000548287;TRUE;Hybrid;kar2023csal
University Hospital of Bern;2025;10.1159/000547236;FALSE;Gold OA;kar2023csal
University Hospital of Bern;2025;10.1159/000548033;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000547287;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000549896;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000545162;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000544082;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000545572;FALSE;Gold OA;kar2023csal
University of Basel;2025;10.1159/000543933;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000545908;FALSE;Gold OA;kar2023csal
University of Basel;2025;10.1159/000547673;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000547704;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000543936;FALSE;Gold OA;kar2023csal
University of Basel;2025;10.1159/000547694;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000544751;TRUE;Hybrid;kar2023csal
University of Basel;2025;10.1159/000547337;TRUE;Hybrid;kar2023csal
University of Fribourg;2025;10.1159/000548258;TRUE;Hybrid;kar2023csal
University of Lausanne;2025;10.1159/000543673;TRUE;Hybrid;kar2023csal
University of Lausanne;2025;10.1159/000545804;TRUE;Hybrid;kar2023csal
University of Lausanne;2025;10.1159/000546284;TRUE;Hybrid;kar2023csal
University of Lausanne;2025;10.1159/000546665;FALSE;Gold OA;kar2023csal
University of Lausanne;2025;10.1159/000546794;TRUE;Hybrid;kar2023csal
University of Lausanne;2025;10.1159/000547261;TRUE;Hybrid;kar2023csal
University of Lausanne;2025;10.1159/000548730;FALSE;Gold OA;kar2023csal
University of Lausanne;2025;10.1159/000549728;TRUE;Hybrid;kar2023csal
University of Lausanne;2025;10.1159/000549780;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000548446;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000547103;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000545237;FALSE;Gold OA;kar2023csal
University of Zurich;2025;10.1159/000545338;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000547569;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000547441;FALSE;Gold OA;kar2023csal
University of Zurich;2025;10.1159/000546290;FALSE;Gold OA;kar2023csal
University of Zurich;2025;10.1159/000548354;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000545787;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000546069;FALSE;Gold OA;kar2023csal
University of Zurich;2025;10.1159/000547188;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000547609;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000544043;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000543653;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000546511;FALSE;Gold OA;kar2023csal
University of Zurich;2025;10.1159/000548758;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000549020;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000545320;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000546314;FALSE;Gold OA;kar2023csal
University of Zurich;2025;10.1159/000544126;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000545673;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000546307;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000544718;TRUE;Hybrid;kar2023csal
University of Zurich;2025;10.1159/000548154;TRUE;Hybrid;kar2023csal
