institution;period;doi;is hybrid;agreement;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2023;10.1038/s41558-023-01615-6;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41586-023-05724-2;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41586-023-05794-2;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41593-023-01281-z;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41551-023-01017-1;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41557-023-01163-8;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41560-023-01247-2;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41929-023-00947-y;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41560-023-01249-0;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41566-023-01198-w;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41586-023-05993-x;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41586-023-06031-6;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41567-023-02033-3;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41586-023-06018-3;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41586-023-06094-5;TRUE;Swiss Consortium Nature Transformative agreement;
École Polytechnique Fédérale de Lausanne;2023;10.1038/s41593-023-01341-4;TRUE;Swiss Consortium Nature Transformative agreement;
Empa - Swiss Federal Laboratories for Materials Science and Technology;2023;10.1038/s44221-023-00090-9;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41586-022-05628-7;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s44160-022-00228-9;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41559-022-01979-6;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41564-022-01317-3;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41567-022-01921-4;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41567-023-01946-3;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41561-023-01126-1;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41588-023-01327-9;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41566-023-01161-9;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41567-023-01956-1;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41893-022-01054-9;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41564-023-01341-x;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41589-023-01281-x;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41562-023-01538-4;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s42256-023-00639-z;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s43018-023-00544-9;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41566-023-01207-y;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41559-023-02037-5;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41586-023-05885-0;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41594-023-00990-0;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s43016-023-00749-2;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s42255-023-00802-1;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s43016-023-00751-8;TRUE;Swiss Consortium Nature Transformative agreement;
ETH Zurich;2023;10.1038/s41586-023-06056-x;TRUE;Swiss Consortium Nature Transformative agreement;
PSI - Paul Scherrer Institute;2023;10.1038/s41586-023-05863-6;TRUE;Swiss Consortium Nature Transformative agreement;
PSI - Paul Scherrer Institute;2023;10.1038/s41586-023-06016-5;TRUE;Swiss Consortium Nature Transformative agreement;
Università della Svizzera italiana;2023;10.1038/s41590-023-01445-w;TRUE;Swiss Consortium Nature Transformative agreement;
University of Basel;2023;10.1038/s41567-023-01997-6;TRUE;Swiss Consortium Nature Transformative agreement;
University of Basel;2023;10.1038/s41557-023-01174-5;TRUE;Swiss Consortium Nature Transformative agreement;
University of Basel;2023;10.1038/s41586-023-05991-z;TRUE;Swiss Consortium Nature Transformative agreement;
University of Basel;2023;10.1038/s41587-023-01747-2;TRUE;Swiss Consortium Nature Transformative agreement;
University of Bern;2023;10.1038/s41561-023-01125-2;TRUE;Swiss Consortium Nature Transformative agreement;
University of Bern;2023;10.1038/s41477-023-01354-8;TRUE;Swiss Consortium Nature Transformative agreement;
University of Bern;2023;10.1038/s41561-023-01140-3;TRUE;Swiss Consortium Nature Transformative agreement;
University of Geneva;2023;10.1038/s41594-022-00912-6;TRUE;Swiss Consortium Nature Transformative agreement;
University of Geneva;2023;10.1038/s41566-023-01168-2;TRUE;Swiss Consortium Nature Transformative agreement;
University of Geneva;2023;10.1038/s42256-023-00620-w;TRUE;Swiss Consortium Nature Transformative agreement;
University of Geneva;2023;10.1038/s41563-023-01498-0;TRUE;Swiss Consortium Nature Transformative agreement;
University of Geneva;2023;10.1038/s41586-023-05751-z;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s41590-023-01430-3;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s41562-022-01500-w;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s41594-023-00956-2;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s41551-023-01013-5;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s41587-023-01753-4;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s41590-023-01477-2;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s41562-023-01579-9;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s43018-023-00548-5;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s42255-023-00774-2;TRUE;Swiss Consortium Nature Transformative agreement;
University of Lausanne;2023;10.1038/s43018-023-00566-3;TRUE;Swiss Consortium Nature Transformative agreement;
University of Neuchatel;2023;10.1038/s41586-023-06086-5;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s42255-022-00720-8;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s43587-023-00370-9;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s41594-023-00928-6;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s41594-023-00932-w;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s41587-023-01717-8;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s41561-023-01142-1;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s43016-023-00729-6;TRUE;Swiss Consortium Nature Transformative agreement;
University of Zurich;2023;10.1038/s41590-023-01499-w;TRUE;Swiss Consortium Nature Transformative agreement;
