institution;doi;is_hybrid;agreement
Agroscope;10.1021/acs.jafc.4c02626;TRUE;Swiss Consortium ACS agreement
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.estlett.3c00865;TRUE;Swiss Consortium ACS agreement
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.est.4c00968;TRUE;Swiss Consortium ACS agreement
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.est.4c02242;TRUE;Swiss Consortium ACS agreement
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.est.3c07461;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.jcim.4c00104;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsnano.3c11885;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.jpclett.4c01175;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/jacsau.4c00066;FALSE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsphotonics.4c00082;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsami.4c04706;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsami.4c04705;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsengineeringau.4c00015;FALSE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.jpcc.4c03469;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acschemneuro.4c00091;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.macromol.3c02514;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsami.4c11813;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/jacs.4c01890;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/jacs.4c10996;TRUE;Swiss Consortium ACS agreement
