Institution name;APC Payment Year;DOI;article_is_hybrid;agreement
University of Basel;2022;;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1475-7516/2022/08/076;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1741-4326/ac8b20;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1361-6595/ac7541;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1361-6560/ac58db;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1361-6560/ac840d;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1475-7516/2022/05/021;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1475-7516/2022/12/020;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/2515-7620/ac9516;FALSE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1748-9326/ac8e1e;FALSE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1361-6560/ac96c6;TRUE;Swiss Consortium IOP agreement
University of Basel;2022;10.1088/1748-9326/ac81af;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac7342;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1752-7163/acab79;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-665X/ac6afa;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac84f2;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1475-7516/2022/12/013;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1741-2552/ac59a2;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac8ec2;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac82fe;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6455/ac7598;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1752-7163/ac894e;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1758-5090/ac6b58;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-665X/aca5d6;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6501/ac8892;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/2516-1083/ac7936;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6463/ac6cb5;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6463/ac82fa;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1367-2630/ac8a0b;FALSE;Swiss Consortium IOP agreement
