institution;period;doi;is_hybrid;agreement
École Polytechnique Fédérale de Lausanne;2021;10.1017/jfm.2021.1108;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2021;10.1017/jlg.2021.12;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/S0962492922000058;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/S0963180122000445;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1112/S0010437X22007394;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/flo.2022.5;FALSE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/flo.2022.9;FALSE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.275;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.299;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.310;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.381;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.440;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.443;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.600;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.664;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.698;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.800;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.876;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/jfm.2022.902;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/S0022377822000344;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/S002237782200054X;TRUE;Swiss Consortium CUP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1017/nmj.2022.32;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/wtc.2022.29;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/jfm.2022.992;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/S001708952200012X;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/jog.2022.4;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/jfm.2022.345;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/S0305004122000147;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/fms.2022.42;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/wtc.2022.31;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/S0963548322000268;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/S0963548322000116;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/dsj.2022.8;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/jfm.2022.1048;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/eds.2022.19;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.4153/S0008439522000625;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/jfm.2022.548;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/jfm.2022.614;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/fms.2022.85;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/nws.2022.37;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/flo.2022.32;FALSE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/jfm.2022.762;TRUE;Swiss Consortium CUP agreement
ETH Zurich;2022;10.1017/S0963548322000013;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2021;10.1017/S0165115321000395;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S000197202200033X;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/ajil.2022.20;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/ajil.2022.59;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S2044251322000066;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S2044251322000558;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/eis.2022.2;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/glj.2022.24;FALSE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S0022050722000134;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S0022278X22000180;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/lap.2022.27;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S0922156522000541;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S0922156522000644;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S0260210522000146;TRUE;Swiss Consortium CUP agreement
Graduate Institute of International and Development Studies;2022;10.1017/S026021052200016X;TRUE;Swiss Consortium CUP agreement
OST University of Applied Science of Eastern Switzerland;2022;10.1017/jfm.2022.319;TRUE;Swiss Consortium CUP agreement
University of Applied Sciences and Arts Northwestern Switzerland;2021;10.1017/S1366728921001103;TRUE;Swiss Consortium CUP agreement
University of Applied Sciences and Arts Northwestern Switzerland;2022;10.1017/alj.2022.4;TRUE;Swiss Consortium CUP agreement
University of Applied Sciences and Arts Western Switzerland;2022;10.1017/S0266462322003221;TRUE;Swiss Consortium CUP agreement
University of Applied Sciences and Arts Western Switzerland;2022;10.1017/jwe.2022.18;TRUE;Swiss Consortium CUP agreement
University of Applied Sciences and Arts Western Switzerland;2022;10.1017/S1368980022002361;FALSE;Swiss Consortium CUP agreement
University of Basel;2021;10.1017/S0272263121000917;TRUE;Swiss Consortium CUP agreement
University of Basel;2021;10.1017/S0963180121000499;TRUE;Swiss Consortium CUP agreement
University of Basel;2022;10.1017/ash.2022.252;FALSE;Swiss Consortium CUP agreement
University of Basel;2022;10.1017/S1755773922000492;TRUE;Swiss Consortium CUP agreement
University of Basel;2022;10.1192/j.eurpsy.2022.30;FALSE;Swiss Consortium CUP agreement
University of Basel;2022;10.1017/gmh.2022.28;FALSE;Swiss Consortium CUP agreement
University of Basel;2022;10.1017/S0047404522000379;TRUE;Swiss Consortium CUP agreement
University of Basel;2022;10.1017/S0001972022000055;TRUE;Swiss Consortium CUP agreement
University of Basel;2022;10.1017/S2045796021000676;FALSE;Swiss Consortium CUP agreement
University of Fribourg;2022;10.4153/S000843952200025X;TRUE;Swiss Consortium CUP agreement
