institution;period;doi;is_hybrid;agreement
Universit… della Svizzera italiana;2024;10.1145/3656430;FALSE;Swiss Consortium ACM agreement
Universit… della Svizzera italiana;2024;10.1145/3663675;TRUE;Swiss Consortium ACM agreement
Universit… della Svizzera italiana;2024;10.1145/3650041;TRUE;Swiss Consortium ACM agreement
Universit… della Svizzera italiana;2024;10.1145/3681781;TRUE;Swiss Consortium ACM agreement
University of Applied Sciences of the Grisons;2024;10.1145/3655611;TRUE;Swiss Consortium ACM agreement
University of Bern;2024;10.1145/3687992;TRUE;Swiss Consortium ACM agreement
University of Fribourg;2024;10.1145/3665332;FALSE;Swiss Consortium ACM agreement
University of Geneva;2024;10.1145/3689214;FALSE;Swiss Consortium ACM agreement
University of Lausanne;2024;10.1145/3645091;TRUE;Swiss Consortium ACM agreement
University of Lausanne;2024;10.1145/3664201;TRUE;Swiss Consortium ACM agreement
University of Lausanne;2024;10.1145/3687028;TRUE;Swiss Consortium ACM agreement
University of St.Gallen;2024;10.1145/3656408;FALSE;Swiss Consortium ACM agreement
University of St.Gallen;2024;10.1145/3655599;TRUE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3660795;FALSE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3637423;TRUE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3686944;TRUE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3651142;TRUE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3678881;TRUE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3651597;TRUE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3695837;TRUE;Swiss Consortium ACM agreement
University of Zurich;2024;10.1145/3677613;TRUE;Swiss Consortium ACM agreement
ZHAW Zurich University of Applied Sciences;2024;10.1145/3643768;FALSE;Swiss Consortium ACM agreement
Zurich University of the Arts;2024;10.1145/3664208;TRUE;Swiss Consortium ACM agreement
