Institution name;APC Payment Year;DOI;article_is_hybrid;agreement
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2024;10.1038/s41893-024-01319-5;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s42256-023-00788-1;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41586-023-06997-3;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41563-024-01819-x;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41557-024-01462-8;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41586-024-07112-w;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41561-024-01393-6;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41586-024-07228-z;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41893-024-01298-7;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41928-024-01137-9;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41567-024-02435-x;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s42256-024-00815-9;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41586-024-07330-2;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s42256-024-00832-8;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41586-024-07369-1;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41591-024-02940-9;TRUE;Swiss Consortium Nature Transformative agreement
École Polytechnique Fédérale de Lausanne;2024;10.1038/s41557-024-01535-8;TRUE;Swiss Consortium Nature Transformative agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1038/s44221-023-00191-5;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41567-023-02377-w;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41586-023-07001-8;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41589-023-01532-x;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41564-024-01611-2;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s44221-024-00194-w;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41562-024-01820-z;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41550-024-02212-z;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41565-024-01609-1;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41586-024-07110-y;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41589-024-01568-7;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41567-024-02405-3;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41589-024-01573-w;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41557-024-01467-3;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41586-024-07111-x;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41564-024-01634-9;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s43016-024-00945-8;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41592-024-02211-y;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41557-024-01500-5;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41556-024-01386-y;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41558-024-01954-y;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s43588-024-00620-9;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41558-024-01989-1;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41558-024-01990-8;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41567-024-02483-3;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41929-024-01137-0;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41565-024-01657-7;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41593-024-01648-w;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s43016-024-00967-2;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41592-024-02277-8;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s44221-024-00248-z;TRUE;Swiss Consortium Nature Transformative agreement
ETH Zurich;2024;10.1038/s41593-024-01652-0;TRUE;Swiss Consortium Nature Transformative agreement
PSI - Paul Scherrer Institute;2024;10.1038/s41561-023-01366-1;TRUE;Swiss Consortium Nature Transformative agreement
PSI - Paul Scherrer Institute;2024;10.1038/s41586-024-07085-w;TRUE;Swiss Consortium Nature Transformative agreement
PSI - Paul Scherrer Institute;2024;10.1038/s41557-024-01523-y;TRUE;Swiss Consortium Nature Transformative agreement
University of Basel;2024;10.1038/s41557-024-01482-4;TRUE;Swiss Consortium Nature Transformative agreement
University of Basel;2024;10.1038/s41593-024-01597-4;TRUE;Swiss Consortium Nature Transformative agreement
University of Basel;2024;10.1038/s41586-024-07317-z;TRUE;Swiss Consortium Nature Transformative agreement
University of Basel;2024;10.1038/s41567-024-02481-5;TRUE;Swiss Consortium Nature Transformative agreement
University of Basel;2024;10.1038/s41586-024-07456-3;TRUE;Swiss Consortium Nature Transformative agreement
University of Bern;2024;10.1038/s41550-024-02200-3;TRUE;Swiss Consortium Nature Transformative agreement
University of Bern;2024;10.1038/s41550-024-02248-1;TRUE;Swiss Consortium Nature Transformative agreement
University of Bern;2024;10.1038/s41561-024-01457-7;TRUE;Swiss Consortium Nature Transformative agreement
University of Fribourg;2024;10.1038/s41557-024-01508-x;TRUE;Swiss Consortium Nature Transformative agreement
University of Geneva;2024;10.1038/s41561-024-01390-9;TRUE;Swiss Consortium Nature Transformative agreement
University of Geneva;2024;10.1038/s41593-024-01607-5;TRUE;Swiss Consortium Nature Transformative agreement
University of Geneva;2024;10.1038/s41586-024-07217-2;TRUE;Swiss Consortium Nature Transformative agreement
University of Geneva;2024;10.1038/s41587-024-02209-z;TRUE;Swiss Consortium Nature Transformative agreement
University of Geneva;2024;10.1038/s41586-024-07440-x;TRUE;Swiss Consortium Nature Transformative agreement
University of Lausanne;2024;10.1038/s41559-024-02331-w;TRUE;Swiss Consortium Nature Transformative agreement
University of Lausanne;2024;10.1038/s41587-024-02147-w;TRUE;Swiss Consortium Nature Transformative agreement
University of Lausanne;2024;10.1038/s41556-024-01389-9;TRUE;Swiss Consortium Nature Transformative agreement
University of Lausanne;2024;10.1038/s41586-024-07352-w;TRUE;Swiss Consortium Nature Transformative agreement
University of Lausanne;2024;10.1038/s41587-024-02232-0;TRUE;Swiss Consortium Nature Transformative agreement
University of Lausanne;2024;10.1038/s43588-024-00630-7;TRUE;Swiss Consortium Nature Transformative agreement
University of Zurich;2024;10.1038/s41593-023-01558-3;TRUE;Swiss Consortium Nature Transformative agreement
University of Zurich;2024;10.1038/s42256-024-00790-1;TRUE;Swiss Consortium Nature Transformative agreement
University of Zurich;2024;10.1038/s41586-024-07042-7;TRUE;Swiss Consortium Nature Transformative agreement
University of Zurich;2024;10.1038/s41590-024-01755-7;TRUE;Swiss Consortium Nature Transformative agreement
University of Zurich;2024;10.1038/s41586-024-07077-w;TRUE;Swiss Consortium Nature Transformative agreement
