Institute Name;APC Payment Year;DOI;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN(s);Journal ISSN print;Journal ISSN electronic;journal_issn_l ;Article License;agreement
Agroscope;2020;10.1016/j.wace.2020.100281;FALSE;Full;Elsevier;Weather and Climate Extremes;;;2212-0947;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
Bern University of Applied Sciences;2020;10.1016/j.jaridenv.2022.104877;TRUE;Hybrid;Elsevier;Journal of Arid Environments;;;0140-1963;;CC BY;Swiss Consortium Elsevier agreement
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jocm.2022.100354;TRUE;Hybrid;Elsevier;Journal of Choice Modelling;;;1755-5345;;CC BY;Swiss Consortium Elsevier agreement
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.nme.2020.100839;FALSE;Full;Elsevier;Nuclear Materials and Energy;;;2352-1791;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.ememar.2022.100909;TRUE;Hybrid;Elsevier;Emerging Markets Review;;;1566-0141;;CC BY;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.worlddev.2022.105968;TRUE;Hybrid;Elsevier;World Development;;;0305-750X;;CC BY-NC;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.jctb.2022.01.003;TRUE;Hybrid;Elsevier;Journal of Combinatorial Theory, Series B;;;0095-8956;;CC BY;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.jcp.2022.111441;TRUE;Hybrid;Elsevier;Journal of Computational Physics;;;0021-9991;;CC BY;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.tcs.2022.04.042;TRUE;Hybrid;Elsevier;Theoretical Computer Science;;;0304-3975;;CC BY;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.geb.2022.04.005;TRUE;Hybrid;Elsevier;Games and Economic Behavior;;;0899-8256;;CC BY;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.ecoleng.2022.106584;TRUE;Hybrid;Elsevier;Ecological Engineering;;;0925-8574;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.euromechsol.2022.104593;TRUE;Hybrid;Elsevier;European Journal of Mechanics / A Solids;;;0997-7538;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.respol.2022.104585;TRUE;Hybrid;Elsevier;Research Policy;;;0048-7333;;CC BY;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.actamat.2022.118223;TRUE;Hybrid;Elsevier;Acta Materialia;;;1359-6454;;CC BY;Swiss Consortium Elsevier agreement
ETH Zurich;2020;10.1016/j.jrtpm.2022.100320;TRUE;Hybrid;Elsevier;Journal of Rail Transport Planning & Management;;;2210-9706;;CC BY;Swiss Consortium Elsevier agreement
Graduate Institute of International and Development Studies;2020;10.1016/j.labeco.2022.102180;TRUE;Hybrid;Elsevier;Labour Economics;;;0927-5371;;CC BY;Swiss Consortium Elsevier agreement
PSI - Paul Scherrer Institute;2020;10.1016/j.rser.2022.112475;TRUE;Hybrid;Elsevier;Renewable and Sustainable Energy Reviews;;;1364-0321;;CC BY;Swiss Consortium Elsevier agreement
Università della Svizzera italiana;2020;10.1016/j.epsr.2022.108613;TRUE;Hybrid;Elsevier;Electric Power Systems Research;;;0378-7796;;CC BY;Swiss Consortium Elsevier agreement
University of Applied Sciences and Arts Northwestern Switzerland;2020;10.1016/j.engstruct.2022.115144;TRUE;Hybrid;Elsevier;Engineering Structures;;;0141-0296;;CC BY;Swiss Consortium Elsevier agreement
University of Applied Sciences and Arts Western Switzerland;2020;10.1016/j.midw.2022.103357;TRUE;Hybrid;Elsevier;Midwifery;;;0266-6138;;CC BY;Swiss Consortium Elsevier agreement
University of Applied Sciences and Arts Western Switzerland;2020;10.1016/j.jedc.2022.104546;TRUE;Hybrid;Elsevier;Journal of Economic Dynamics and Control;;;0165-1889;;CC BY;Swiss Consortium Elsevier agreement
University of Applied Sciences and Arts Western Switzerland;2020;10.1016/j.jbusres.2022.08.024;TRUE;Hybrid;Elsevier;Journal of Business Research;;;0148-2963;;CC BY;Swiss Consortium Elsevier agreement
University of Applied Sciences and Arts Western Switzerland;2020;10.1016/j.jebo.2023.04.021;TRUE;Hybrid;Elsevier;Journal of Economic Behavior and Organization;;;0167-2681;;CC BY;Swiss Consortium Elsevier agreement
University of Applied Sciences and Arts Western Switzerland;2020;10.1016/j.explore.2020.12.004;TRUE;Hybrid;Elsevier;EXPLORE;;;1550-8307;;CC BY;Swiss Consortium Elsevier agreement
University of Basel;2020;10.1016/j.jcbs.2022.03.011;TRUE;Hybrid;Elsevier;Journal of Contextual Behavioral Science;;;2212-1447;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Basel;2020;10.1016/j.ijscr.2020.09.116;FALSE;Full;Elsevier;International Journal of Surgery Case Reports;;;2210-2612;;CC BY;Swiss Consortium Elsevier agreement
University of Basel;2020;10.1016/j.tra.2023.103582;TRUE;Hybrid;Elsevier;Transportation Research Part A;;;0965-8564;;CC BY;Swiss Consortium Elsevier agreement
University of Basel;2020;10.1016/j.bjps.2022.04.051;TRUE;Hybrid;Elsevier;Journal of Plastic, Reconstructive & Aesthetic Surgery;;;1748-6815;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Basel;2020;10.1016/j.actatropica.2021.106039;TRUE;Hybrid;Elsevier;Acta Tropica;;;0001-706X;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Basel;2020;10.1016/j.mce.2023.111929;TRUE;Hybrid;Elsevier;Molecular and Cellular Endocrinology;;;0303-7207;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.jcp.2021.110165;FALSE;Full;Elsevier;Journal of Computational Physics;;;0021-9991;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.prosdent.2020.12.014;TRUE;Hybrid;Elsevier;The Journal of Prosthetic Dentistry;;;0022-3913;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.ejor.2022.04.009;TRUE;Hybrid;Elsevier;European Journal of Operational Research;;;0377-2217;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.jfbs.2022.100501;TRUE;Hybrid;Elsevier;Journal of Family Business Strategy;;;1877-8585;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.neuroimage.2020.117361;FALSE;Full;Elsevier;NeuroImage;;;1053-8119;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.yjsbx.2020.100038;FALSE;Full;Elsevier;Journal of Structural Biology: X;;;2590-1524;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.jhepr.2020.100145;FALSE;Full;Elsevier;JHEP Reports;;;2589-5559;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1053/j.jfas.2021.11.027;TRUE;Hybrid;Elsevier;The Journal of Foot and Ankle Surgery;;;1067-2516;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.ijindorg.2022.102842;TRUE;Hybrid;Elsevier;International Journal of Industrial Organization;;;0167-7187;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.jet.2023.105616;TRUE;Hybrid;Elsevier;Journal of Economic Theory;;;0022-0531;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.heliyon.2021.e06099;FALSE;Full;Elsevier;Heliyon;;;2405-8440;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.medidd.2021.100081;FALSE;Full;Elsevier;Medicine in Drug Discovery;;;2590-0986;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.nlm.2021.107569;TRUE;Hybrid;Elsevier;Neurobiology of Learning and Memory;;;1074-7427;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.gca.2020.10.026;TRUE;Hybrid;Elsevier;Geochimica et Cosmochimica Acta;;;0016-7037;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.carres.2021.108316;TRUE;Hybrid;Elsevier;Carbohydrate Research;;;0008-6215;;CC BY;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.jcmgh.2021.04.003;FALSE;Full;Elsevier;Cellular and Molecular Gastroenterology and Hepatology;;;2352-345X;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.appdev.2022.101419;TRUE;Hybrid;Elsevier;Journal of Applied Developmental Psychology;;;0193-3973;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Bern;2020;10.1016/j.ejvs.2020.06.008;TRUE;Hybrid;Elsevier;European Journal of Vascular & Endovascular Surgery;;;1078-5884;;CC BY;Swiss Consortium Elsevier agreement
University of Fribourg;2020;10.1016/j.mce.2022.111710;TRUE;Hybrid;Elsevier;Molecular and Cellular Endocrinology;;;0303-7207;;CC BY;Swiss Consortium Elsevier agreement
University of Fribourg;2020;10.1016/j.ijhcs.2022.102837;TRUE;Hybrid;Elsevier;International Journal of Human - Computer Studies;;;1071-5819;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Fribourg;2020;10.1016/j.chb.2022.107270;TRUE;Hybrid;Elsevier;Computers in Human Behavior;;;0747-5632;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Geneva;2020;10.1016/j.rsase.2022.100838;TRUE;Hybrid;Elsevier;Remote Sensing Applications: Society and Environment;;;2352-9385;;CC BY;Swiss Consortium Elsevier agreement
University of Geneva;2020;10.1016/j.nephro.2022.01.005;TRUE;Hybrid;Elsevier;Nephrologie et Thérapeutique;;;1769-7255;;CC BY;Swiss Consortium Elsevier agreement
University of Geneva;2020;10.1016/j.ctim.2020.102590;FALSE;Full;Elsevier;Complementary Therapies in Medicine;;;0965-2299;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Lausanne;2020;10.1016/j.intman.2022.100974;TRUE;Hybrid;Elsevier;Journal of International Management;;;1075-4253;;CC BY;Swiss Consortium Elsevier agreement
University of Lausanne;2020;10.1016/j.jinteco.2022.103709;TRUE;Hybrid;Elsevier;Journal of International Economics;;;0022-1996;;CC BY;Swiss Consortium Elsevier agreement
University of Lausanne;2020;10.1016/j.jinteco.2022.103621;TRUE;Hybrid;Elsevier;Journal of International Economics;;;0022-1996;;CC BY;Swiss Consortium Elsevier agreement
University of Lausanne;2020;10.1016/j.geb.2022.07.001;TRUE;Hybrid;Elsevier;Games and Economic Behavior;;;0899-8256;;CC BY;Swiss Consortium Elsevier agreement
University of Lausanne;2020;10.1016/j.mycmed.2020.101013;TRUE;Hybrid;Elsevier;Journal of Medical Mycology;;;1156-5233;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of Lugano;2020;10.1016/j.jcp.2021.110164;FALSE;Full;Elsevier;Journal of Computational Physics;;;0021-9991;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
University of St Gallen;2020;10.1016/j.ijresmar.2023.04.002;TRUE;Hybrid;Elsevier;International Journal of Research in Marketing;;;0167-8116;;CC BY;Swiss Consortium Elsevier agreement
University of Zurich;2020;10.1016/j.avb.2022.101797;TRUE;Hybrid;Elsevier;Aggression and Violent Behavior;;;1359-1789;;CC BY;Swiss Consortium Elsevier agreement
University of Zurich;2020;10.1016/j.neurobiolaging.2022.06.008;TRUE;Hybrid;Elsevier;Neurobiology of Aging;;;0197-4580;;CC BY;Swiss Consortium Elsevier agreement
ZHAW Zurich University of Applied Sciences;2020;10.1016/j.apergo.2022.103799;TRUE;Hybrid;Elsevier;Applied Ergonomics;;;0003-6870;;CC BY-NC-ND;Swiss Consortium Elsevier agreement
ZHAW Zurich University of Applied Sciences;2020;10.1016/j.jpowsour.2021.230202;TRUE;Hybrid;Elsevier;Journal of Power Sources;;;0378-7753;;CC BY;Swiss Consortium Elsevier agreement
ZHAW Zurich University of Applied Sciences;2020;10.1016/j.fpsl.2022.100893;TRUE;Hybrid;Elsevier;Food Packaging and Shelf Life;;;2214-2894;;CC BY;Swiss Consortium Elsevier agreement
