institution;period;euro;DOI;backlist_oa;publisher;book_title;isbn
Pädagogische Hochschule Zürich;2024;6900,00;https://doi.org/10.5281/zenodo.11034765;;Peter Lang;Das historische Argument. Geschichtsbezuge in Bildungsdaten;978-3-631-89574-0
Pädagogische Hochschule Zürich;2024;550,00;https://doi.org/10.30819/5829;;Logos;Entwicklung und Validierung eines Messinstruments zur Erfassung der Schülerkompetenzen im Bereich des wissenschaftlichen Skizzierens im Fach Chemie in der Sekundarstufe I;978-3-8325-5829-1
Pädagogische Hochschule Zürich;2024;6800,00;https://doi.org/10.3224/84743045;;Budrich;Leistungsbeurteilungen an Hochschulen lernförderlich gestalten: Prüfen, Beurteilen und Rückmelden von Lernleistungen;978-3-8474-3045-2
Pädagogische Hochschule Zürich;2024;2427,60;https://doi.org/10.25932/publishup-60052;;Universitätsverlag Potsdam;Gestaltungsprozesse  im Musikunterricht  anleiten;978-3-86956-567-5 
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
