"institution","period","euro","DOI","backlist_oa","publisher","book_title","isbn"
"Pädagogische Hochschule Zürich",2021,7850,,"FALSE","Beltz","Lesen - Schreiben - Lernen: Prozesse, Strategien und Prinzipien des generativen Lernens",9783407258878
"Pädagogische Hochschule Zürich",2021,6950,,"FALSE","Waxmann","Dokumentarische Methode in der Schulentwicklungsforschung",9783830944232
