"institution","period","euro","doi","is_hybrid","publisher","book_title","isbn"
"Pädagogische Hochschule Zürich",2025,"11,478.60",NA,"TRUE","hep","Schulen im digitalen Wandel","978-3-0355-2960-9"
"Pädagogische Hochschule Zürich",2025,"7,254.06",NA,"TRUE","hep","Herausforderungen für die Berufsbildung in der Schweiz",NA
"Pädagogische Hochschule Zürich",2025,"8,694.32","https://doi.org/10.5281/zenodo.15193984","TRUE","Klinkhardt","Lehrer:in werden. Trajektorien in den Lehrberuf","978-3-7815-6161-8"
"Pädagogische Hochschule Zürich",2025,"6,000.00","https://doi.org/10.5281/zenodo.12737939","TRUE ","Klinkhardt","Professionalität und Professionalisierung von Lehrpersonen","978-3-7815-6043-7"
"Pädagogische Hochschule Zürich",2025,"17,302.22","https://doi.org/10.5281/zenodo.17713508","FALSE","hep","Qualität in Tagesschulen/Tagesstrukturen (QuinTaS)","978-3-0355-2674-5"
"Pädagogische Hochschule Zürich",2025,"15,069.51",NA,"TRUE","hep","Schreiben auf Kurs","978-3-0355-2945-6"
"Pädagogische Hochschule Zürich",2025,"3,958.00","https://doi.org/10.5281/zenodo.15165938","TRUE","oekom","Nachhaltige Entwicklung von Schweizer Hochschulen"," 978-3-98726-458-0"
"Pädagogische Hochschule Zürich",2025,"4,288.40",NA,"TRUE","hep  ","Alltagsgespräche als Bildungschancen im Kindergarten",NA
"Pädagogische Hochschule Zürich",2025,"2,932.31",NA,"TRUE","hep  ","Leadership for Sustainability – Bildung für Nachhaltige Entwicklung in Bildungsorganisationen stärken","978-3-0355-2985-2"
"Pädagogische Hochschule Zürich",2025,"2,897.35","https://doi.org/10.5281/zenodo.17803885","FALSE","Babylonia","Generative AI in foreign language teaching",NA
