Institution;period;currency;apc;doi;is_hybrid;publisher;journal_full_title;issn;license_ref;url
Bern University of Applied Sciences;12.12.2022;GBP;2383.23;10.1177/09589287221141363;TRUE;SAGE;Journal of European Social Policy;0958-9287;CC BY NC;https://journals.sagepub.com/doi/10.1177/09589287221141363
Bern University of Applied Sciences;28.09.2022;USD;3473.33;10.3389/fnins.2022.1019880;FALSE;Frontiers Media;Frontiers in Neuroscience;1662-453X;CC BY;https://doi.org/10.3389/fnins.2022.1019880
Bern University of Applied Sciences;11.05.2022;EUR;3209.46;10.1016/j.ecoleng.2022.106671;TRUE;Elsevier;Ecological Engineering;0925-8574;CC BY NC ND;https://doi.org/10.1016/j.ecoleng.2022.106671
Bern University of Applied Sciences;23.06.2022;CHF;1615.50;10.3390/ma15134506;FALSE;MDPI;Materials;1996-1944;CC BY;https://www.mdpi.com/1996-1944/15/13/4506
Bern University of Applied Sciences;15.06.2022;USD;3177.15;10.3389/fmed.2022.795957;FALSE;Frontiers Media;Frontiers in Medicine;2296-858X;CC BY;https://doi.org/10.3389/fmed.2022.795957
Bern University of Applied Sciences;2022;CHF;2154.00;10.3390/ijerph19127144;FALSE;MDPI;International Journal of Environmental Research and Public Health;1660-4601;CC BY;https://www.mdpi.com/1660-4601/19/12/7144
Bern University of Applied Sciences;2022;GBP;2200.00;10.1177/02690942221104774;TRUE;SAGE;Local Economy: The Journal of the Local Economy Policy Unit;0269-0942;CC BY;https://journals.sagepub.com/doi/full/10.1177/02690942221104774
Bern University of Applied Sciences;05.04.2022;EUR;1507.80;10.14814/phy2.15229;FALSE;John Wiley & Sons;Physiological Reports;2051-817X;CC BY;https://doi.org/10.14814/phy2.15229
Bern University of Applied Sciences;22.04.2022;USD;2681.73;10.3389/fnut.2022.902565;FALSE;Frontiers Research Foundation;Frontiers in Nutrition;2296-861X;CC BY;https://doi.org/10.3389/fnut.2022.902565
Bern University of Applied Sciences;31.01.2022;EUR;1000.00;10.1515/opth-2022-0196;FALSE;De Gruyter;Open Theology;2300-6579;CC BY;https://doi.org/10.1515/opth-2022-0196
Bern University of Applied Sciences;11.02.2022;USD;2681.73;10.3389/fevo.2022.854058;FALSE;Frontiers Media S.A.;Frontiers in Ecology and Evolution;2296-701X;CC BY;https://doi.org/10.3389/fevo.2022.854058
Bern University of Applied Sciences;29.12.2021;EUR;1507.80;10.1002/nop2.1175;FALSE;Wiley-Blackwell;Nursing Open;2054-1058;CC BY NC ND;https://onlinelibrary.wiley.com/doi/10.1002/nop2.1175
Bern University of Applied Sciences;16.02.2022;CHF;1723.20;10.3390/app12052287;FALSE;MDPI;Applied Sciences;2076-3417;CC BY;https://doi.org/10.3390/app12052287
Bern University of Applied Sciences;14.01.2022;USD;2046.30;10.3389/frvir.2022.742509;FALSE;Frontiers Research Foundation;Frontiers in Virtual Reality;2673-4192;CC BY;https://doi.org/10.3389/frvir.2022.742509
Bern University of Applied Sciences;06.01.2022;EUR;2622.50;10.1007/s12054-021-00446-z;TRUE;Springer VS;Sozial Extra;0931-279X;CC BY;https://link.springer.com/article/10.1007/s12054-021-00446-z
