institution;period;;euro;doi;is_hybrid;publisher;journal_full_title;issn;url
Bern University of Applied Sciences;11.12.2017;EUR;2'283.99 €;10.3389/fphar.2017.00942 ;No;Frontiers;Frontiers in Pharmacology;1663-9812;https://www.frontiersin.org/articles/10.3389/fphar.2017.00942/full
Bern University of Applied Sciences;21.09.2017;EUR;2'245.50 €;10.3389/fmicb.2017.01930 ;No;Frontiers;Frontiers in Microbiology;1664-302X;https://www.frontiersin.org/articles/10.3389/fmicb.2017.01930/full
Bern University of Applied Sciences;17.03.2017;EUR;2'960.29 €;10.1016/j.biortech.2017.03.050;No;Elsevier;Bioresource Technology;0960-8524;https://www.sciencedirect.com/science/article/pii/S0960852417303206?via%3Dihub
Bern University of Applied Sciences;17.08.2017;EUR;1'350.00 €;10.5194/esurf-5-451-2017;No;Copernicus GmbH;Earth Surface Dynamics;2196-632X;https://www.earth-surf-dynam.net/5/451/2017/esurf-5-451-2017.pdf
Bern University of Applied Sciences;17.05.2017;EUR;1'233.85 €;10.3390/su9060871;No;MDPI AG;Sustainability;2071-1050;https://www.mdpi.com/2071-1050/9/6/871/htm
Bern University of Applied Sciences;28.02.2017;EUR;1'499.40 €;10.5194/nhess-17-291-2017;No;Copernicus GmbH;Natural Hazards and Earth System Sciences;1684-9981;https://www.nat-hazards-earth-syst-sci.net/17/291/2017/nhess-17-291-2017.pdf
Bern University of Applied Sciences;01.11.2017;EUR;1'364.34 €;10.1186/s12711-017-0358-6;No;Springer Nature;Genetics Selection Evolution;1297-9686;https://gsejournal.biomedcentral.com/track/pdf/10.1186/s12711-017-0358-6?site=gsejournal.biomedcentral.com
Bern University of Applied Sciences;06.07.2017;EUR;2'200.00 €;10.1007/s00421-017-3675-0;Yes;Springer Nature;European Journal of Applied Physiology;1439-6319;https://link.springer.com/content/pdf/10.1007%2Fs00421-017-3675-0.pdf
Bern University of Applied Sciences;25.10.2018;EUR;1'399.05 €;10.1371/journal.pone.0206549;No;Public Library of Science (PLoS);PLOS ONE;1932-6203;https://doi.org/10.1371/journal.pone.0206549
Bern University of Applied Sciences;28.05.2018;EUR;979.47 €;10.3390/su10061792;No;Molecular Diversity Preservation International (MDPI);Sustainability;2071-1050;https://doi.org/10.3390/su10061792
Bern University of Applied Sciences;28.11.2018;EUR;1'545.71 €;10.23880/oajar-16000206;No;Medwin;Open Access Journal of Agricultural Research;2474-8846;https://medwinpublishers.com/OAJAR/OAJAR16000206.pdf
Bern University of Applied Sciences;04.04.2018;EUR;1'281.96 €;10.3390/atmos9040146;No;Molecular Diversity Preservation International (MDPI);Atmosphere;0004-6973;https://doi.org/10.3390/atmos9040146
Bern University of Applied Sciences;01.10.2018;EUR;1'203.00 €;10.1002/nop2.198;No;Wiley;Nursing Open;2054-1058;https://doi.org/10.1002/nop2.198
