Institution;period;currency;apc;DOI;is_hybrid;publisher;journal_full_title;issn;license_ref;URL
Bern University of Applied Sciences;17.11.2023;CHF;1292.4;NA;NA;NA;NA;NA;NA;https://wlf6.org/
Bern University of Applied Sciences;03.11.2023;CHF;861.6;10.3390/higheredu2040039;FALSE;NA;Trends in Higher Education;2813-4346;cc_by;https://www.mdpi.com/
Bern University of Applied Sciences;01.10.2023;CHF;5000;10.1486/9783966052504;NA;Psychiatrie Verlag;NA;NA;cc_by;https://psychiatrie-verlag.de/
Bern University of Applied Sciences;25.07.2023;CHF;1970;10.1038/s41598-023-39113-6;FALSE;Springer Nature;Scientific Reports;2045-2322;cc_by;https://www.nature.com/articles/s41598-023-39113-6
Bern University of Applied Sciences;16.06.2023;CHF;1292.4;10.3390/geosciences13060182;FALSE;Molecular Diversity Preservation International (MDPI);Geosciences;2076-3263;cc_by;https://www.mdpi.com/journal/geosciences
Bern University of Applied Sciences;14.06.2023;CHF;1229.05;10.1155/2023/6103015;FALSE;Hindawi Publishing Corporation;Australian Journal of Grape and Wine Research;1322-7130;cc_by;https://www.hindawi.com/journals/ajgwr/2023/6103015/
Bern University of Applied Sciences;09.05.2023;USD;3177.15;10.3389/fmed.2023.939228;FALSE;Frontiers;Frontiers in Medicine;2296-858X;cc_by;https://www.frontiersin.org/articles/10.3389/fmed.2023.939228/full
Bern University of Applied Sciences;17.04.2023;CHF;2063.66;10.3389/fspor.2023.1083617;FALSE;Frontiers;Frontiers in Sports and Active Living;2624-9367;cc_by;https://www.frontiersin.org/articles/10.3389/fspor.2023.1083617/full
Bern University of Applied Sciences;11.02.2023;CHF;1830.9;10.3390/polym15040912;FALSE;Molecular Diversity Preservation International (MDPI);Polymers;2073-4360;cc_by;https://www.mdpi.com/journal/polymers
Bern University of Applied Sciences;27.01.2023;CHF;1550.88;10.3390/healthcare11030359;FALSE;Molecular Diversity Preservation International (MDPI);Healthcare;2227-9032;cc_by;https://www.mdpi.com/2227-9032/11/3/359
Bern University of Applied Sciences;25.01.2023;EUR;2848.67;10.1186/s12913-023-09040-3;FALSE;Springer Nature, BioMed Central ;BMC Health Services Research;1472-6963;cc_by;https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-023-09040-3
Bern University of Applied Sciences;01.01.2023;CHF;1985;10.2196/47913;FALSE;JMIR Publications;JMIR Human Factors;2292-9495;cc_by;https://humanfactors.jmir.org/2023/1/e47913
Bern University of Applied Sciences;01.01.2023;CHF;1550.88;10.3390/life13061314;FALSE;Molecular Diversity Preservation International (MDPI);Life;2075-1729;cc_by;https://www.mdpi.com/2075-1729/13/6/1314
Bern University of Applied Sciences;01.01.2023;USD;2585;10.1364/BOE.503941;TRUE;Optica;Biomedical Optics Express;2156-7085;NA;https://opg.optica.org/boe/fulltext.cfm?uri=boe-14-12-6328&id=542533
Bern University of Applied Sciences;01.01.2023;USD;3473.33;10.3389/fpubh.2023.1137798;FALSE;Frontiers;Frontiers in Public Health;2296-2565;cc_by;https://www.frontiersin.org/articles/10.3389/fpubh.2023.1137798/full
Bern University of Applied Sciences;01.01.2023;CHF;861.6;10.3390/jpm13101523;FALSE;Molecular Diversity Preservation International (MDPI);Journal of Personalized Medicine;2075-4426;cc_by;https://www.mdpi.com/2075-4426/13/10/1523
Bern University of Applied Sciences;01.01.2023;EUR;2000;10.1055/a-2035-3008;TRUE;Thieme;Methods of Information in Medicine;0026-1270;cc_by_nc_nd;https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2035-3008
Bern University of Applied Sciences;01.01.2023;EUR;7539;10.1007/978-3-031-25397-3;TRUE;Springer Nature;SpringerBriefs in business;NA;cc_by;https://link.springer.com/book/10.1007/978-3-031-25397-3#bibliographic-information
Bern University of Applied Sciences;01.01.2023;EUR;1591.31;10.5772/intechopen.110191;TRUE;IntechOpen;Agricultural Value Chains: Some Selected Issues;NA;cc_by;https://www.intechopen.com/chapters/86940
Bern University of Applied Sciences: Swiss National Science Foundation;01.01.2023;EUR;2000;10.1504/IJEV.2023.10060061;TRUE;Inderscience Publishers;International Journal of Entrepreneurial Venturing;1742-5360;cc_by;https://www.inderscience.com/info/ingeneral/forthcoming.php?jcode=ijev
Bern University of Applied Sciences;01.01.2023;CHF;1800;10.2196/41399;FALSE;JMIR Publications;JMIR Research Protocols;1929-0748;cc_by;https://www.researchprotocols.org/
Bern University of Applied Sciences;01.01.2023;EUR;2525.57;10.1186/s12938-023-01071-5;FALSE;Springer Nature;BioMedical Engineering OnLine;1475-925X;cc_by;https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-023-01071-5
Bern University of Applied Sciences;01.01.2023;EUR;2525.57;10.1186/s12909-023-04556-y;FALSE;Springer Nature;BMC Medical Education;1472-6920;cc_by;https://bmcmededuc.biomedcentral.com/articles/10.1186/s12909-023-04556-y
Bern University of Applied Sciences;01.01.2023;USD;2240.16;10.3389/ffgc.2023.1223934;FALSE;Frontiers;Frontiers in Forests and Global Change;2624-893X;cc_by;https://www.frontiersin.org/articles/10.3389/ffgc.2023.1223934/full
Bern University of Applied Sciences;01.01.2023;EUR;4000;10.31244/9783830997641.12;TRUE;Waxmann;44. Jahresband des Arbeitskreises Musikpädagogische Forschung;0937-3993;cc_by_nc_sa;https://www.waxmann.com/ampf-44/
Bern University of Applied Sciences;01.01.2023;EUR;1987.07;10.1186/s40795-023-00671-7;FALSE;Springer Nature, BioMed Central;BMC Nutrition;2055-0928;cc_by;https://bmcnutr.biomedcentral.com/articles/10.1186/s40795-023-00671-7
Bern University of Applied Sciences;01.01.2023;CHF;1550.88;10.3390/life13051145;FALSE;Molecular Diversity Preservation International (MDPI);Life;2075-1729;cc_by;https://doi.org/10.3390/life13051145
Bern University of Applied Sciences;01.01.2023;USD;1805;10.1371/journal.pone.0280388;FALSE;Public Library of Science (PLoS);PLoS ONE;1932-6203;cc_by;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0280388
