Institution;period;currency;apc;doi;is_hybrid;publisher;journal_full_title;issn;license_ref;url
Bern University of Applied Sciences;31.08.2020;EUR;1'600.55;10.3390/nu12092595;FALSE;MDPI AG;Nutrients;2072-6643;CC BY;https://www.mdpi.com/2072-6643/12/9/2595
Bern University of Applied Sciences;07.08.2020;EUR;1'527.16;10.3390/su12166412;FALSE;MDPI AG;Sustainability;2071-1050;CC BY;https://www.mdpi.com/2071-1050/12/16/6412
Bern University of Applied Sciences;18.05.2020;EUR;1'740.08;10.3390/ma13102360;FALSE;MDPI AG;Materials;1996-1944;CC BY;https://www.mdpi.com/1996-1944/13/10/2360
Bern University of Applied Sciences;14.02.2020;EUR;2'337.09;10.1186/s12978-020-0882-7;FALSE;Springer Nature, BioMed Central;Reproductive Health;1742-4755;CC BY;https://reproductive-health-journal.biomedcentral.com/articles/10.1186/s12978-020-0882-7
Bern University of Applied Sciences;11.03.2020;EUR;1'802.60;10.3389/fnut.2020.00037;FALSE;Frontiers Media;Frontiers in nutrition;2296-861X;CC BY;https://www.frontiersin.org/articles/10.3389/fnut.2020.00037/full
Bern University of Applied Sciences;12.07.2020;EUR;1'499.65;10.1371/journal.pone.0244097;FALSE;Public Library of Science (PLoS);PLoS ONE;1932-6203;CC BY;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244097
Bern University of Applied Sciences;15.04.2020;EUR;3'532.56;10.1016/j.agee.2020.106963;TRUE;Elsevier;Agriculture, Ecosystems & Environment;0167-8809;CC BY NC ND;https://www.sciencedirect.com/science/article/pii/S0167880920301481
Bern University of Applied Sciences;26.06.2020;EUR;1'120.00;10.1016/j.techfore.2020.120177;TRUE;Elsevier;Technological Forecasting & Social Change;1873-5509;CC BY;https://doi.org/10.1016/j.techfore.2020.120177
Bern University of Applied Sciences;20.07.2020;EUR;506.19;10.1016/j.wdp.2020.100237;TRUE;Elsevier;World Development Perspectives;2452-2929;CC BY NC ND;https://www.sciencedirect.com/science/article/pii/S2452292920300576#!
Bern University of Applied Sciences;10.07.2020;EUR;1'550.39;10.3390/en13143653;FALSE;MDPI AG;Energies;1996-1073;CC BY;https://www.mdpi.com/1996-1073/13/14/3653
Bern University of Applied Sciences;03.07.2020;EUR;1'250.00;10.3233/THC-202392;TRUE;IOS Press;Technology and Health Care;1878-7401;CC BY NC;https://content.iospress.com/articles/technology-and-health-care/thc202392
Bern University of Applied Sciences;19.05.2020;EUR;3'295.62;10.1007/s00253-020-10595-y;TRUE;Springer Nature;Applied Microbiology and Biotechnology;1432-0614;CC BY;https://link.springer.com/article/10.1007/s00253-020-10595-y
Bern University of Applied Sciences;17.05.2020;EUR;1'485.04;10.3390/f11030345;FALSE;MDPI AG;Forests;1999-4907;CC BY;https://www.mdpi.com/1999-4907/11/3/345
Bern University of Applied Sciences;19.03.2020;EUR;1'560.75;10.3390/w12030893;FALSE;MDPI AG;Water;2073-4441;CC BY;https://www.mdpi.com/2073-4441/12/3/893
Bern University of Applied Sciences;30.12.2019;EUR;1'176.14;10.3390/app10020593;FALSE;MDPI AG;Applied Sciences;2076-3417;CC BY;https://www.mdpi.com/2076-3417/10/2/593
