"Institution","period","currency","apc","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","url","euro"
"Bern University of Applied Sciences","2025-11-20","EUR","2643.05","10.1038/s41598-025-24890-z","FALSE","Springer","Scientific reports","2045-2322","CC BY-NC-ND","https://www.nature.com/articles/s41598-025-24890-z","2643.05"
"Bern University of Applied Sciences","2025-04-03","USD","2297.13","10.3389/fspor.2025.1387934","FALSE","Frontiers","Frontiers in Sports and Active Living","2624-9367","CC BY","https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2025.1387934/full","2070.05"
"Bern University of Applied Sciences","2025-02-05","EUR","1925","10.5194/nhess-25-467-2025","FALSE","Compernicus","Natural Hazards and Earth System Sciences","1561-8633","CC BY","https://nhess.copernicus.org/articles/25/467/2025/","1925"
"Bern University of Applied Sciences","2025-01-15","EUR","3124.09","10.1186/s12913-025-12251-5","FALSE","Springer Nature","BMC Health Service Research","1472-6963","CC BY-NC-ND","https://link.springer.com/article/10.1186/s12913-025-12251-5","3124.09"
"Bern University of Applied Sciences","2025-04-08","EUR","1826.89","10.1186/s44247-025-00149-5","FALSE","Springer Nature","BMC Digital Health","2731-684X","CC BY-NC-ND","https://link.springer.com/article/10.1186/s44247-025-00149-5","1826.89"
"Bern University of Applied Sciences","2025-11-10","USD","2300","10.2196/70753","FALSE","JMIR Publications","JMIR medical informatics","2291-9694","CC BY","https://medinform.jmir.org/2025/1/e70753","1987.73"
"Bern University of Applied Sciences","2025-11-27","USD","3350","10.2196/79449","FALSE","JMIR Publications","Journal of medical Internet research","1439-4456","CC BY","https://www.jmir.org/2025/1/e79449","2891.42"
"Bern University of Applied Sciences","2025-03-14","CHF","2486.3","10.3389/ijph.2025.1608014","FALSE","Frontiers","International Journal of Public Health","1661-8556","CC BY","https://www.ssph-journal.org/journals/international-journal-of-public-health/articles/10.3389/ijph.2025.1608014/full","2578.88"
"Bern University of Applied Sciences","2025-08-25","USD","3370.5","10.2196/63573","FALSE","JMIR Publications","JMIR mHealth and uHealth","2291-5222","CC BY","https://mhealth.jmir.org/2025/1/e63573","2881.51"
"Bern University of Applied Sciences","2025-10-15","CHF","2248.48","10.3390/ma18204719","FALSE","MDPI","Materials","1996-1944","CC BY","https://www.mdpi.com/1996-1944/18/20/4719","2416.42"
"Bern University of Applied Sciences","2025-11-18","CHF","2248.48","10.3390/s25227040","FALSE","MDPI","Sensors","1424-8220 ","CC BY","https://www.mdpi.com/1424-8220/25/22/7040","2435.26"
"Bern University of Applied Sciences","2025-03-26","CHF","2334.96","10.3390/bios15040214","FALSE","MDPI","Biosensors","2079-6374","CC BY","https://www.mdpi.com/2079-6374/15/4/214","2449.6"
"Bern University of Applied Sciences","2025-08-13","EUR","3713.67","10.1093/ptj/pzaf097","TRUE","Oxford Academic","PTJ: Physical Therapy & Rehabilitation Journal","1538-6724","CC BY","https://academic.oup.com/ptj/article/105/9/pzaf097/8233084?login=true","3713.67"
"Bern University of Applied Sciences","2025-11-30","USD","1900","10.2196/78339","FALSE","JMIR Publications","JMIR Research Protocols","1929-0748","CC BY","https://www.researchprotocols.org/2026/1/e78339/PDF","1631.46"
"Bern University of Applied Sciences","2025-10-27","EUR","2859.25","10.1186/s12904-025-01912-1","FALSE","BioMed Central (United Kingdom)","BMC Palliative Care","1472-684X","CC BY-NC-ND","https://link.springer.com/article/10.1186/s12904-025-01912-1","2859.25"
"Bern University of Applied Sciences","2025-09-15","USD","1900","10.2196/76776","FALSE","JMIR Publications","JMIR Research Protocols","1929-0748","CC BY","https://www.researchprotocols.org/2025/1/e76776","1614.82"
"Bern University of Applied Sciences","2025-03-19","CHF","2075.52","10.3390/children12030382","FALSE","MDPI","Children","2227-9067","CC BY","https://www.mdpi.com/2227-9067/12/3/382","2165.84"
"Bern University of Applied Sciences","2025-10-02","EUR","2799.79","10.1186/S12909-025-07903-3","FALSE","Springer","BMC Medical Education","1472-6920","CC BY NC-ND","https://link.springer.com/article/10.1186/s12909-025-07903-3","2799.79"
"Bern University of Applied Sciences","2025-04-04","USD","1931","10.1371/journal.pone.0293773","FALSE","PLoS","PLoS ONE","1932-6203","CC BY","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0293773","1746.4"
