Institution;period;currency;apc;doi;is_hybrid;publisher;journal_full_title;issn;license_ref;url
Bern University of Applied Sciences;15.11.2021;EUR;1740.98;10.1167/tvst.10.10.17;FALSE;ARVO;Translational Vision Science & Technology Special Issue;2164-2591;CC BY NC ND;https://tvst.arvojournals.org/article.aspx?articleid=2778113
Bern University of Applied Sciences;22.11.2021;EUR;1561.54;10.3390/su132212931;FALSE;MDPI;Sustainability;2071-1050;CC BY;https://doi.org/10.3390/su132212931
Bern University of Applied Sciences;21.10.2021;EUR;1757.54;10.3389/fresc.2021.720182;FALSE;Frontiers;Frontiers in Rehabilitation Sciences;2673-6861;CC BY;https://www.frontiersin.org/articles/10.3389/fresc.2021.720182/full
Bern University of Applied Sciences;20.10.2021;EUR;2728.63;10.3389/fbioe.2021.769117;FALSE;Frontiers;Frontiers in Bioengineering and Biotechnology;2296-4185;CC BY;https://www.frontiersin.org/articles/10.3389/fbioe.2021.769117/full
Bern University of Applied Sciences;15.08.2021;EUR;1515.64;10.3390/su13179615;FALSE;MDPI;Sustainability;2071-1050;CC BY;https://www.mdpi.com/2071-1050/13/17/9615
Bern University of Applied Sciences;26.03.2021;EUR;991.316;10.26904/RF-136-1503066798;FALSE;Research Publishing International;Research Features Magazine;2399-1542;CC BY;https://researchfeatures.com/wp-content/uploads/2021/08/Ingrid-Fromm.pdf
Bern University of Applied Sciences;08.04.2021;EUR;1042.66;10.3389/fdata.2021.625290;FALSE;Frontiers;Frontiers in Big Data;2624-909X;CC BY;https://www.frontiersin.org/articles/10.3389/fdata.2021.625290/full
Bern University of Applied Sciences;08.04.2021;EUR;2674.65;10.3389/fnbot.2021.651177;FALSE;Frontiers;Frontiers in Neurorobotics;1662-5218;CC BY;https://www.frontiersin.org/articles/10.3389/fnbot.2021.651177/full
Bern University of Applied Sciences;22.04.2021;EUR;1367.28;10.3390/buildings11050181;FALSE;MDPI;Buildings 2021;0007-3725;CC BY;https://doi.org/10.3390/buildings11050181
Bern University of Applied Sciences;15.03.2021;EUR;2657.33;10.2147/JMDH.S303988;FALSE;Dove Medical Press;Journal of Multidisciplinary Healthcare;1178-2390;CC BY NC;http://www.dovepress.com/journal-of-multidisciplinary-healthcare-journal
Bern University of Applied Sciences;07.04.2021;EUR;2'396.33;10.1186/s12913-021-06362-y;FALSE;Springer Nature, BioMed Central;BMC Health Services Research;1472-6963;CC BY;https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-021-06362-y
Bern University of Applied Sciences;08.06.2021;EUR;1771.88;10.3390/app11125535;FALSE;MDPI;Applied Sciences;2076-3417;CC BY;https://doi.org/10.3390/app11125535
Bern University of Applied Sciences;09.06.2021;EUR;591.45;10.3390/ma14123331;FALSE;MDPI;Materials;1996-1944;CC BY;https://doi.org/10.3390/ma14123331
Bern University of Applied Sciences;03.11.2021;EUR;1547.61;10.3390/su132212372;FALSE;MDPI;Sustainability;2071-1050;CC BY;https://www.mdpi.com/2071-1050/13/22/12372
Bern University of Applied Sciences;17.09.2021;EUR;1561.72;10.2196/31408;FALSE;JMIR Publications;JMIR Mental Health;2368-7959;CC BY;https://mental.jmir.org/2021/11/e31408
Bern University of Applied Sciences;01.06.2021;EUR;1569.23;10.3390/foods10061273;FALSE;MDPI;Foods;2304-8158;CC BY;https://www.mdpi.com/2304-8158/10/6/1273
Bern University of Applied Sciences;21.01.2021;EUR;488.62;10.5897/JAERD2020.1151;FALSE;Academic Journals;Journal of agricultural extension and rural development;2141-2170;CC BY;https://doi.org/10.5897/jaerd2020.1151
Bern University of Applied Sciences;03.03.2021;EUR;901.45;10.5194/amt-14-1733-2021;FALSE;Copernicus;Atmospheric Measurement Techniques;1867-8548;CC BY;https://amt.copernicus.org/articles/14/1733/2021/
Bern University of Applied Sciences;23.09.2021;EUR;1'968.22;10.1111/ijsw.12514;TRUE;Wiley;International Journal of Social Welfare;1369-6866;CC BY NC;https://onlinelibrary.wiley.com/doi/full/10.1111/ijsw.12514
Bern University of Applied Sciences;16.08.2021;EUR;912.98;10.1002/jeq2.20272;TRUE;Wiley;Journal of Environmental Quality;0047-2425;CC BY NC ND;https://acsess.onlinelibrary.wiley.com/doi/10.1002/jeq2.20272
Bern University of Applied Sciences;26.12.2021;EUR;1491.02;10.3390/f12091191;FALSE;MDPI;Forests;1999-4907;CC BY;https://www.mdpi.com/1999-4907/12/9/1191
Bern University of Applied Sciences;23.10.2020;EUR;11'416.20;10.1007/978-3-658-32323-3_1;FALSE;Springer Nature;Digital Business;#NV;CC BY;https://link.springer.com/chapter/10.1007/978-3-658-32323-3_1
Bern University of Applied Sciences;07.06.2021;EUR;1'417.52;10.3390/f12060815;FALSE;MDPI;Forests;1999-4907;CC BY;https://www.mdpi.com/1999-4907/12/6/815
