institution;period;euro;DOI;is_hybrid;
Fraunhofer-Gesellschaft;2017;853,60  ;10.15406/aaoaj.2017.01.00021;FALSE;
Fraunhofer-Gesellschaft;2018;895,31  ;10.3390/su10010130;FALSE;
Fraunhofer-Gesellschaft;2018;1.305,00  ;10.1038/s41598-017-18382-y;FALSE;
Fraunhofer-Gesellschaft;2017;905,92  ;10.3390/en10111904;FALSE;
Fraunhofer-Gesellschaft;2017;1.543,74  ;10.3390/s17122804;FALSE;
Fraunhofer-Gesellschaft;2018;1.745,00  ;10.1186/s12951-018-0343-4;FALSE;
Fraunhofer-Gesellschaft;2018;256,39  ;10.3390/photonics5010001;FALSE;
Fraunhofer-Gesellschaft;2018;1.428,00  ;10.5772/intechopen.75395;FALSE;
Fraunhofer-Gesellschaft;2018;885,00  ;10.1186/s12302-018-0137-1;FALSE;
Fraunhofer-Gesellschaft;2018;2.200,00  ;10.1007/s11740-018-0811-6;FALSE;
Fraunhofer-Gesellschaft;2018;1.629,37  ;10.1364/OE.26.000762;FALSE;
Fraunhofer-Gesellschaft;2018;2.083,00  ;10.1002/rcs.1899;FALSE;
Fraunhofer-Gesellschaft;2018;1.651,22  ;10.1364/OE.26.006758;FALSE;
Fraunhofer-Gesellschaft;2018;1.262,09  ;10.1364/OME.8.000541;FALSE;
Fraunhofer-Gesellschaft;2018;772,43  ;10.3389/fchem.2018.00103;FALSE;
Fraunhofer-Gesellschaft;2018;1.024,90  ;10.3390/ma11020255;FALSE;
Fraunhofer-Gesellschaft;2018;297,07  ;10.3390/lubricants6020033;FALSE;
Fraunhofer-Gesellschaft;2017;709,15  ;10.1149/2.0751714jes;FALSE;
Fraunhofer-Gesellschaft;2018;3.076,79  ;10.1364/OL.43.001351;FALSE;
Fraunhofer-Gesellschaft;2018;1.211,80  ;10.1371/journal.pone.0195822;FALSE;
Fraunhofer-Gesellschaft;2018;1.578,76  ;10.1364/OE.26.010833;FALSE;
Fraunhofer-Gesellschaft;2018;1.578,76  ;10.1364/OE.26.010813;FALSE;
Fraunhofer-Gesellschaft;2018;1.628,30  ;10.1364/OE.26.012558;FALSE;
Fraunhofer-Gesellschaft;2018;890,00  ;10.5772/intechopen.74466;FALSE;
Fraunhofer-Gesellschaft;2018;604,25  ;10.3390/en11061357;FALSE;
Fraunhofer-Gesellschaft;2018;1.458,23  ;10.3389/fenrg.2018.00038;FALSE;
Fraunhofer-Gesellschaft;2018;604,22  ;10.3390/app8071042;FALSE;
Fraunhofer-Gesellschaft;2018;292,79  ;10.3390/lubricants6020054;FALSE;
Fraunhofer-Gesellschaft;2018;833,06  ;10.3390/met8070491;FALSE;
Fraunhofer-Gesellschaft;2018;1.469,07  ;10.3389/fenvs.2018.00036;FALSE;
Fraunhofer-Gesellschaft;2018;1.460,54  ;10.3389/fenvs.2018.00036;FALSE;
Fraunhofer-Gesellschaft;2018;1.294,37  ;10.1371/journal.pone.0198996;FALSE;
Fraunhofer-Gesellschaft;2018;1.713,47  ;10.3389/fmicb.2018.00646;FALSE;
Fraunhofer-Gesellschaft;2018;1.295,37  ;10.3390/w10060734;FALSE;
Fraunhofer-Gesellschaft;2018;1.291,89  ;10.3390/en11020409;FALSE;
Fraunhofer-Gesellschaft;2018;1.100,54  ;10.3390/w10070857;FALSE;
Fraunhofer-Gesellschaft;2018;1.182,32  ;10.3390/s18051516;FALSE;
Fraunhofer-Gesellschaft;2018;1.169,73  ;10.3390/app8060846;FALSE;
Fraunhofer-Gesellschaft;2018;1.859,00  ;10.1111/gcbb.12546;FALSE;
Fraunhofer-Gesellschaft;2018;1.890,36  ;10.1063/1.5040190;FALSE;
Fraunhofer-Gesellschaft;2018;1.338,45  ;10.3390/ma11050820;FALSE;
Fraunhofer-Gesellschaft;2018;1.490,25  ;10.1364/OPTICA.5.000872;FALSE;
Fraunhofer-Gesellschaft;2018;1.104,85  ;10.1364/OE.26.019815;FALSE;
Fraunhofer-Gesellschaft;2018;1.706,81  ;10.1364/OE.26.00A761;FALSE;
Fraunhofer-Gesellschaft;2018;2.122,00  ;10.1364/OE.26.007537;FALSE;
Fraunhofer-Gesellschaft;2018;1.370,00  ;10.1038/s41598-018-33860-7;FALSE;
Fraunhofer-Gesellschaft;2018;1.686,95  ;10.1364/OE.26.00A937;FALSE;
Fraunhofer-Gesellschaft;2018;307,03  ;10.3390/fi10100100;FALSE;
Fraunhofer-Gesellschaft;2018;1.142,31  ;10.3390/catal8110514;FALSE;
Fraunhofer-Gesellschaft;2018;2.569,48  ;10.3389/fimmu.2018.02408;FALSE;
Fraunhofer-Gesellschaft;2018;1.031,40  ;10.3390/coatings8070248;FALSE;
Fraunhofer-Gesellschaft;2018;1.925,00  ;10.1038/s41467-018-05987-8;FALSE;
Fraunhofer-Gesellschaft;2018;366,65  ;10.3390/buildings8090129;FALSE;
Fraunhofer-Gesellschaft;2018;1.711,77  ;10.1364/OE.26.030338;FALSE;
Fraunhofer-Gesellschaft;2018;1.313,45  ;10.1371/journal.pone.0207767;FALSE;
Fraunhofer-Gesellschaft;2018;309,28  ;10.3390/technologies6040115;FALSE;
Fraunhofer-Gesellschaft;2018;3.093,02  ;10.1016/j.stemcr.2018.09.010;FALSE;
Fraunhofer-Gesellschaft;2018;927,85  ;10.3390/su10124656;FALSE;
Fraunhofer-Gesellschaft;2018;1.590,79  ;10.3390/s18124338;FALSE;
